cosine,arm64_darwin_clang,arm64_darwin_gcc,amd64_darwin_clang,amd64_darwin_gcc,0.861595,0.871637,FOUND
cosine,arm64_darwin_clang,arm64_darwin_go,amd64_darwin_clang,amd64_darwin_go,0.023740,0.023006,FOUND
cosine,arm64_darwin_clang,arm64_darwin_rs-pure,amd64_darwin_clang,amd64_darwin_rs-pure,0.017924,0.017138,FOUND
cosine,arm64_darwin_clang,arm64_darwin_rs-sys,amd64_darwin_clang,amd64_darwin_rs-sys,0.018187,0.017366,FOUND
cosine,arm64_darwin_clang,arm64_darwin_tgo,amd64_darwin_clang,amd64_darwin_tgo,0.059648,0.100468,FOUND
cosine,arm64_darwin_clang,arm64_linux_clang,amd64_darwin_clang,amd64_linux_clang,0.842814,0.860894,FOUND
cosine,arm64_darwin_clang,arm64_linux_gcc,amd64_darwin_clang,amd64_linux_gcc,0.703657,0.756892,FOUND
cosine,arm64_darwin_clang,arm64_linux_go,amd64_darwin_clang,amd64_linux_go,0.023743,0.022835,FOUND
cosine,arm64_darwin_clang,arm64_linux_rs-pure,amd64_darwin_clang,amd64_linux_rs-pure,0.017845,0.017045,FOUND
cosine,arm64_darwin_clang,arm64_linux_rs-sys,amd64_darwin_clang,amd64_linux_rs-sys,0.018137,0.017317,FOUND
cosine,arm64_darwin_clang,arm64_linux_tgo,amd64_darwin_clang,amd64_linux_tgo,0.049222,0.082214,FOUND
cosine,arm64_darwin_clang,arm64_windows_clang,amd64_darwin_clang,amd64_windows_clang,0.023690,0.028773,FOUND
cosine,arm64_darwin_clang,arm64_windows_gcc,amd64_darwin_clang,amd64_windows_gcc,0.553348,0.520999,FOUND
cosine,arm64_darwin_clang,arm64_windows_go,amd64_darwin_clang,amd64_windows_go,0.034325,0.025166,FOUND
cosine,arm64_darwin_clang,arm64_windows_msvc,amd64_darwin_clang,amd64_windows_msvc,0.445133,0.431746,FOUND
cosine,arm64_darwin_clang,arm64_windows_rs-pure,amd64_darwin_clang,amd64_windows_rs-pure,0.003008,0.002576,FOUND
cosine,arm64_darwin_clang,arm64_windows_rs-sys,amd64_darwin_clang,amd64_windows_rs-sys,0.003076,0.002638,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_go,amd64_darwin_gcc,amd64_darwin_go,0.025446,0.024379,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_rs-pure,amd64_darwin_gcc,amd64_darwin_rs-pure,0.019221,0.018288,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_rs-sys,amd64_darwin_gcc,amd64_darwin_rs-sys,0.019481,0.018557,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_tgo,amd64_darwin_gcc,amd64_darwin_tgo,0.063918,0.107273,FOUND
cosine,arm64_darwin_gcc,arm64_linux_clang,amd64_darwin_gcc,amd64_linux_clang,0.846273,0.849443,FOUND
cosine,arm64_darwin_gcc,arm64_linux_gcc,amd64_darwin_gcc,amd64_linux_gcc,0.771221,0.820714,FOUND
cosine,arm64_darwin_gcc,arm64_linux_go,amd64_darwin_gcc,amd64_linux_go,0.025406,0.024089,FOUND
cosine,arm64_darwin_gcc,arm64_linux_rs-pure,amd64_darwin_gcc,amd64_linux_rs-pure,0.019164,0.018171,FOUND
