dice,arm64_darwin_clang,arm64_darwin_gcc,amd64_darwin_clang,amd64_darwin_gcc,0.820746,0.827147,FOUND
dice,arm64_darwin_clang,arm64_darwin_go,amd64_darwin_clang,amd64_darwin_go,0.022698,0.022069,FOUND
dice,arm64_darwin_clang,arm64_darwin_rs-pure,amd64_darwin_clang,amd64_darwin_rs-pure,0.017457,0.016461,FOUND
dice,arm64_darwin_clang,arm64_darwin_rs-sys,amd64_darwin_clang,amd64_darwin_rs-sys,0.017717,0.016768,FOUND
dice,arm64_darwin_clang,arm64_darwin_tgo,amd64_darwin_clang,amd64_darwin_tgo,0.056896,0.094549,FOUND
dice,arm64_darwin_clang,arm64_linux_clang,amd64_darwin_clang,amd64_linux_clang,0.864204,0.870828,FOUND
dice,arm64_darwin_clang,arm64_linux_gcc,amd64_darwin_clang,amd64_linux_gcc,0.671397,0.714220,FOUND
dice,arm64_darwin_clang,arm64_linux_go,amd64_darwin_clang,amd64_linux_go,0.022370,0.021325,FOUND
dice,arm64_darwin_clang,arm64_linux_rs-pure,amd64_darwin_clang,amd64_linux_rs-pure,0.017242,0.016496,FOUND
dice,arm64_darwin_clang,arm64_linux_rs-sys,amd64_darwin_clang,amd64_linux_rs-sys,0.017561,0.016819,FOUND
dice,arm64_darwin_clang,arm64_linux_tgo,amd64_darwin_clang,amd64_linux_tgo,0.046754,0.078161,FOUND
dice,arm64_darwin_clang,arm64_windows_clang,amd64_darwin_clang,amd64_windows_clang,0.023673,0.028486,FOUND
dice,arm64_darwin_clang,arm64_windows_gcc,amd64_darwin_clang,amd64_windows_gcc,0.537089,0.503870,FOUND
dice,arm64_darwin_clang,arm64_windows_go,amd64_darwin_clang,amd64_windows_go,0.032320,0.023570,FOUND
dice,arm64_darwin_clang,arm64_windows_msvc,amd64_darwin_clang,amd64_windows_msvc,0.423053,0.407469,FOUND
dice,arm64_darwin_clang,arm64_windows_rs-pure,amd64_darwin_clang,amd64_windows_rs-pure,0.002897,0.002474,FOUND
dice,arm64_darwin_clang,arm64_windows_rs-sys,amd64_darwin_clang,amd64_windows_rs-sys,0.002973,0.002536,FOUND
dice,arm64_darwin_gcc,arm64_darwin_go,amd64_darwin_gcc,amd64_darwin_go,0.024236,0.023330,FOUND
dice,arm64_darwin_gcc,arm64_darwin_rs-pure,amd64_darwin_gcc,amd64_darwin_rs-pure,0.018541,0.017474,FOUND
dice,arm64_darwin_gcc,arm64_darwin_rs-sys,amd64_darwin_gcc,amd64_darwin_rs-sys,0.018801,0.017757,FOUND
dice,arm64_darwin_gcc,arm64_darwin_tgo,amd64_darwin_gcc,amd64_darwin_tgo,0.061108,0.101822,FOUND
dice,arm64_darwin_gcc,arm64_linux_clang,amd64_darwin_gcc,amd64_linux_clang,0.822224,0.825384,FOUND
dice,arm64_darwin_gcc,arm64_linux_gcc,amd64_darwin_gcc,amd64_linux_gcc,0.772449,0.825729,FOUND
