euclidean,arm64_darwin_clang,arm64_darwin_gcc,amd64_darwin_clang,amd64_darwin_gcc,0.702583,0.699096,FOUND
euclidean,arm64_darwin_clang,arm64_darwin_go,amd64_darwin_clang,amd64_darwin_go,0.019886,0.019008,FOUND
euclidean,arm64_darwin_clang,arm64_darwin_rs-pure,amd64_darwin_clang,amd64_darwin_rs-pure,0.015195,0.014517,FOUND
euclidean,arm64_darwin_clang,arm64_darwin_rs-sys,amd64_darwin_clang,amd64_darwin_rs-sys,0.015472,0.014705,FOUND
euclidean,arm64_darwin_clang,arm64_darwin_tgo,amd64_darwin_clang,amd64_darwin_tgo,0.049717,0.081990,FOUND
euclidean,arm64_darwin_clang,arm64_linux_clang,amd64_darwin_clang,amd64_linux_clang,0.772158,0.800042,FOUND
euclidean,arm64_darwin_clang,arm64_linux_gcc,amd64_darwin_clang,amd64_linux_gcc,0.574467,0.600459,FOUND
euclidean,arm64_darwin_clang,arm64_linux_go,amd64_darwin_clang,amd64_linux_go,0.019790,0.018955,FOUND
euclidean,arm64_darwin_clang,arm64_linux_rs-pure,amd64_darwin_clang,amd64_linux_rs-pure,0.015334,0.014598,FOUND
euclidean,arm64_darwin_clang,arm64_linux_rs-sys,amd64_darwin_clang,amd64_linux_rs-sys,0.015641,0.014837,FOUND
euclidean,arm64_darwin_clang,arm64_linux_tgo,amd64_darwin_clang,amd64_linux_tgo,0.040917,0.066149,FOUND
euclidean,arm64_darwin_clang,arm64_windows_clang,amd64_darwin_clang,amd64_windows_clang,0.020689,0.025540,FOUND
euclidean,arm64_darwin_clang,arm64_windows_gcc,amd64_darwin_clang,amd64_windows_gcc,0.447011,0.412598,FOUND
euclidean,arm64_darwin_clang,arm64_windows_go,amd64_darwin_clang,amd64_windows_go,0.028858,0.021335,FOUND
euclidean,arm64_darwin_clang,arm64_windows_msvc,amd64_darwin_clang,amd64_windows_msvc,0.361299,0.345841,FOUND
euclidean,arm64_darwin_clang,arm64_windows_rs-pure,amd64_darwin_clang,amd64_windows_rs-pure,0.002544,0.002215,FOUND
euclidean,arm64_darwin_clang,arm64_windows_rs-sys,amd64_darwin_clang,amd64_windows_rs-sys,0.002610,0.002266,FOUND
euclidean,arm64_darwin_gcc,arm64_darwin_go,amd64_darwin_gcc,amd64_darwin_go,0.021263,0.020680,FOUND
euclidean,arm64_darwin_gcc,arm64_darwin_rs-pure,amd64_darwin_gcc,amd64_darwin_rs-pure,0.016149,0.015522,FOUND
euclidean,arm64_darwin_gcc,arm64_darwin_rs-sys,amd64_darwin_gcc,amd64_darwin_rs-sys,0.016400,0.015741,FOUND
euclidean,arm64_darwin_gcc,arm64_darwin_tgo,amd64_darwin_gcc,amd64_darwin_tgo,0.052726,0.088267,FOUND
euclidean,arm64_darwin_gcc,arm64_linux_clang,amd64_darwin_gcc,amd64_linux_clang,0.671711,0.655708,FOUND
euclidean,arm64_darwin_gcc,arm64_linux_gcc,amd64_darwin_gcc,amd64_linux_gcc,0.691444,0.728606,FOUND
euclidean,arm64_darwin_gcc,arm64_linux_go,amd64_darwin_gcc,amd64_linux_go,0.021216,0.020395,FOUND
euclidean,arm64_darwin_gcc,arm64_linux_rs-pure,amd64_darwin_gcc,amd64_linux_rs-pure,0.016172,0.015352,FOUND
