jaccard,arm64_darwin_clang,arm64_darwin_gcc,amd64_darwin_clang,amd64_darwin_gcc,0.760540,0.756572,FOUND
jaccard,arm64_darwin_clang,arm64_darwin_go,amd64_darwin_clang,amd64_darwin_go,0.020643,0.020151,FOUND
jaccard,arm64_darwin_clang,arm64_darwin_rs-pure,amd64_darwin_clang,amd64_darwin_rs-pure,0.016114,0.014942,FOUND
jaccard,arm64_darwin_clang,arm64_darwin_rs-sys,amd64_darwin_clang,amd64_darwin_rs-sys,0.016393,0.015291,FOUND
jaccard,arm64_darwin_clang,arm64_darwin_tgo,amd64_darwin_clang,amd64_darwin_tgo,0.051203,0.084272,FOUND
jaccard,arm64_darwin_clang,arm64_linux_clang,amd64_darwin_clang,amd64_linux_clang,0.831228,0.831599,FOUND
jaccard,arm64_darwin_clang,arm64_linux_gcc,amd64_darwin_clang,amd64_linux_gcc,0.606178,0.633323,FOUND
jaccard,arm64_darwin_clang,arm64_linux_go,amd64_darwin_clang,amd64_linux_go,0.020139,0.019056,FOUND
jaccard,arm64_darwin_clang,arm64_linux_rs-pure,amd64_darwin_clang,amd64_linux_rs-pure,0.015928,0.014952,FOUND
jaccard,arm64_darwin_clang,arm64_linux_rs-sys,amd64_darwin_clang,amd64_linux_rs-sys,0.016268,0.015299,FOUND
jaccard,arm64_darwin_clang,arm64_linux_tgo,amd64_darwin_clang,amd64_linux_tgo,0.042323,0.069665,FOUND
jaccard,arm64_darwin_clang,arm64_windows_clang,amd64_darwin_clang,amd64_windows_clang,0.022871,0.027177,FOUND
jaccard,arm64_darwin_clang,arm64_windows_gcc,amd64_darwin_clang,amd64_windows_gcc,0.492217,0.457209,FOUND
jaccard,arm64_darwin_clang,arm64_windows_go,amd64_darwin_clang,amd64_windows_go,0.029118,0.021054,FOUND
jaccard,arm64_darwin_clang,arm64_windows_msvc,amd64_darwin_clang,amd64_windows_msvc,0.376423,0.364035,FOUND
jaccard,arm64_darwin_clang,arm64_windows_rs-pure,amd64_darwin_clang,amd64_windows_rs-pure,0.002657,0.002250,FOUND
jaccard,arm64_darwin_clang,arm64_windows_rs-sys,amd64_darwin_clang,amd64_windows_rs-sys,0.002733,0.002308,FOUND
jaccard,arm64_darwin_gcc,arm64_darwin_go,amd64_darwin_gcc,amd64_darwin_go,0.021854,0.021166,FOUND
jaccard,arm64_darwin_gcc,arm64_darwin_rs-pure,amd64_darwin_gcc,amd64_darwin_rs-pure,0.016906,0.015839,FOUND
jaccard,arm64_darwin_gcc,arm64_darwin_rs-sys,amd64_darwin_gcc,amd64_darwin_rs-sys,0.017169,0.016138,FOUND
jaccard,arm64_darwin_gcc,arm64_darwin_tgo,amd64_darwin_gcc,amd64_darwin_tgo,0.054807,0.091173,FOUND
jaccard,arm64_darwin_gcc,arm64_linux_clang,amd64_darwin_gcc,amd64_linux_clang,0.741393,0.745254,FOUND
jaccard,arm64_darwin_gcc,arm64_linux_gcc,amd64_darwin_gcc,amd64_linux_gcc,0.729451,0.778978,FOUND
jaccard,arm64_darwin_gcc,arm64_linux_go,amd64_darwin_gcc,amd64_linux_go,0.021814,0.020837,FOUND
jaccard,arm64_darwin_gcc,arm64_linux_rs-pure,amd64_darwin_gcc,amd64_linux_rs-pure,0.016777,0.015390,FOUND
jaccard,arm64_darwin_gcc,arm64_linux_rs-sys,amd64_darwin_gcc,amd64_linux_rs-sys,0.017121,0.015655,FOUND
jaccard,arm64_darwin_gcc,arm64_linux_tgo,amd64_darwin_gcc,amd64_linux_tgo,0.044869,0.073880,FOUND
jaccard,arm64_darwin_gcc,arm64_windows_clang,amd64_darwin_gcc,amd64_windows_clang,0.023139,0.027459,FOUND
jaccard,arm64_darwin_gcc,arm64_windows_gcc,amd64_darwin_gcc,amd64_windows_gcc,0.571284,0.540791,FOUND
jaccard,arm64_darwin_gcc,arm64_windows_go,amd64_darwin_gcc,amd64_windows_go,0.031597,0.023021,FOUND
jaccard,arm64_darwin_gcc,arm64_windows_msvc,amd64_darwin_gcc,amd64_windows_msvc,0.397776,0.386539,FOUND
jaccard,arm64_darwin_gcc,arm64_windows_rs-pure,amd64_darwin_gcc,amd64_windows_rs-pure,0.002815,0.002382,FOUND
jaccard,arm64_darwin_gcc,arm64_windows_rs-sys,amd64_darwin_gcc,amd64_windows_rs-sys,0.002888,0.002454,FOUND
jaccard,arm64_darwin_go,arm64_darwin_rs-pure,amd64_darwin_go,amd64_darwin_rs-pure,0.542349,0.528125,FOUND
jaccard,arm64_darwin_go,arm64_darwin_rs-sys,amd64_darwin_go,amd64_darwin_rs-sys,0.547889,0.534257,FOUND
jaccard,arm64_darwin_go,arm64_darwin_tgo,amd64_darwin_go,amd64_darwin_tgo,0.255965,0.175672,FOUND
jaccard,arm64_darwin_go,arm64_linux_clang,amd64_darwin_go,amd64_linux_clang,0.023084,0.021619,FOUND
jaccard,arm64_darwin_go,arm64_linux_gcc,amd64_darwin_go,amd64_linux_gcc,0.027118,0.023939,FOUND
jaccard,arm64_darwin_go,arm64_linux_go,amd64_darwin_go,amd64_linux_go,0.875121,0.842495,FOUND
jaccard,arm64_darwin_go,arm64_linux_rs-pure,amd64_darwin_go,amd64_linux_rs-pure,0.538133,0.502518,FOUND
jaccard,arm64_darwin_go,arm64_linux_rs-sys,amd64_darwin_go,amd64_linux_rs-sys,0.544499,0.508945,FOUND
jaccard,arm64_darwin_go,arm64_linux_tgo,amd64_darwin_go,amd64_linux_tgo,0.298839,0.208288,FOUND
jaccard,arm64_darwin_go,arm64_windows_clang,amd64_darwin_go,amd64_windows_clang,0.655955,0.580164,FOUND
jaccard,arm64_darwin_go,arm64_windows_gcc,amd64_darwin_go,amd64_windows_gcc,0.034239,0.034346,FOUND
jaccard,arm64_darwin_go,arm64_windows_go,amd64_darwin_go,amd64_windows_go,0.618155,0.789938,FOUND
jaccard,arm64_darwin_go,arm64_windows_msvc,amd64_darwin_go,amd64_windows_msvc,0.041143,0.040012,FOUND
jaccard,arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.098120,0.088186,FOUND
jaccard,arm64_darwin_go,arm64_windows_rs-sys,amd64_darwin_go,amd64_windows_rs-sys,0.100104,0.090131,FOUND
jaccard,arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.982261,0.980868,FOUND
jaccard,arm64_darwin_rs-pure,arm64_darwin_tgo,amd64_darwin_rs-pure,amd64_darwin_tgo,0.209186,0.138327,FOUND
jaccard,arm64_darwin_rs-pure,arm64_linux_clang,amd64_darwin_rs-pure,amd64_linux_clang,0.017695,0.016435,FOUND
jaccard,arm64_darwin_rs-pure,arm64_linux_gcc,amd64_darwin_rs-pure,amd64_linux_gcc,0.020281,0.017832,FOUND
jaccard,arm64_darwin_rs-pure,arm64_linux_go,amd64_darwin_rs-pure,amd64_linux_go,0.537401,0.539268,FOUND
jaccard,arm64_darwin_rs-pure,arm64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-pure,0.922292,0.762710,FOUND
jaccard,arm64_darwin_rs-pure,arm64_linux_rs-sys,amd64_darwin_rs-pure,amd64_linux_rs-sys,0.923760,0.754747,FOUND
jaccard,arm64_darwin_rs-pure,arm64_linux_tgo,amd64_darwin_rs-pure,amd64_linux_tgo,0.245503,0.161505,FOUND
jaccard,arm64_darwin_rs-pure,arm64_windows_clang,amd64_darwin_rs-pure,amd64_windows_clang,0.580993,0.481734,FOUND
jaccard,arm64_darwin_rs-pure,arm64_windows_gcc,amd64_darwin_rs-pure,amd64_windows_gcc,0.025958,0.026271,FOUND
jaccard,arm64_darwin_rs-pure,arm64_windows_go,amd64_darwin_rs-pure,amd64_windows_go,0.404120,0.494207,FOUND
jaccard,arm64_darwin_rs-pure,arm64_windows_msvc,amd64_darwin_rs-pure,amd64_windows_msvc,0.031862,0.032304,FOUND
jaccard,arm64_darwin_rs-pure,arm64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-pure,0.139353,0.124616,FOUND
jaccard,arm64_darwin_rs-pure,arm64_windows_rs-sys,amd64_darwin_rs-pure,amd64_windows_rs-sys,0.142108,0.127404,FOUND
jaccard,arm64_darwin_rs-sys,arm64_darwin_tgo,amd64_darwin_rs-sys,amd64_darwin_tgo,0.211664,0.140281,FOUND
jaccard,arm64_darwin_rs-sys,arm64_linux_clang,amd64_darwin_rs-sys,amd64_linux_clang,0.018000,0.016785,FOUND
jaccard,arm64_darwin_rs-sys,arm64_linux_gcc,amd64_darwin_rs-sys,amd64_linux_gcc,0.020610,0.018136,FOUND
jaccard,arm64_darwin_rs-sys,arm64_linux_go,amd64_darwin_rs-sys,amd64_linux_go,0.542644,0.545274,FOUND
jaccard,arm64_darwin_rs-sys,arm64_linux_rs-pure,amd64_darwin_rs-sys,amd64_linux_rs-pure,0.908337,0.756422,FOUND
jaccard,arm64_darwin_rs-sys,arm64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-sys,0.922336,0.759292,FOUND
jaccard,arm64_darwin_rs-sys,arm64_linux_tgo,amd64_darwin_rs-sys,amd64_linux_tgo,0.248475,0.163809,FOUND
jaccard,arm64_darwin_rs-sys,arm64_windows_clang,amd64_darwin_rs-sys,amd64_windows_clang,0.588932,0.488009,FOUND
jaccard,arm64_darwin_rs-sys,arm64_windows_gcc,amd64_darwin_rs-sys,amd64_windows_gcc,0.026392,0.026740,FOUND
jaccard,arm64_darwin_rs-sys,arm64_windows_go,amd64_darwin_rs-sys,amd64_windows_go,0.408640,0.499897,FOUND
jaccard,arm64_darwin_rs-sys,arm64_windows_msvc,amd64_darwin_rs-sys,amd64_windows_msvc,0.032372,0.032722,FOUND
jaccard,arm64_darwin_rs-sys,arm64_windows_rs-pure,amd64_darwin_rs-sys,amd64_windows_rs-pure,0.138078,0.123448,FOUND
jaccard,arm64_darwin_rs-sys,arm64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-sys,0.140836,0.126239,FOUND
jaccard,arm64_darwin_tgo,arm64_linux_clang,amd64_darwin_tgo,amd64_linux_clang,0.057176,0.089707,FOUND
jaccard,arm64_darwin_tgo,arm64_linux_gcc,amd64_darwin_tgo,amd64_linux_gcc,0.067533,0.102281,FOUND
jaccard,arm64_darwin_tgo,arm64_linux_go,amd64_darwin_tgo,amd64_linux_go,0.215948,0.175001,FOUND
jaccard,arm64_darwin_tgo,arm64_linux_rs-pure,amd64_darwin_tgo,amd64_linux_rs-pure,0.209016,0.126612,FOUND
jaccard,arm64_darwin_tgo,arm64_linux_rs-sys,amd64_darwin_tgo,amd64_linux_rs-sys,0.212022,0.128830,FOUND
