levenshtein,arm64_darwin_clang,arm64_darwin_gcc,amd64_darwin_clang,amd64_darwin_gcc,0.476090,0.460407,FOUND
levenshtein,arm64_darwin_clang,arm64_darwin_go,amd64_darwin_clang,amd64_darwin_go,0.011431,0.011020,FOUND
levenshtein,arm64_darwin_clang,arm64_darwin_rs-pure,amd64_darwin_clang,amd64_darwin_rs-pure,0.009305,0.008479,FOUND
levenshtein,arm64_darwin_clang,arm64_darwin_rs-sys,amd64_darwin_clang,amd64_darwin_rs-sys,0.009517,0.008607,FOUND
levenshtein,arm64_darwin_clang,arm64_darwin_tgo,amd64_darwin_clang,amd64_darwin_tgo,0.030014,0.046253,FOUND
levenshtein,arm64_darwin_clang,arm64_linux_clang,amd64_darwin_clang,amd64_linux_clang,0.681708,0.712816,FOUND
levenshtein,arm64_darwin_clang,arm64_linux_gcc,amd64_darwin_clang,amd64_linux_gcc,0.380852,0.380908,FOUND
levenshtein,arm64_darwin_clang,arm64_linux_go,amd64_darwin_clang,amd64_linux_go,0.011730,0.011107,FOUND
levenshtein,arm64_darwin_clang,arm64_linux_rs-pure,amd64_darwin_clang,amd64_linux_rs-pure,0.009502,0.008762,FOUND
levenshtein,arm64_darwin_clang,arm64_linux_rs-sys,amd64_darwin_clang,amd64_linux_rs-sys,0.009718,0.008979,FOUND
levenshtein,arm64_darwin_clang,arm64_linux_tgo,amd64_darwin_clang,amd64_linux_tgo,0.025259,0.038263,FOUND
levenshtein,arm64_darwin_clang,arm64_windows_clang,amd64_darwin_clang,amd64_windows_clang,0.015614,0.020238,FOUND
levenshtein,arm64_darwin_clang,arm64_windows_gcc,amd64_darwin_clang,amd64_windows_gcc,0.296082,0.261158,FOUND
levenshtein,arm64_darwin_clang,arm64_windows_go,amd64_darwin_clang,amd64_windows_go,0.017302,0.012455,FOUND
levenshtein,arm64_darwin_clang,arm64_windows_msvc,amd64_darwin_clang,amd64_windows_msvc,0.225946,0.213921,FOUND
levenshtein,arm64_darwin_clang,arm64_windows_rs-pure,amd64_darwin_clang,amd64_windows_rs-pure,0.001571,0.001342,FOUND
levenshtein,arm64_darwin_clang,arm64_windows_rs-sys,amd64_darwin_clang,amd64_windows_rs-sys,0.001619,0.001377,FOUND
levenshtein,arm64_darwin_gcc,arm64_darwin_go,amd64_darwin_gcc,amd64_darwin_go,0.011674,0.011594,FOUND
levenshtein,arm64_darwin_gcc,arm64_darwin_rs-pure,amd64_darwin_gcc,amd64_darwin_rs-pure,0.009299,0.008522,FOUND
levenshtein,arm64_darwin_gcc,arm64_darwin_rs-sys,amd64_darwin_gcc,amd64_darwin_rs-sys,0.009436,0.008629,FOUND
levenshtein,arm64_darwin_gcc,arm64_darwin_tgo,amd64_darwin_gcc,amd64_darwin_tgo,0.029641,0.047998,FOUND
levenshtein,arm64_darwin_gcc,arm64_linux_clang,amd64_darwin_gcc,amd64_linux_clang,0.437792,0.429968,FOUND
levenshtein,arm64_darwin_gcc,arm64_linux_gcc,amd64_darwin_gcc,amd64_linux_gcc,0.572122,0.604595,FOUND
levenshtein,arm64_darwin_gcc,arm64_linux_go,amd64_darwin_gcc,amd64_linux_go,0.011769,0.011546,FOUND
levenshtein,arm64_darwin_gcc,arm64_linux_rs-pure,amd64_darwin_gcc,amd64_linux_rs-pure,0.009337,0.008519,FOUND
levenshtein,arm64_darwin_gcc,arm64_linux_rs-sys,amd64_darwin_gcc,amd64_linux_rs-sys,0.009499,0.008694,FOUND
levenshtein,arm64_darwin_gcc,arm64_linux_tgo,amd64_darwin_gcc,amd64_linux_tgo,0.024283,0.039546,FOUND
levenshtein,arm64_darwin_gcc,arm64_windows_clang,amd64_darwin_gcc,amd64_windows_clang,0.012966,0.015071,FOUND
levenshtein,arm64_darwin_gcc,arm64_windows_gcc,amd64_darwin_gcc,amd64_windows_gcc,0.436728,0.405854,FOUND
levenshtein,arm64_darwin_gcc,arm64_windows_go,amd64_darwin_gcc,amd64_windows_go,0.017402,0.012598,FOUND
levenshtein,arm64_darwin_gcc,arm64_windows_msvc,amd64_darwin_gcc,amd64_windows_msvc,0.228354,0.221354,FOUND
levenshtein,arm64_darwin_gcc,arm64_windows_rs-pure,amd64_darwin_gcc,amd64_windows_rs-pure,0.001589,0.001350,FOUND
levenshtein,arm64_darwin_gcc,arm64_windows_rs-sys,amd64_darwin_gcc,amd64_windows_rs-sys,0.001633,0.001390,FOUND
levenshtein,arm64_darwin_go,arm64_darwin_rs-pure,amd64_darwin_go,amd64_darwin_rs-pure,0.242481,0.286465,FOUND
levenshtein,arm64_darwin_go,arm64_darwin_rs-sys,amd64_darwin_go,amd64_darwin_rs-sys,0.244440,0.290173,FOUND
levenshtein,arm64_darwin_go,arm64_darwin_tgo,amd64_darwin_go,amd64_darwin_tgo,0.153488,0.097872,FOUND
levenshtein,arm64_darwin_go,arm64_linux_clang,amd64_darwin_go,amd64_linux_clang,0.013419,0.012258,FOUND
levenshtein,arm64_darwin_go,arm64_linux_gcc,amd64_darwin_go,amd64_linux_gcc,0.015562,0.013650,FOUND
levenshtein,arm64_darwin_go,arm64_linux_go,amd64_darwin_go,amd64_linux_go,0.754116,0.646904,FOUND
levenshtein,arm64_darwin_go,arm64_linux_rs-pure,amd64_darwin_go,amd64_linux_rs-pure,0.244589,0.274414,FOUND
levenshtein,arm64_darwin_go,arm64_linux_rs-sys,amd64_darwin_go,amd64_linux_rs-sys,0.247194,0.277921,FOUND
levenshtein,arm64_darwin_go,arm64_linux_tgo,amd64_darwin_go,amd64_linux_tgo,0.174249,0.112816,FOUND
levenshtein,arm64_darwin_go,arm64_windows_clang,amd64_darwin_go,amd64_windows_clang,0.278405,0.310940,FOUND
levenshtein,arm64_darwin_go,arm64_windows_gcc,amd64_darwin_go,amd64_windows_gcc,0.019484,0.020067,FOUND
levenshtein,arm64_darwin_go,arm64_windows_go,amd64_darwin_go,amd64_windows_go,0.364963,0.580541,FOUND
levenshtein,arm64_darwin_go,arm64_windows_msvc,amd64_darwin_go,amd64_windows_msvc,0.025959,0.024169,FOUND
levenshtein,arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.045751,0.051888,FOUND
levenshtein,arm64_darwin_go,arm64_windows_rs-sys,amd64_darwin_go,amd64_windows_rs-sys,0.046786,0.053171,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.975373,0.973826,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_darwin_tgo,amd64_darwin_rs-pure,amd64_darwin_tgo,0.145984,0.079327,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_linux_clang,amd64_darwin_rs-pure,amd64_linux_clang,0.010407,0.009573,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_linux_gcc,amd64_darwin_rs-pure,amd64_linux_gcc,0.011994,0.010144,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_linux_go,amd64_darwin_rs-pure,amd64_linux_go,0.234814,0.296062,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-pure,0.811578,0.587275,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_linux_rs-sys,amd64_darwin_rs-pure,amd64_linux_rs-sys,0.807503,0.574193,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_linux_tgo,amd64_darwin_rs-pure,amd64_linux_tgo,0.162944,0.089975,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_windows_clang,amd64_darwin_rs-pure,amd64_windows_clang,0.331189,0.268746,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_windows_gcc,amd64_darwin_rs-pure,amd64_windows_gcc,0.015164,0.015036,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_windows_go,amd64_darwin_rs-pure,amd64_windows_go,0.188059,0.261607,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_windows_msvc,amd64_darwin_rs-pure,amd64_windows_msvc,0.020412,0.019407,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-pure,0.087882,0.080228,FOUND
levenshtein,arm64_darwin_rs-pure,arm64_windows_rs-sys,amd64_darwin_rs-pure,amd64_windows_rs-sys,0.089756,0.082145,FOUND
levenshtein,arm64_darwin_rs-sys,arm64_darwin_tgo,amd64_darwin_rs-sys,amd64_darwin_tgo,0.147429,0.080459,FOUND
levenshtein,arm64_darwin_rs-sys,arm64_linux_clang,amd64_darwin_rs-sys,amd64_linux_clang,0.010566,0.009701,FOUND
levenshtein,arm64_darwin_rs-sys,arm64_linux_gcc,amd64_darwin_rs-sys,amd64_linux_gcc,0.012181,0.010291,FOUND
levenshtein,arm64_darwin_rs-sys,arm64_linux_go,amd64_darwin_rs-sys,amd64_linux_go,0.237020,0.299640,FOUND
levenshtein,arm64_darwin_rs-sys,arm64_linux_rs-pure,amd64_darwin_rs-sys,amd64_linux_rs-pure,0.795970,0.579629,FOUND
