simpson,arm64_darwin_clang,arm64_darwin_gcc,amd64_darwin_clang,amd64_darwin_gcc,0.927536,0.940299,FOUND
simpson,arm64_darwin_clang,arm64_darwin_go,amd64_darwin_clang,amd64_darwin_go,0.025417,0.024619,FOUND
simpson,arm64_darwin_clang,arm64_darwin_rs-pure,amd64_darwin_clang,amd64_darwin_rs-pure,0.019185,0.018459,FOUND
simpson,arm64_darwin_clang,arm64_darwin_rs-sys,amd64_darwin_clang,amd64_darwin_rs-sys,0.019423,0.018700,FOUND
simpson,arm64_darwin_clang,arm64_darwin_tgo,amd64_darwin_clang,amd64_darwin_tgo,0.064712,0.109375,FOUND
simpson,arm64_darwin_clang,arm64_linux_clang,amd64_darwin_clang,amd64_linux_clang,0.914286,0.926471,FOUND
simpson,arm64_darwin_clang,arm64_linux_gcc,amd64_darwin_clang,amd64_linux_gcc,0.771084,0.840000,FOUND
simpson,arm64_darwin_clang,arm64_linux_go,amd64_darwin_clang,amd64_linux_go,0.025457,0.024495,FOUND
simpson,arm64_darwin_clang,arm64_linux_rs-pure,amd64_darwin_clang,amd64_linux_rs-pure,0.018924,0.018601,FOUND
simpson,arm64_darwin_clang,arm64_linux_rs-sys,amd64_darwin_clang,amd64_linux_rs-sys,0.019213,0.018879,FOUND
simpson,arm64_darwin_clang,arm64_linux_tgo,amd64_darwin_clang,amd64_linux_tgo,0.052762,0.089872,FOUND
simpson,arm64_darwin_clang,arm64_windows_clang,amd64_darwin_clang,amd64_windows_clang,0.024644,0.030029,FOUND
simpson,arm64_darwin_clang,arm64_windows_gcc,amd64_darwin_clang,amd64_windows_gcc,0.598131,0.567568,FOUND
simpson,arm64_darwin_clang,arm64_windows_go,amd64_darwin_clang,amd64_windows_go,0.036803,0.027085,FOUND
simpson,arm64_darwin_clang,arm64_windows_msvc,amd64_darwin_clang,amd64_windows_msvc,0.492308,0.470149,FOUND
simpson,arm64_darwin_clang,arm64_windows_rs-pure,amd64_darwin_clang,amd64_windows_rs-pure,0.003213,0.002767,FOUND
simpson,arm64_darwin_clang,arm64_windows_rs-sys,amd64_darwin_clang,amd64_windows_rs-sys,0.003285,0.002834,FOUND
