weighted-jaccard,arm64_darwin_clang,arm64_darwin_gcc,amd64_darwin_clang,amd64_darwin_gcc,0.620191,0.600389,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_darwin_go,amd64_darwin_clang,amd64_darwin_go,0.016179,0.015347,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_darwin_rs-pure,amd64_darwin_clang,amd64_darwin_rs-pure,0.012406,0.011753,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_darwin_rs-sys,amd64_darwin_clang,amd64_darwin_rs-sys,0.012714,0.011920,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_darwin_tgo,amd64_darwin_clang,amd64_darwin_tgo,0.040030,0.064629,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_linux_clang,amd64_darwin_clang,amd64_linux_clang,0.737007,0.768535,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_linux_gcc,amd64_darwin_clang,amd64_linux_gcc,0.492755,0.495425,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_linux_go,amd64_darwin_clang,amd64_linux_go,0.016063,0.015364,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_linux_rs-pure,amd64_darwin_clang,amd64_linux_rs-pure,0.012677,0.011874,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_linux_rs-sys,amd64_darwin_clang,amd64_linux_rs-sys,0.013019,0.012128,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_linux_tgo,amd64_darwin_clang,amd64_linux_tgo,0.032844,0.051920,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_windows_clang,amd64_darwin_clang,amd64_windows_clang,0.018725,0.023403,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_windows_gcc,amd64_darwin_clang,amd64_windows_gcc,0.383962,0.342954,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_windows_go,amd64_darwin_clang,amd64_windows_go,0.023543,0.017351,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_windows_msvc,amd64_darwin_clang,amd64_windows_msvc,0.295573,0.282277,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_windows_rs-pure,amd64_darwin_clang,amd64_windows_rs-pure,0.002087,0.001822,FOUND
weighted-jaccard,arm64_darwin_clang,arm64_windows_rs-sys,amd64_darwin_clang,amd64_windows_rs-sys,0.002146,0.001862,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_darwin_go,amd64_darwin_gcc,amd64_darwin_go,0.016776,0.016799,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_darwin_rs-pure,amd64_darwin_gcc,amd64_darwin_rs-pure,0.012817,0.012526,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_darwin_rs-sys,amd64_darwin_gcc,amd64_darwin_rs-sys,0.013078,0.012721,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_darwin_tgo,amd64_darwin_gcc,amd64_darwin_tgo,0.041054,0.069616,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_linux_clang,amd64_darwin_gcc,amd64_linux_clang,0.574457,0.549188,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_linux_gcc,amd64_darwin_gcc,amd64_linux_gcc,0.652942,0.684756,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_linux_go,amd64_darwin_gcc,amd64_linux_go,0.016735,0.016462,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_linux_rs-pure,amd64_darwin_gcc,amd64_linux_rs-pure,0.013122,0.012210,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_linux_rs-sys,amd64_darwin_gcc,amd64_linux_rs-sys,0.013395,0.012409,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_linux_tgo,amd64_darwin_gcc,amd64_linux_tgo,0.033448,0.056675,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_windows_clang,amd64_darwin_gcc,amd64_windows_clang,0.018261,0.021584,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_windows_gcc,amd64_darwin_gcc,amd64_windows_gcc,0.493713,0.452955,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_windows_go,amd64_darwin_gcc,amd64_windows_go,0.024715,0.018117,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_windows_msvc,amd64_darwin_gcc,amd64_windows_msvc,0.306099,0.310658,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_windows_rs-pure,amd64_darwin_gcc,amd64_windows_rs-pure,0.002148,0.001916,FOUND
weighted-jaccard,arm64_darwin_gcc,arm64_windows_rs-sys,amd64_darwin_gcc,amd64_windows_rs-sys,0.002212,0.001956,FOUND
weighted-jaccard,arm64_darwin_go,arm64_darwin_rs-pure,amd64_darwin_go,amd64_darwin_rs-pure,0.349066,0.405603,FOUND
weighted-jaccard,arm64_darwin_go,arm64_darwin_rs-sys,amd64_darwin_go,amd64_darwin_rs-sys,0.351287,0.409892,FOUND
weighted-jaccard,arm64_darwin_go,arm64_darwin_tgo,amd64_darwin_go,amd64_darwin_tgo,0.189321,0.137001,FOUND
weighted-jaccard,arm64_darwin_go,arm64_linux_clang,amd64_darwin_go,amd64_linux_clang,0.018176,0.016439,FOUND
weighted-jaccard,arm64_darwin_go,arm64_linux_gcc,amd64_darwin_go,amd64_linux_gcc,0.021039,0.018551,FOUND
weighted-jaccard,arm64_darwin_go,arm64_linux_go,amd64_darwin_go,amd64_linux_go,0.787157,0.708014,FOUND
weighted-jaccard,arm64_darwin_go,arm64_linux_rs-pure,amd64_darwin_go,amd64_linux_rs-pure,0.350615,0.406318,FOUND
weighted-jaccard,arm64_darwin_go,arm64_linux_rs-sys,amd64_darwin_go,amd64_linux_rs-sys,0.353413,0.411656,FOUND
weighted-jaccard,arm64_darwin_go,arm64_linux_tgo,amd64_darwin_go,amd64_linux_tgo,0.214678,0.157502,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_clang,amd64_darwin_go,amd64_windows_clang,0.387221,0.450040,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_gcc,amd64_darwin_go,amd64_windows_gcc,0.026660,0.026939,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_go,amd64_darwin_go,amd64_windows_go,0.448829,0.647950,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_msvc,amd64_darwin_go,amd64_windows_msvc,0.033546,0.031622,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.058861,0.068110,FOUND
weighted-jaccard,arm64_darwin_go,arm64_windows_rs-sys,amd64_darwin_go,amd64_windows_rs-sys,0.060188,0.069813,FOUND
weighted-jaccard,arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.977970,0.976809,FOUND
