Label,Language,Baseline,Diff_OS,Diff_Compiler,Diff_Arch
linux_go_amd64,go,1.0,0.847736,0.638777,0.915776
windows_rs-pure_arm64,rust,1.0,0.623582,0.984452,0.880337
linux_rs-sys_amd64,rust,1.0,0.808298,0.984705,0.794166
darwin_go_arm64,go,1.0,0.840673,0.590353,0.798273
darwin_rs-sys_arm64,rust,1.0,0.967443,0.984988,0.938754
linux_go_arm64,go,1.0,0.840673,0.649363,0.915776
linux_rs-sys_arm64,rust,1.0,0.967443,0.982673,0.794166
windows_clang_arm64,c,1.0,0.027102,0.626580,0.806750
windows_clang_amd64,c,1.0,0.030556,0.659993,0.806750
linux_tgo_arm64,go,1.0,0.684412,0.228610,0.837294
linux_rs-pure_arm64,rust,1.0,0.966136,0.982673,0.798163
darwin_gcc_amd64,c,1.0,0.790633,1.000000,0.914351
darwin_rs-pure_amd64,rust,1.0,0.811903,0.984104,0.938083
darwin_rs-sys_amd64,rust,1.0,0.808298,0.984104,0.938754
darwin_tgo_amd64,go,1.0,0.708292,0.169897,0.894694
windows_go_amd64,go,1.0,0.844254,0.659993,0.616255
windows_go_arm64,go,1.0,0.695028,0.626580,0.616255
windows_rs-sys_arm64,rust,1.0,0.623617,0.984452,0.877603
linux_rs-pure_amd64,rust,1.0,0.811903,0.984705,0.798163
windows_rs-pure_amd64,rust,1.0,0.586022,0.987682,0.880337
linux_clang_arm64,c,1.0,0.829422,0.783413,0.907938
darwin_clang_amd64,c,1.0,0.860582,1.000000,0.938009
linux_clang_amd64,c,1.0,0.860582,0.890517,0.907938
linux_gcc_amd64,c,1.0,0.790633,0.890517,0.823829
linux_gcc_arm64,c,1.0,0.644345,0.783413,0.823829
darwin_go_amd64,go,1.0,0.847736,0.623524,0.798273
darwin_rs-pure_arm64,rust,1.0,0.966136,0.984988,0.938083
darwin_tgo_arm64,go,1.0,0.684412,0.172938,0.894694
darwin_gcc_arm64,c,1.0,0.644345,0.933034,0.914351
linux_tgo_amd64,go,1.0,0.708292,0.200164,0.837294
windows_rs-sys_amd64,rust,1.0,0.585057,0.987682,0.877603
darwin_clang_arm64,c,1.0,0.829422,0.933034,0.938009
