Label,Language,Baseline,Diff_OS,Diff_Compiler,Diff_Arch
darwin_rs-sys_amd64,rust,1.0,0.842580,0.983097,0.929191
linux_gcc_amd64,c,1.0,0.745786,0.838799,0.813225
windows_clang_amd64,c,1.0,0.030537,0.673906,0.787689
darwin_rs-pure_arm64,rust,1.0,0.961796,0.983955,0.928383
linux_gcc_arm64,c,1.0,0.620435,0.759611,0.813225
windows_go_arm64,go,1.0,0.691941,0.592525,0.636844
windows_rs-sys_amd64,rust,1.0,0.586838,0.986525,0.868338
darwin_rs-sys_arm64,rust,1.0,0.963162,0.983955,0.929191
linux_clang_arm64,c,1.0,0.841597,0.759611,0.900445
windows_rs-sys_arm64,rust,1.0,0.630314,0.983389,0.868338
darwin_rs-pure_amd64,rust,1.0,0.844466,0.983097,0.928383
linux_clang_amd64,c,1.0,0.874195,0.838799,0.900445
windows_go_amd64,go,1.0,0.877973,0.673906,0.636844
darwin_gcc_arm64,c,1.0,0.620435,0.927690,0.894604
linux_rs-pure_arm64,rust,1.0,0.961796,0.981857,0.818321
linux_tgo_arm64,go,1.0,0.694199,0.226222,0.821541
windows_rs-pure_amd64,rust,1.0,0.588092,0.986525,0.870750
darwin_gcc_amd64,c,1.0,0.745786,1.000000,0.894604
linux_rs-pure_amd64,rust,1.0,0.844466,0.983389,0.818321
linux_rs-sys_amd64,rust,1.0,0.842580,0.983389,0.816233
darwin_clang_arm64,c,1.0,0.841597,0.927690,0.923674
linux_rs-sys_arm64,rust,1.0,0.963162,0.981857,0.816233
darwin_clang_amd64,c,1.0,0.874195,1.000000,0.923674
darwin_tgo_amd64,go,1.0,0.727562,0.165967,0.871703
windows_rs-pure_arm64,rust,1.0,0.630379,0.983389,0.870750
linux_go_amd64,go,1.0,0.882952,0.611578,0.923548
linux_tgo_amd64,go,1.0,0.727562,0.197293,0.821541
darwin_tgo_arm64,go,1.0,0.694199,0.171037,0.871703
darwin_go_amd64,go,1.0,0.882952,0.601474,0.889527
darwin_go_arm64,go,1.0,0.905342,0.626695,0.889527
windows_clang_arm64,c,1.0,0.027483,0.592525,0.787689
linux_go_arm64,go,1.0,0.905342,0.635857,0.923548
