Label,Language,Baseline,Diff_OS,Diff_Compiler,Diff_Arch
linux_gcc_amd64,c,1.0,0.643992,0.758525,0.772012
linux_go_amd64,go,1.0,0.753969,0.541914,0.778129
windows_rs-sys_amd64,rust,1.0,0.508474,0.983132,0.824678
linux_rs-pure_amd64,rust,1.0,0.692716,0.979846,0.671231
linux_tgo_amd64,go,1.0,0.609969,0.167034,0.745594
darwin_clang_arm64,c,1.0,0.749757,0.901251,0.849311
darwin_gcc_arm64,c,1.0,0.548788,0.901251,0.824737
linux_tgo_arm64,go,1.0,0.600792,0.191269,0.745594
darwin_go_arm64,go,1.0,0.686686,0.449324,0.620037
darwin_tgo_arm64,go,1.0,0.600792,0.143717,0.803887
linux_go_arm64,go,1.0,0.686686,0.519327,0.778129
darwin_gcc_amd64,c,1.0,0.643992,1.000000,0.824737
linux_rs-sys_amd64,rust,1.0,0.689432,0.979846,0.668020
windows_clang_amd64,c,1.0,0.026544,0.540247,0.715168
linux_rs-sys_arm64,rust,1.0,0.926477,0.977958,0.668020
darwin_rs-sys_amd64,rust,1.0,0.689432,0.978048,0.861775
darwin_rs-pure_arm64,rust,1.0,0.925617,0.980281,0.861500
linux_clang_arm64,c,1.0,0.749757,0.672620,0.809586
windows_clang_arm64,c,1.0,0.023635,0.451278,0.715168
darwin_go_amd64,go,1.0,0.753969,0.511883,0.620037
darwin_rs-pure_amd64,rust,1.0,0.692716,0.978048,0.861500
linux_gcc_arm64,c,1.0,0.548788,0.672620,0.772012
darwin_clang_amd64,c,1.0,0.775413,1.000000,0.849311
linux_clang_amd64,c,1.0,0.775413,0.758525,0.809586
windows_go_amd64,go,1.0,0.727739,0.540247,0.519816
windows_rs-pure_amd64,rust,1.0,0.508970,0.983132,0.826749
darwin_rs-sys_arm64,rust,1.0,0.926477,0.980281,0.861775
windows_rs-pure_arm64,rust,1.0,0.544013,0.979980,0.826749
windows_rs-sys_arm64,rust,1.0,0.543459,0.979980,0.824678
darwin_tgo_amd64,go,1.0,0.609969,0.142165,0.803887
linux_rs-pure_arm64,rust,1.0,0.925617,0.977958,0.671231
windows_go_arm64,go,1.0,0.674209,0.451278,0.519816
