Label,Language,Baseline,Diff_OS,Diff_Compiler,Diff_Arch
linux_clang_amd64,c,1.0,0.758449,0.633639,0.741033
linux_rs-sys_amd64,rust,1.0,0.683887,0.976676,0.592815
windows_rs-pure_amd64,rust,1.0,0.489960,0.981404,0.766934
windows_rs-sys_amd64,rust,1.0,0.489495,0.981404,0.765820
windows_clang_arm64,c,1.0,0.020691,0.319390,0.641268
darwin_gcc_amd64,c,1.0,0.525691,1.000000,0.746170
linux_gcc_amd64,c,1.0,0.525691,0.633639,0.714201
darwin_clang_arm64,c,1.0,0.704829,0.885249,0.785470
linux_rs-pure_amd64,rust,1.0,0.687735,0.976676,0.594552
darwin_gcc_arm64,c,1.0,0.447939,0.885249,0.746170
linux_gcc_arm64,c,1.0,0.447939,0.567918,0.714201
linux_rs-pure_arm64,rust,1.0,0.885099,0.975302,0.594552
linux_tgo_arm64,go,1.0,0.593488,0.143318,0.658596
darwin_rs-pure_amd64,rust,1.0,0.687735,0.975277,0.789163
windows_clang_amd64,c,1.0,0.024172,0.389639,0.641268
darwin_clang_amd64,c,1.0,0.758449,1.000000,0.785470
darwin_rs-sys_amd64,rust,1.0,0.683887,0.975277,0.790428
darwin_tgo_amd64,go,1.0,0.592469,0.098321,0.716475
darwin_go_arm64,go,1.0,0.605151,0.319964,0.558019
darwin_go_amd64,go,1.0,0.759745,0.370131,0.558019
linux_go_amd64,go,1.0,0.759745,0.377742,0.725155
darwin_rs-pure_arm64,rust,1.0,0.885099,0.977179,0.789163
linux_go_arm64,go,1.0,0.657699,0.378408,0.725155
linux_tgo_amd64,go,1.0,0.592469,0.121436,0.658596
linux_rs-sys_arm64,rust,1.0,0.886929,0.975302,0.592815
windows_go_arm64,go,1.0,0.657699,0.319390,0.431898
windows_go_amd64,go,1.0,0.692216,0.389639,0.431898
darwin_rs-sys_arm64,rust,1.0,0.886929,0.977179,0.790428
darwin_tgo_arm64,go,1.0,0.593488,0.101371,0.716475
linux_clang_arm64,c,1.0,0.704829,0.567918,0.741033
windows_rs-pure_arm64,rust,1.0,0.518809,0.978215,0.766934
windows_rs-sys_arm64,rust,1.0,0.518416,0.978215,0.765820
