Label,Language,Baseline,Diff_OS,Diff_Compiler,Diff_Arch
linux_gcc_arm64,c,1.0,0.350825,0.466857,0.649565
linux_rs-sys_arm64,rust,1.0,0.834095,0.972463,0.465775
windows_rs-pure_arm64,rust,1.0,0.452160,0.975413,0.692314
windows_rs-sys_arm64,rust,1.0,0.451846,0.975413,0.691764
darwin_clang_amd64,c,1.0,0.692176,1.000000,0.690264
darwin_tgo_amd64,go,1.0,0.512595,0.073520,0.608610
windows_go_amd64,go,1.0,0.585469,0.281658,0.331527
windows_rs-sys_amd64,rust,1.0,0.428735,0.978567,0.691764
darwin_go_arm64,go,1.0,0.475744,0.230478,0.420422
linux_rs-pure_arm64,rust,1.0,0.831839,0.972463,0.467060
darwin_gcc_amd64,c,1.0,0.413779,1.000000,0.646731
darwin_rs-pure_amd64,rust,1.0,0.586141,0.971922,0.700432
windows_clang_amd64,c,1.0,0.020722,0.281658,0.545254
windows_clang_arm64,c,1.0,0.017435,0.265844,0.545254
linux_rs-sys_amd64,rust,1.0,0.582201,0.973316,0.465775
windows_rs-pure_amd64,rust,1.0,0.428890,0.978567,0.692314
linux_tgo_arm64,go,1.0,0.527842,0.111401,0.555583
linux_go_amd64,go,1.0,0.677653,0.275533,0.606691
darwin_rs-pure_arm64,rust,1.0,0.831839,0.974370,0.700432
linux_go_arm64,go,1.0,0.640544,0.282762,0.606691
darwin_gcc_arm64,c,1.0,0.350825,0.853842,0.646731
linux_clang_arm64,c,1.0,0.628866,0.466857,0.659590
darwin_go_amd64,go,1.0,0.677653,0.277567,0.420422
darwin_rs-sys_amd64,rust,1.0,0.582201,0.971922,0.702379
linux_clang_amd64,c,1.0,0.692176,0.525358,0.659590
linux_rs-pure_amd64,rust,1.0,0.586141,0.973316,0.467060
darwin_clang_arm64,c,1.0,0.628866,0.853842,0.690264
darwin_tgo_arm64,go,1.0,0.527842,0.076993,0.608610
windows_go_arm64,go,1.0,0.640544,0.235059,0.331527
linux_tgo_amd64,go,1.0,0.512595,0.092140,0.555583
linux_gcc_amd64,c,1.0,0.413779,0.525358,0.649565
darwin_rs-sys_arm64,rust,1.0,0.834095,0.974370,0.702379
