Label,Language,Baseline,Diff_OS,Diff_Compiler,Diff_Arch
darwin_gcc_amd64,c,1.0,0.875000,1.000000,0.952381
darwin_tgo_amd64,go,1.0,0.780919,0.186419,0.934461
darwin_rs-pure_arm64,rust,1.0,0.986355,0.988011,0.975705
linux_gcc_amd64,c,1.0,0.875000,0.944444,0.847059
windows_clang_amd64,c,1.0,0.032412,0.841021,0.849737
windows_rs-sys_amd64,rust,1.0,0.654206,0.989961,0.896799
darwin_clang_arm64,c,1.0,0.901408,0.937500,0.984375
linux_tgo_arm64,go,1.0,0.737910,0.258990,0.882995
windows_rs-pure_arm64,rust,1.0,0.721663,0.986871,0.899606
windows_rs-sys_arm64,rust,1.0,0.720621,0.986871,0.896799
darwin_go_amd64,go,1.0,0.952591,0.720669,0.972918
linux_clang_amd64,c,1.0,0.926471,0.944444,0.957746
linux_rs-pure_amd64,rust,1.0,0.963057,0.986663,0.969116
darwin_rs-sys_arm64,rust,1.0,0.988923,0.988011,0.976900
linux_rs-pure_arm64,rust,1.0,0.986355,0.985446,0.969116
windows_go_arm64,go,1.0,0.711120,0.701904,0.696264
linux_go_amd64,go,1.0,0.992820,0.746211,0.987236
darwin_gcc_arm64,c,1.0,0.705882,0.937500,0.952381
darwin_tgo_arm64,go,1.0,0.737910,0.194091,0.934461
linux_gcc_arm64,c,1.0,0.705882,0.835294,0.847059
linux_go_arm64,go,1.0,0.984646,0.761538,0.987236
windows_clang_arm64,c,1.0,0.028757,0.701904,0.849737
darwin_rs-sys_amd64,rust,1.0,0.962741,0.986803,0.976900
linux_rs-sys_amd64,rust,1.0,0.962741,0.986663,0.968004
linux_clang_arm64,c,1.0,0.901408,0.835294,0.957746
darwin_clang_amd64,c,1.0,0.926471,1.000000,0.984375
linux_tgo_amd64,go,1.0,0.780919,0.225768,0.882995
windows_go_amd64,go,1.0,0.992820,0.841021,0.696264
linux_rs-sys_arm64,rust,1.0,0.988923,0.985446,0.968004
windows_rs-pure_amd64,rust,1.0,0.656299,0.989961,0.899606
darwin_go_arm64,go,1.0,0.984646,0.758245,0.972918
darwin_rs-pure_amd64,rust,1.0,0.963057,0.986803,0.975705
