Label,Language,Baseline,Diff_OS,Diff_Compiler,Diff_Arch
linux_clang_amd64,c,1.0,0.734925,0.665429,0.763280
windows_clang_amd64,c,1.0,0.023862,0.407132,0.652687
windows_rs-sys_amd64,rust,1.0,0.460398,0.980208,0.796511
darwin_gcc_arm64,c,1.0,0.469431,0.884453,0.773273
darwin_clang_amd64,c,1.0,0.734925,1.000000,0.807818
darwin_rs-pure_amd64,rust,1.0,0.614545,0.974067,0.816787
darwin_go_arm64,go,1.0,0.587629,0.349829,0.537331
linux_rs-pure_arm64,rust,1.0,0.902183,0.974517,0.566924
linux_go_amd64,go,1.0,0.704249,0.403304,0.699512
windows_go_amd64,go,1.0,0.641571,0.407132,0.425137
darwin_clang_arm64,c,1.0,0.707370,0.884453,0.807818
darwin_rs-sys_arm64,rust,1.0,0.902451,0.976799,0.817045
darwin_rs-pure_arm64,rust,1.0,0.902183,0.976799,0.816787
linux_rs-sys_arm64,rust,1.0,0.902451,0.974517,0.563658
darwin_tgo_arm64,go,1.0,0.558553,0.113535,0.747495
windows_rs-pure_arm64,rust,1.0,0.487449,0.977060,0.798124
darwin_rs-sys_amd64,rust,1.0,0.611322,0.974067,0.817045
darwin_tgo_amd64,go,1.0,0.557719,0.112441,0.747495
linux_tgo_amd64,go,1.0,0.557719,0.133496,0.682147
windows_clang_arm64,c,1.0,0.020969,0.351555,0.652687
windows_rs-sys_arm64,rust,1.0,0.487799,0.977060,0.796511
linux_rs-sys_amd64,rust,1.0,0.611322,0.976426,0.563658
windows_rs-pure_amd64,rust,1.0,0.460899,0.980208,0.798124
linux_clang_arm64,c,1.0,0.707370,0.592821,0.763280
linux_gcc_arm64,c,1.0,0.469431,0.592821,0.741504
linux_go_arm64,go,1.0,0.658226,0.400112,0.699512
linux_tgo_arm64,go,1.0,0.558553,0.155108,0.682147
darwin_go_amd64,go,1.0,0.704249,0.396556,0.537331
linux_gcc_amd64,c,1.0,0.535572,0.665429,0.741504
linux_rs-pure_amd64,rust,1.0,0.614545,0.976426,0.566924
windows_go_arm64,go,1.0,0.658226,0.351555,0.425137
darwin_gcc_amd64,c,1.0,0.535572,1.000000,0.773273
