id,left (arch),left (os),left (compiler),right (arch),right (os),right (compiler),cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
0,amd64,darwin,clang,amd64,darwin,gcc,0.871637,0.827147,0.699096,0.756572,0.568910,0.460407,0.940299,0.600389
1,amd64,darwin,clang,amd64,darwin,go,0.023006,0.022069,0.019008,0.020151,0.014170,0.011020,0.024619,0.015347
10,amd64,darwin,clang,amd64,linux,tgo,0.082214,0.078161,0.066149,0.069665,0.049887,0.038263,0.089872,0.051920
100,amd64,darwin,go,arm64,windows,rs-pure,0.114797,0.112080,0.096897,0.100307,0.074454,0.059120,0.128454,0.076954
101,amd64,darwin,go,arm64,windows,rs-sys,0.117360,0.114480,0.099120,0.102372,0.076179,0.060491,0.131366,0.078703
102,amd64,darwin,rs-pure,amd64,darwin,rs-sys,0.984682,0.983235,0.980351,0.980868,0.976912,0.973826,0.987108,0.976809
103,amd64,darwin,rs-pure,amd64,darwin,tgo,0.155088,0.151246,0.132470,0.138327,0.100728,0.079327,0.168766,0.109590
104,amd64,darwin,rs-pure,amd64,linux,clang,0.018473,0.017915,0.015739,0.016435,0.011999,0.009573,0.019924,0.012988
105,amd64,darwin,rs-pure,amd64,linux,gcc,0.020374,0.019587,0.017547,0.017832,0.012952,0.010144,0.021975,0.014405
106,amd64,darwin,rs-pure,amd64,linux,go,0.656430,0.623250,0.539562,0.539268,0.396636,0.296062,0.753572,0.418691
107,amd64,darwin,rs-pure,amd64,linux,rs-pure,0.823407,0.848179,0.699293,0.762710,0.690350,0.587275,0.968213,0.619299
108,amd64,darwin,rs-pure,amd64,linux,rs-sys,0.814990,0.840215,0.690893,0.754747,0.677154,0.574193,0.953665,0.608981
109,amd64,darwin,rs-pure,amd64,linux,tgo,0.181856,0.179584,0.152372,0.161505,0.115781,0.089975,0.205391,0.123023
11,amd64,darwin,clang,amd64,windows,clang,0.028773,0.028486,0.025540,0.027177,0.023378,0.020238,0.030029,0.023403
