X,C,Go,Rust,A,X_B,VS_B
0.699293,,,0.980351,amd64_darwin_rs-pure,amd64_linux_rs-pure,amd64_darwin_rs-sys
0.699293,,,0.978781,amd64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-sys
0.025540,0.699096,,,amd64_darwin_clang,amd64_windows_clang,amd64_darwin_gcc
0.025540,0.042683,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_gcc
0.025540,0.055906,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_msvc
0.114874,,,0.980351,amd64_darwin_rs-pure,amd64_windows_rs-pure,amd64_darwin_rs-sys
0.114874,,,0.972147,amd64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-sys
0.694291,,,0.980351,amd64_darwin_rs-sys,amd64_linux_rs-sys,amd64_darwin_rs-pure
0.694291,,,0.978781,amd64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-pure
0.116599,,,0.980351,amd64_darwin_rs-sys,amd64_windows_rs-sys,amd64_darwin_rs-pure
0.116599,,,0.972147,amd64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-pure
0.630362,,0.169644,,amd64_darwin_tgo,amd64_linux_tgo,amd64_darwin_go
0.630362,,0.201172,,amd64_linux_tgo,amd64_darwin_tgo,amd64_linux_go
0.027075,0.710045,,,amd64_linux_clang,amd64_windows_clang,amd64_linux_gcc
0.027075,0.042683,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_gcc
0.027075,0.055906,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_msvc
0.580106,0.710045,,,amd64_linux_gcc,amd64_windows_gcc,amd64_linux_clang
0.580106,0.042683,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_clang
0.580106,0.590013,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_msvc
0.863671,,0.201172,,amd64_linux_go,amd64_windows_go,amd64_linux_tgo
0.112475,,,0.978781,amd64_linux_rs-pure,amd64_windows_rs-pure,amd64_linux_rs-sys
0.112475,,,0.972147,amd64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-sys
0.113873,,,0.978781,amd64_linux_rs-sys,amd64_windows_rs-sys,amd64_linux_rs-pure
0.113873,,,0.972147,amd64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-pure
0.728606,0.699096,,,amd64_darwin_gcc,amd64_linux_gcc,amd64_darwin_clang
0.728606,0.710045,,,amd64_linux_gcc,amd64_darwin_gcc,amd64_linux_clang
0.491691,0.699096,,,amd64_darwin_gcc,amd64_windows_gcc,amd64_darwin_clang
0.491691,0.042683,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_clang
0.491691,0.590013,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_msvc
0.772158,0.702583,,,arm64_darwin_clang,arm64_linux_clang,arm64_darwin_gcc
0.772158,0.688969,,,arm64_linux_clang,arm64_darwin_clang,arm64_linux_gcc
0.020689,0.702583,,,arm64_darwin_clang,arm64_windows_clang,arm64_darwin_gcc
0.020689,0.033157,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_gcc
0.020689,0.044401,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_msvc
0.691444,0.702583,,,arm64_darwin_gcc,arm64_linux_gcc,arm64_darwin_clang
