X,C,Go,Rust,A,X_B,VS_B
0.762710,,,0.980868,amd64_darwin_rs-pure,amd64_linux_rs-pure,amd64_darwin_rs-sys
0.762710,,,0.980253,amd64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-sys
0.027177,0.756572,,,amd64_darwin_clang,amd64_windows_clang,amd64_darwin_gcc
0.027177,0.045636,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_gcc
0.027177,0.057858,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_msvc
0.124616,,,0.980868,amd64_darwin_rs-pure,amd64_windows_rs-pure,amd64_darwin_rs-sys
0.124616,,,0.973041,amd64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-sys
0.759292,,,0.980868,amd64_darwin_rs-sys,amd64_linux_rs-sys,amd64_darwin_rs-pure
0.759292,,,0.980253,amd64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-pure
0.126239,,,0.980868,amd64_darwin_rs-sys,amd64_windows_rs-sys,amd64_darwin_rs-pure
0.126239,,,0.973041,amd64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-pure
0.698687,,0.175672,,amd64_darwin_tgo,amd64_linux_tgo,amd64_darwin_go
0.698687,,0.207895,,amd64_linux_tgo,amd64_darwin_tgo,amd64_linux_go
0.029095,0.746731,,,amd64_linux_clang,amd64_windows_clang,amd64_linux_gcc
0.029095,0.045636,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_gcc
0.029095,0.057858,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_msvc
0.610985,0.746731,,,amd64_linux_gcc,amd64_windows_gcc,amd64_linux_clang
0.610985,0.045636,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_clang
0.610985,0.616220,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_msvc
0.882421,,0.207895,,amd64_linux_go,amd64_windows_go,amd64_linux_tgo
0.107820,,,0.980253,amd64_linux_rs-pure,amd64_windows_rs-pure,amd64_linux_rs-sys
0.107820,,,0.973041,amd64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-sys
0.108778,,,0.980253,amd64_linux_rs-sys,amd64_windows_rs-sys,amd64_linux_rs-pure
0.108778,,,0.973041,amd64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-pure
0.778978,0.756572,,,amd64_darwin_gcc,amd64_linux_gcc,amd64_darwin_clang
