X,C,Go,Rust,A,X_B,VS_B
0.587275,,,0.973826,amd64_darwin_rs-pure,amd64_linux_rs-pure,amd64_darwin_rs-sys
0.587275,,,0.972458,amd64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-sys
0.020238,0.460407,,,amd64_darwin_clang,amd64_windows_clang,amd64_darwin_gcc
0.020238,0.027326,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_gcc
0.020238,0.042791,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_msvc
0.080228,,,0.973826,amd64_darwin_rs-pure,amd64_windows_rs-pure,amd64_darwin_rs-sys
0.080228,,,0.968773,amd64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-sys
0.582287,,,0.973826,amd64_darwin_rs-sys,amd64_linux_rs-sys,amd64_darwin_rs-pure
0.582287,,,0.972458,amd64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-pure
0.081626,,,0.973826,amd64_darwin_rs-sys,amd64_windows_rs-sys,amd64_darwin_rs-pure
0.081626,,,0.968773,amd64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-pure
0.528952,,0.097872,,amd64_darwin_tgo,amd64_linux_tgo,amd64_darwin_go
0.528952,,0.116951,,amd64_linux_tgo,amd64_darwin_tgo,amd64_linux_go
0.021618,0.501783,,,amd64_linux_clang,amd64_windows_clang,amd64_linux_gcc
0.021618,0.027326,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_gcc
0.021618,0.042791,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_msvc
0.462549,0.501783,,,amd64_linux_gcc,amd64_windows_gcc,amd64_linux_clang
0.462549,0.027326,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_clang
0.462549,0.366484,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_msvc
0.829370,,0.116951,,amd64_linux_go,amd64_windows_go,amd64_linux_tgo
0.069063,,,0.972458,amd64_linux_rs-pure,amd64_windows_rs-pure,amd64_linux_rs-sys
0.069063,,,0.968773,amd64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-sys
0.069930,,,0.972458,amd64_linux_rs-sys,amd64_windows_rs-sys,amd64_linux_rs-pure
0.069930,,,0.968773,amd64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-pure
0.604595,0.460407,,,amd64_darwin_gcc,amd64_linux_gcc,amd64_darwin_clang
0.604595,0.501783,,,amd64_linux_gcc,amd64_darwin_gcc,amd64_linux_clang
0.405854,0.460407,,,amd64_darwin_gcc,amd64_windows_gcc,amd64_darwin_clang
0.405854,0.027326,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_clang
0.405854,0.366484,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_msvc
0.681708,0.476090,,,arm64_darwin_clang,arm64_linux_clang,arm64_darwin_gcc
0.681708,0.489421,,,arm64_linux_clang,arm64_darwin_clang,arm64_linux_gcc
0.015614,0.476090,,,arm64_darwin_clang,arm64_windows_clang,arm64_darwin_gcc
0.015614,0.020684,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_gcc
0.015614,0.034307,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_msvc
0.572122,0.476090,,,arm64_darwin_gcc,arm64_linux_gcc,arm64_darwin_clang
0.572122,0.489421,,,arm64_linux_gcc,arm64_darwin_gcc,arm64_linux_clang
