X,C,Go,Rust,A,X_B,VS_B
0.926471,1.000000,,,amd64_darwin_clang,amd64_linux_clang,amd64_darwin_gcc
0.926471,0.944444,,,amd64_linux_clang,amd64_darwin_clang,amd64_linux_gcc
0.030029,1.000000,,,amd64_darwin_clang,amd64_windows_clang,amd64_darwin_gcc
0.030029,0.052908,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_gcc
0.030029,0.063870,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_msvc
0.875000,1.000000,,,amd64_darwin_gcc,amd64_linux_gcc,amd64_darwin_clang
0.875000,0.944444,,,amd64_linux_gcc,amd64_darwin_gcc,amd64_linux_clang
0.567568,1.000000,,,amd64_darwin_gcc,amd64_windows_gcc,amd64_darwin_clang
0.567568,0.052908,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_clang
0.567568,0.828358,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_msvc
0.945752,,0.186419,,amd64_darwin_go,amd64_linux_go,amd64_darwin_tgo
0.945752,,0.225768,,amd64_linux_go,amd64_darwin_go,amd64_linux_tgo
0.952591,,0.186419,,amd64_darwin_go,amd64_windows_go,amd64_darwin_tgo
0.963057,,,0.986803,amd64_darwin_rs-pure,amd64_linux_rs-pure,amd64_darwin_rs-sys
0.963057,,,0.986663,amd64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-sys
0.656299,,,0.986803,amd64_darwin_rs-pure,amd64_windows_rs-pure,amd64_darwin_rs-sys
0.656299,,,0.989961,amd64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-sys
0.962741,,,0.986803,amd64_darwin_rs-sys,amd64_linux_rs-sys,amd64_darwin_rs-pure
0.962741,,,0.986663,amd64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-pure
0.654206,,,0.986803,amd64_darwin_rs-sys,amd64_windows_rs-sys,amd64_darwin_rs-pure
0.654206,,,0.989961,amd64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-pure
0.780919,,0.186419,,amd64_darwin_tgo,amd64_linux_tgo,amd64_darwin_go
0.780919,,0.225768,,amd64_linux_tgo,amd64_darwin_tgo,amd64_linux_go
0.032412,0.944444,,,amd64_linux_clang,amd64_windows_clang,amd64_linux_gcc
0.032412,0.052908,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_gcc
0.032412,0.063870,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_msvc
0.648649,0.944444,,,amd64_linux_gcc,amd64_windows_gcc,amd64_linux_clang
0.648649,0.052908,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_clang
0.648649,0.828358,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_msvc
0.992820,,0.225768,,amd64_linux_go,amd64_windows_go,amd64_linux_tgo
0.631841,,,0.986663,amd64_linux_rs-pure,amd64_windows_rs-pure,amd64_linux_rs-sys
0.631841,,,0.989961,amd64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-sys
0.629872,,,0.986663,amd64_linux_rs-sys,amd64_windows_rs-sys,amd64_linux_rs-pure
0.629872,,,0.989961,amd64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-pure
0.901408,0.937500,,,arm64_darwin_clang,arm64_linux_clang,arm64_darwin_gcc
0.901408,0.835294,,,arm64_linux_clang,arm64_darwin_clang,arm64_linux_gcc
0.025921,0.937500,,,arm64_darwin_clang,arm64_windows_clang,arm64_darwin_gcc
0.025921,0.280680,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_msvc
0.705882,0.937500,,,arm64_darwin_gcc,arm64_linux_gcc,arm64_darwin_clang
0.705882,0.835294,,,arm64_linux_gcc,arm64_darwin_gcc,arm64_linux_clang
0.984646,,0.194091,,arm64_darwin_go,arm64_linux_go,arm64_darwin_tgo
0.984646,,0.258990,,arm64_linux_go,arm64_darwin_go,arm64_linux_tgo
0.711120,,0.194091,,arm64_darwin_go,arm64_windows_go,arm64_darwin_tgo
0.986355,,,0.988011,arm64_darwin_rs-pure,arm64_linux_rs-pure,arm64_darwin_rs-sys
0.986355,,,0.985446,arm64_linux_rs-pure,arm64_darwin_rs-pure,arm64_linux_rs-sys
0.711816,,,0.988011,arm64_darwin_rs-pure,arm64_windows_rs-pure,arm64_darwin_rs-sys
0.711816,,,0.986871,arm64_windows_rs-pure,arm64_darwin_rs-pure,arm64_windows_rs-sys
0.988923,,,0.988011,arm64_darwin_rs-sys,arm64_linux_rs-sys,arm64_darwin_rs-pure
0.988923,,,0.985446,arm64_linux_rs-sys,arm64_darwin_rs-sys,arm64_linux_rs-pure
0.712639,,,0.988011,arm64_darwin_rs-sys,arm64_windows_rs-sys,arm64_darwin_rs-pure
0.712639,,,0.986871,arm64_windows_rs-sys,arm64_darwin_rs-sys,arm64_windows_rs-pure
0.737910,,0.194091,,arm64_darwin_tgo,arm64_linux_tgo,arm64_darwin_go
0.737910,,0.258990,,arm64_linux_tgo,arm64_darwin_tgo,arm64_linux_go
0.028757,0.835294,,,arm64_linux_clang,arm64_windows_clang,arm64_linux_gcc
0.028757,0.280680,,,arm64_windows_clang,arm64_linux_clang,arm64_windows_msvc
0.700202,,0.258990,,arm64_linux_go,arm64_windows_go,arm64_linux_tgo
0.721663,,,0.985446,arm64_linux_rs-pure,arm64_windows_rs-pure,arm64_linux_rs-sys
0.721663,,,0.986871,arm64_windows_rs-pure,arm64_linux_rs-pure,arm64_windows_rs-sys
0.720621,,,0.985446,arm64_linux_rs-sys,arm64_windows_rs-sys,arm64_linux_rs-pure
0.720621,,,0.986871,arm64_windows_rs-sys,arm64_linux_rs-sys,arm64_windows_rs-pure
