X,C,Go,Rust,A,X_B,VS_B
0.619299,,,0.976809,amd64_darwin_rs-pure,amd64_linux_rs-pure,amd64_darwin_rs-sys
0.619299,,,0.975628,amd64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-sys
0.023403,0.600389,,,amd64_darwin_clang,amd64_windows_clang,amd64_darwin_gcc
0.023403,0.036447,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_gcc
0.023403,0.050518,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_msvc
0.095430,,,0.976809,amd64_darwin_rs-pure,amd64_windows_rs-pure,amd64_darwin_rs-sys
0.095430,,,0.970157,amd64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-sys
0.614109,,,0.976809,amd64_darwin_rs-sys,amd64_linux_rs-sys,amd64_darwin_rs-pure
0.614109,,,0.975628,amd64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-pure
0.097076,,,0.976809,amd64_darwin_rs-sys,amd64_windows_rs-sys,amd64_darwin_rs-pure
0.097076,,,0.970157,amd64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-pure
0.573220,,0.137001,,amd64_darwin_tgo,amd64_linux_tgo,amd64_darwin_go
0.573220,,0.161168,,amd64_linux_tgo,amd64_darwin_tgo,amd64_linux_go
0.024615,0.623888,,,amd64_linux_clang,amd64_windows_clang,amd64_linux_gcc
0.024615,0.036447,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_gcc
0.024615,0.050518,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_msvc
0.539274,0.623888,,,amd64_linux_gcc,amd64_windows_gcc,amd64_linux_clang
0.539274,0.036447,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_clang
0.539274,0.469939,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_msvc
0.845731,,0.161168,,amd64_linux_go,amd64_windows_go,amd64_linux_tgo
0.086807,,,0.975628,amd64_linux_rs-pure,amd64_windows_rs-pure,amd64_linux_rs-sys
0.086807,,,0.970157,amd64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-sys
0.088076,,,0.975628,amd64_linux_rs-sys,amd64_windows_rs-sys,amd64_linux_rs-pure
0.088076,,,0.970157,amd64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-pure
0.684756,0.600389,,,amd64_darwin_gcc,amd64_linux_gcc,amd64_darwin_clang
0.684756,0.623888,,,amd64_linux_gcc,amd64_darwin_gcc,amd64_linux_clang
0.452955,0.600389,,,amd64_darwin_gcc,amd64_windows_gcc,amd64_darwin_clang
0.452955,0.036447,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_clang
0.452955,0.469939,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_msvc
0.737007,0.620191,,,arm64_darwin_clang,arm64_linux_clang,arm64_darwin_gcc
0.737007,0.609851,,,arm64_linux_clang,arm64_darwin_clang,arm64_linux_gcc
0.018725,0.620191,,,arm64_darwin_clang,arm64_windows_clang,arm64_darwin_gcc
0.018725,0.028208,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_gcc
0.018725,0.039901,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_msvc
0.652942,0.620191,,,arm64_darwin_gcc,arm64_linux_gcc,arm64_darwin_clang
0.652942,0.609851,,,arm64_linux_gcc,arm64_darwin_gcc,arm64_linux_clang
0.768535,0.600389,,,amd64_darwin_clang,amd64_linux_clang,amd64_darwin_gcc
0.768535,0.623888,,,amd64_linux_clang,amd64_darwin_clang,amd64_linux_gcc
0.493713,0.620191,,,arm64_darwin_gcc,arm64_windows_gcc,arm64_darwin_clang
0.493713,0.028208,,,arm64_windows_gcc,arm64_darwin_gcc,arm64_windows_clang
0.493713,0.451726,,,arm64_windows_gcc,arm64_darwin_gcc,arm64_windows_msvc
0.787157,,0.189321,,arm64_darwin_go,arm64_linux_go,arm64_darwin_tgo
0.787157,,0.176849,,arm64_linux_go,arm64_darwin_go,arm64_linux_tgo
0.448829,,0.189321,,arm64_darwin_go,arm64_windows_go,arm64_darwin_tgo
0.875758,,,0.977970,arm64_darwin_rs-pure,arm64_linux_rs-pure,arm64_darwin_rs-sys
0.875758,,,0.974723,arm64_linux_rs-pure,arm64_darwin_rs-pure,arm64_linux_rs-sys
0.106262,,,0.977970,arm64_darwin_rs-pure,arm64_windows_rs-pure,arm64_darwin_rs-sys
0.106262,,,0.970693,arm64_windows_rs-pure,arm64_darwin_rs-pure,arm64_windows_rs-sys
0.875413,,,0.977970,arm64_darwin_rs-sys,arm64_linux_rs-sys,arm64_darwin_rs-pure
0.875413,,,0.974723,arm64_linux_rs-sys,arm64_darwin_rs-sys,arm64_linux_rs-pure
0.107819,,,0.977970,arm64_darwin_rs-sys,arm64_windows_rs-sys,arm64_darwin_rs-pure
0.107819,,,0.970693,arm64_windows_rs-sys,arm64_darwin_rs-sys,arm64_windows_rs-pure
0.648430,,0.189321,,arm64_darwin_tgo,arm64_linux_tgo,arm64_darwin_go
0.648430,,0.176849,,arm64_linux_tgo,arm64_darwin_tgo,arm64_linux_go
0.019823,0.609851,,,arm64_linux_clang,arm64_windows_clang,arm64_linux_gcc
0.019823,0.028208,,,arm64_windows_clang,arm64_linux_clang,arm64_windows_gcc
0.019823,0.039901,,,arm64_windows_clang,arm64_linux_clang,arm64_windows_msvc
0.640765,0.609851,,,arm64_linux_gcc,arm64_windows_gcc,arm64_linux_clang
0.640765,0.028208,,,arm64_windows_gcc,arm64_linux_gcc,arm64_windows_clang
0.640765,0.451726,,,arm64_windows_gcc,arm64_linux_gcc,arm64_windows_msvc
0.470944,,0.176849,,arm64_linux_go,arm64_windows_go,arm64_linux_tgo
0.106939,,,0.974723,arm64_linux_rs-pure,arm64_windows_rs-pure,arm64_linux_rs-sys
0.106939,,,0.970693,arm64_windows_rs-pure,arm64_linux_rs-pure,arm64_windows_rs-sys
0.108229,,,0.974723,arm64_linux_rs-sys,arm64_windows_rs-sys,arm64_linux_rs-pure
0.108229,,,0.970693,arm64_windows_rs-sys,arm64_linux_rs-sys,arm64_windows_rs-pure
0.708014,,0.137001,,amd64_darwin_go,amd64_linux_go,amd64_darwin_tgo
0.708014,,0.161168,,amd64_linux_go,amd64_darwin_go,amd64_linux_tgo
0.647950,,0.137001,,amd64_darwin_go,amd64_windows_go,amd64_darwin_tgo
