X,C,Go,Rust,A,X_B,VS_B
0.734925,1.000000,,,amd64_darwin_clang,amd64_linux_clang,amd64_darwin_gcc
0.734925,0.665429,,,amd64_linux_clang,amd64_darwin_clang,amd64_linux_gcc
0.023403,1.000000,,,amd64_darwin_clang,amd64_windows_clang,amd64_darwin_gcc
0.023403,0.036448,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_gcc
0.023403,0.050518,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_msvc
0.535572,1.000000,,,amd64_darwin_gcc,amd64_linux_gcc,amd64_darwin_clang
0.535572,0.665429,,,amd64_linux_gcc,amd64_darwin_gcc,amd64_linux_clang
0.342953,1.000000,,,amd64_darwin_gcc,amd64_windows_gcc,amd64_darwin_clang
0.342953,0.036448,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_clang
0.342953,0.469937,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_msvc
0.704249,,0.112441,,amd64_darwin_go,amd64_linux_go,amd64_darwin_tgo
0.704249,,0.133496,,amd64_linux_go,amd64_darwin_go,amd64_linux_tgo
0.641571,,0.112441,,amd64_darwin_go,amd64_windows_go,amd64_darwin_tgo
0.614545,,,0.974067,amd64_darwin_rs-pure,amd64_linux_rs-pure,amd64_darwin_rs-sys
0.614545,,,0.976426,amd64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-sys
0.460899,,,0.974067,amd64_darwin_rs-pure,amd64_windows_rs-pure,amd64_darwin_rs-sys
0.460899,,,0.980208,amd64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-sys
0.611322,,,0.974067,amd64_darwin_rs-sys,amd64_linux_rs-sys,amd64_darwin_rs-pure
0.611322,,,0.976426,amd64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-pure
0.460398,,,0.974067,amd64_darwin_rs-sys,amd64_windows_rs-sys,amd64_darwin_rs-pure
0.460398,,,0.980208,amd64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-pure
0.557719,,0.112441,,amd64_darwin_tgo,amd64_linux_tgo,amd64_darwin_go
0.557719,,0.133496,,amd64_linux_tgo,amd64_darwin_tgo,amd64_linux_go
0.023862,0.665429,,,amd64_linux_clang,amd64_windows_clang,amd64_linux_gcc
0.023862,0.036448,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_gcc
0.023862,0.050518,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_msvc
0.480215,0.665429,,,amd64_linux_gcc,amd64_windows_gcc,amd64_linux_clang
0.480215,0.036448,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_clang
0.480215,0.469937,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_msvc
0.606915,,0.133496,,amd64_linux_go,amd64_windows_go,amd64_linux_tgo
0.348772,,,0.976426,amd64_linux_rs-pure,amd64_windows_rs-pure,amd64_linux_rs-sys
0.348772,,,0.980208,amd64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-sys
0.346202,,,0.976426,amd64_linux_rs-sys,amd64_windows_rs-sys,amd64_linux_rs-pure
0.346202,,,0.980208,amd64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-pure
0.707370,0.884453,,,arm64_darwin_clang,arm64_linux_clang,arm64_darwin_gcc
0.707370,0.592821,,,arm64_linux_clang,arm64_darwin_clang,arm64_linux_gcc
0.019713,0.884453,,,arm64_darwin_clang,arm64_windows_clang,arm64_darwin_gcc
0.019713,0.271073,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_msvc
0.469431,0.884453,,,arm64_darwin_gcc,arm64_linux_gcc,arm64_darwin_clang
0.469431,0.592821,,,arm64_linux_gcc,arm64_darwin_gcc,arm64_linux_clang
0.587629,,0.113535,,arm64_darwin_go,arm64_linux_go,arm64_darwin_tgo
0.587629,,0.155108,,arm64_linux_go,arm64_darwin_go,arm64_linux_tgo
0.450911,,0.113535,,arm64_darwin_go,arm64_windows_go,arm64_darwin_tgo
0.902183,,,0.976799,arm64_darwin_rs-pure,arm64_linux_rs-pure,arm64_darwin_rs-sys
