result,486874542,1
left,birthmark,bzip2-1.0.2,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.2,op-seq,2026-04-17T04:57:55.385904+00:00,4462500
right,birthmark,bzip2-1.0.2,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.2,op-seq,2026-04-17T04:57:55.385904+00:00,4462500
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,_fopen_output_safely,1,0.3448275862068966,0.6666666666666666,0.3448275862068966,0.47619047619047616,0.5454545454545454,0.5454545454545454,0.3125,0.3225806451612903,0.35714285714285715,0.6666666666666666,0.5263157894736842,0.7692307692307693,0.5454545454545454,0.5454545454545454,0.3125,0.5714285714285714,0.5454545454545454,0.7142857142857143,0.5454545454545454,0.5714285714285714,0.2564102564102564,0.2631578947368421,0.2857142857142857,0.2564102564102564,0.36363636363636365,0.25,0.2222222222222222,0.24390243902439024,0.18181818181818182,0.23809523809523808,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.8888888888888888,0.45454545454545453,0.30303030303030304,0.4444444444444444,0.38095238095238093,0.4444444444444444,0.2857142857142857,0.4444444444444444,0.5263157894736842,0.37037037037037035,0.5714285714285714,0.37037037037037035,0.45454545454545453,0.47058823529411764,0.47619047619047616,0.46153846153846156,0.4,0.4166666666666667,0.5,0.4166666666666667,0.5,0.5555555555555556,0.7692307692307693,0.5714285714285714,0.45454545454545453,0.125,0.2962962962962963,0.5454545454545454,0.5,0.5454545454545454,0.5714285714285714
1,entry,0.3448275862068966,1,0.5882352941176471,0.8333333333333334,0.75,0.4,0.4,0.8235294117647058,0.84,0.8936170212765957,0.5882352941176471,0.7368421052631579,0.5,0.4,0.4,0.7843137254901961,0.5454545454545454,0.4,0.5454545454545454,0.4,0.15384615384615385,0.7241379310344828,0.7368421052631579,0.7,0.7241379310344828,0.7317073170731707,0.6666666666666666,0.2857142857142857,0.7,0.5365853658536586,0.7540983606557377,0.15384615384615385,0.7317073170731707,0.14285714285714285,0.2857142857142857,0.7804878048780488,0.7692307692307693,0.6486486486486487,0.75,0.4864864864864865,0.7037037037037037,0.6486486486486487,0.7368421052631579,0.8260869565217391,0.15384615384615385,0.8260869565217391,0.7804878048780488,0.6111111111111112,0.75,0.5,0.8181818181818182,0.7906976744186046,0.2222222222222222,0.8372093023255814,0.2222222222222222,0.6486486486486487,0.5,0.15384615384615385,0.7804878048780488,0.45714285714285713,0.6956521739130435,0.4,0.2222222222222222,0.4,0.5454545454545454
2,_mySIGSEGVorSIGBUScatcher,0.6666666666666666,0.5882352941176471,1,0.5882352941176471,0.7692307692307693,0.75,0.75,0.5405405405405406,0.5555555555555556,0.6060606060606061,0.9,0.8333333333333334,0.8888888888888888,0.75,0.75,0.5405405405405406,0.8421052631578947,0.75,0.9473684210526315,0.75,0.3333333333333333,0.45454545454545453,0.46511627906976744,0.5384615384615384,0.45454545454545453,0.5925925925925926,0.43243243243243246,0.2857142857142857,0.43478260869565216,0.37037037037037035,0.425531914893617,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.5714285714285714,0.6666666666666666,0.5263157894736842,0.6956521739130435,0.6153846153846154,0.6086956521739131,0.5,0.6956521739130435,0.6666666666666666,0.5625,0.3333333333333333,0.5625,0.6666666666666666,0.6363636363636364,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6896551724137931,0.46153846153846156,0.6896551724137931,0.46153846153846156,0.8695652173913043,0.7777777777777778,0.3333333333333333,0.7407407407407407,0.2857142857142857,0.5,0.75,0.46153846153846156,0.75,0.9473684210526315
3,_addFlagsFromEnvVar,0.3448275862068966,0.8333333333333334,0.5882352941176471,1,0.8,0.4,0.4,0.8627450980392157,0.88,0.8936170212765957,0.5882352941176471,0.6842105263157895,0.5,0.4,0.4,0.8235294117647058,0.5454545454545454,0.4,0.5454545454545454,0.4,0.15384615384615385,0.7931034482758621,0.8070175438596491,0.65,0.8275862068965517,0.7317073170731707,0.8235294117647058,0.2857142857142857,0.8,0.6829268292682927,0.7868852459016393,0.15384615384615385,0.7804878048780488,0.2857142857142857,0.2857142857142857,0.7804878048780488,0.8461538461538461,0.6486486486486487,0.75,0.5945945945945946,0.8148148148148148,0.6486486486486487,0.7368421052631579,0.8260869565217391,0.15384615384615385,0.782608695652174,0.8292682926829268,0.6111111111111112,0.8,0.5,0.8181818181818182,0.7906976744186046,0.2222222222222222,0.8837209302325582,0.2222222222222222,0.7027027027027027,0.5,0.15384615384615385,0.7317073170731707,0.5714285714285714,0.8260869565217391,0.4,0.2222222222222222,0.4,0.5454545454545454
4,_snocString,0.47619047619047616,0.75,0.7692307692307693,0.8,1,0.5454545454545454,0.5454545454545454,0.7441860465116279,0.7619047619047619,0.7692307692307693,0.7692307692307693,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.6976744186046512,0.64,0.5454545454545454,0.72,0.5454545454545454,0.2222222222222222,0.64,0.6530612244897959,0.625,0.64,0.7272727272727273,0.6511627906976745,0.4,0.6153846153846154,0.6060606060606061,0.6037735849056604,0.2222222222222222,0.7272727272727273,0.3,0.4,0.7272727272727273,0.7272727272727273,0.6896551724137931,0.75,0.6206896551724138,0.6956521739130435,0.6896551724137931,0.7333333333333333,0.7368421052631579,0.2222222222222222,0.7368421052631579,0.7878787878787878,0.7142857142857143,0.75,0.6666666666666666,0.7222222222222222,0.7428571428571429,0.3157894736842105,0.8,0.3157894736842105,0.7586206896551724,0.5833333333333334,0.2222222222222222,0.7878787878787878,0.5185185185185185,0.7368421052631579,0.5454545454545454,0.3157894736842105,0.5454545454545454,0.72
5,_usage,0.5454545454545454,0.4,0.75,0.4,0.5454545454545454,1,1,0.36363636363636365,0.375,0.41379310344827586,0.75,0.6,0.8571428571428571,1,1,0.36363636363636365,0.8,1,0.8,1,0.5,0.3,0.3076923076923077,0.36363636363636365,0.3,0.34782608695652173,0.24242424242424243,0.4,0.2857142857142857,0.2608695652173913,0.27906976744186046,0.5,0.43478260869565216,0.4,0.4,0.43478260869565216,0.35294117647058826,0.42105263157894735,0.36363636363636365,0.42105263157894735,0.3333333333333333,0.42105263157894735,0.4,0.35714285714285715,0.5,0.35714285714285715,0.43478260869565216,0.4444444444444444,0.45454545454545453,0.42857142857142855,0.46153846153846156,0.48,0.6666666666666666,0.48,0.6666666666666666,0.631578947368421,0.5714285714285714,0.5,0.5217391304347826,0.35294117647058826,0.2857142857142857,1,0.6666666666666666,1,0.8
6,_mySignalCatcher,0.5454545454545454,0.4,0.75,0.4,0.5454545454545454,1,1,0.36363636363636365,0.375,0.41379310344827586,0.75,0.6,0.8571428571428571,1,1,0.36363636363636365,0.8,1,0.8,1,0.5,0.3,0.3076923076923077,0.36363636363636365,0.3,0.34782608695652173,0.24242424242424243,0.4,0.2857142857142857,0.2608695652173913,0.27906976744186046,0.5,0.43478260869565216,0.4,0.4,0.43478260869565216,0.35294117647058826,0.42105263157894735,0.36363636363636365,0.42105263157894735,0.3333333333333333,0.42105263157894735,0.4,0.35714285714285715,0.5,0.35714285714285715,0.43478260869565216,0.4444444444444444,0.45454545454545453,0.42857142857142855,0.46153846153846156,0.48,0.6666666666666666,0.48,0.6666666666666666,0.631578947368421,0.5714285714285714,0.5,0.5217391304347826,0.35294117647058826,0.2857142857142857,1,0.6666666666666666,1,0.8
7,_compress,0.3125,0.8235294117647058,0.5405405405405406,0.8627450980392157,0.7441860465116279,0.36363636363636365,0.36363636363636365,1,0.9811320754716981,0.92,0.5405405405405406,0.6829268292682927,0.45714285714285713,0.36363636363636365,0.36363636363636365,0.7777777777777778,0.5,0.36363636363636365,0.5,0.36363636363636365,0.13793103448275862,0.8852459016393442,0.8333333333333334,0.6046511627906976,0.8524590163934426,0.7272727272727273,0.8148148148148148,0.25806451612903225,0.8253968253968254,0.6363636363636364,0.84375,0.13793103448275862,0.7272727272727273,0.1935483870967742,0.25806451612903225,0.7727272727272727,0.8363636363636363,0.65,0.7441860465116279,0.55,0.8070175438596491,0.65,0.6829268292682927,0.8571428571428571,0.13793103448275862,0.8571428571428571,0.7727272727272727,0.6153846153846154,0.7441860465116279,0.45714285714285713,0.851063829787234,0.8260869565217391,0.2,0.8260869565217391,0.2,0.65,0.45714285714285713,0.13793103448275862,0.7727272727272727,0.47368421052631576,0.7755102040816326,0.36363636363636365,0.2,0.36363636363636365,0.5
8,_uncompress,0.3225806451612903,0.84,0.5555555555555556,0.88,0.7619047619047619,0.375,0.375,0.9811320754716981,1,0.9387755102040817,0.5555555555555556,0.7,0.47058823529411764,0.375,0.375,0.7547169811320755,0.5142857142857142,0.375,0.5142857142857142,0.375,0.14285714285714285,0.8666666666666667,0.8135593220338984,0.6190476190476191,0.8333333333333334,0.7441860465116279,0.7924528301886793,0.26666666666666666,0.8064516129032258,0.6046511627906976,0.8253968253968254,0.14285714285714285,0.7441860465116279,0.2,0.26666666666666666,0.7906976744186046,0.8148148148148148,0.6666666666666666,0.7619047619047619,0.5641025641025641,0.7857142857142857,0.6666666666666666,0.7,0.8333333333333334,0.14285714285714285,0.8333333333333334,0.7906976744186046,0.631578947368421,0.7619047619047619,0.47058823529411764,0.8695652173913043,0.8444444444444444,0.20689655172413793,0.8444444444444444,0.20689655172413793,0.6666666666666666,0.47058823529411764,0.14285714285714285,0.7906976744186046,0.4864864864864865,0.75,0.375,0.20689655172413793,0.375,0.5142857142857142
9,_testf,0.35714285714285715,0.8936170212765957,0.6060606060606061,0.8936170212765957,0.7692307692307693,0.41379310344827586,0.41379310344827586,0.92,0.9387755102040817,1,0.6060606060606061,0.7567567567567568,0.5161290322580645,0.41379310344827586,0.41379310344827586,0.8,0.5625,0.41379310344827586,0.5625,0.41379310344827586,0.16,0.8070175438596491,0.7857142857142857,0.6666666666666666,0.7719298245614035,0.75,0.72,0.2962962962962963,0.7457627118644068,0.6,0.7666666666666667,0.16,0.8,0.14814814814814814,0.2962962962962963,0.8,0.7843137254901961,0.7222222222222222,0.8205128205128205,0.5,0.7547169811320755,0.7222222222222222,0.7567567567567568,0.8888888888888888,0.16,0.8444444444444444,0.8,0.6857142857142857,0.8205128205128205,0.5161290322580645,0.8837209302325582,0.8571428571428571,0.23076923076923078,0.8571428571428571,0.23076923076923078,0.7222222222222222,0.5161290322580645,0.16,0.85,0.5294117647058824,0.7555555555555555,0.41379310344827586,0.23076923076923078,0.41379310344827586,0.5625
