result,614456708,1
left,birthmark,bzip2-1.0.1,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.1,op-seq,2026-04-17T04:57:54.745901+00:00,4045000
right,birthmark,bzip2-1.0.1,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.1,op-seq,2026-04-17T04:57:54.745901+00:00,4045000
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_setInterimPermissions,_pad,_copyDatePermissionsAndOwner,_uInt64_toAscii,_configError,_crcError,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_compressedStreamEOF,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,1,0.02745759010742299,0.06496888750401808,0.02195282852294933,0.0038567503355705357,0.005468002577762143,0.705957220082945,0.7845782268588813,0.6782041012722142,0.0053160997663648235,0.08239048208228239,0.005034005809216091,0.007496767825146966,0.007496767825146966,0.0019895797900330026,0.01112112014459421,0.022078338496030248,0.12980738719163953,0.006372021290870444,0.009604456867302713,0.006779807335283716,0.0008314133428235504,0.13461000023233927,0.3006374102531276,0.08282358952317925,0.2383389178105173,0.010918842434115561,0.12357088468977451,0.0011605302664872141,0.10634849057302131,0.05177244354529564,0.11506686546737888,0.0009114793456820314,0.09353644923993609,0.001166106524285393,0.0015727071976487927,0.02915925495561056,0.20370595637843336,0.013125152189374711,0.016997758680434183,0.007169309030030213,0.297959664262759,0.013125152189374711,0.019133350695177187,0.03049620226518135,0.0008314133428235504,0.056720678299270744,0.024841998894265305,0.025282500489739013,0.03684971093773637,0.011552959682398,0.13555326099415854,0.17517911732532354,0.0010222396066614792,0.16061214578252858,0.0010222396066614792,0.0046040025744373825,0.002935381460722697,0.0009114793456820314,0.039251805238040505,0.002758253995415294,0.04523442161016544,0.009604456867302713,0.01174658260913497,0.0019718791531504465,0.005468002577762143,0.003416575305020819
1,_mySIGSEGVorSIGBUScatcher,0.02745759010742299,1,0.37952076613446006,0.7590466653316716,0.26431540198803405,0.3409378184235602,0.016110573475168644,0.018788580677923106,0.053106508010237974,0.3049081195675263,0.47069835786547465,0.3323610483642011,0.4258692436172399,0.4258692436172399,0.1290073867122694,0.526773085233644,0.7098817364546479,0.15039020878872078,0.3844901388695632,0.5000670316791329,0.4133105092379521,0.05970617706003423,0.0019108189724632574,0.10056385675106005,0.16018497364277628,0.1314108160600752,0.42853874625270083,0.12490649214490845,0.07381177282338236,0.0015528294913034202,0.22464042686331254,0.001694489449429959,0.07240390074593284,0.2772230386776884,0.07791299545381225,0.10599920851617306,0.3850552400417767,0.10743288090842318,0.3770085962742038,0.3596116657906978,0.36903035707184917,0.06459134941124556,0.3770085962742038,0.4423872157156772,0.31978461288666293,0.05970617706003423,0.23079890244756285,0.3718041836278667,0.3176641259489733,0.3106796112733047,0.337811408851872,0.27227555210193566,0.23369642814641722,0.07251131717609871,0.2628869118022755,0.07251131717609871,0.2817011370334771,0.19504855778064956,0.07240390074593284,0.45716939724749284,0.15340652575863012,0.22701630894496105,0.5000670316791329,0.5625423744608464,0.13033209107327504,0.3409378184235602,0.2327944978736014
2,_addFlagsFromEnvVar,0.06496888750401808,0.37952076613446006,1,0.35797295342721147,0.08404323998976537,0.10161479704286402,0.03492554607054288,0.04197043860593741,0.11863598451774648,0.11809418184919429,0.5521257551018972,0.11762078076079563,0.12575233456782509,0.12575233456782509,0.047103674357538705,0.2079215568128785,0.2728552723281906,0.362063873934118,0.12567227076765863,0.14951660318211957,0.1363154539990704,0.018903334226350044,0.004817668471676861,0.2941831431365113,0.38574421410383464,0.3676836798982509,0.2725508525827788,0.3998892992878921,0.031308804467246265,0.0035779367313906185,0.45822822483138725,0.003938505920941249,0.02433599292723676,0.5455762263000835,0.026758955604017864,0.03882599322198654,0.5458106424512329,0.31583228085574844,0.3080425824324493,0.3730437568015802,0.18233153816564085,0.20431661481567798,0.3080425824324493,0.4331154945391924,0.46829129671789826,0.018903334226350044,0.5209289816448794,0.5007604091531713,0.41671516048225765,0.4938108799606902,0.2642759003742242,0.559898783230378,0.44151985594541554,0.025522745381388212,0.45398690057393765,0.025522745381388212,0.11906868176033014,0.06877278519292851,0.02433599292723676,0.5092310965972533,0.08200701794235454,0.4311576736522901,0.14951660318211957,0.1720741895923572,0.04594190883342164,0.10161479704286402,0.07153981191348224
3,_snocString,0.02195282852294933,0.7590466653316716,0.35797295342721147,1,0.29386250068219844,0.36191780097416093,0.012947161547419705,0.015121069394498088,0.04296286594508947,0.3205844133772291,0.3816415801612416,0.362054425272756,0.4486226329275258,0.4486226329275258,0.17185667468886412,0.5367137517321532,0.6554746247443783,0.143476006495177,0.4050941092220455,0.5221173836106452,0.4171517532958503,0.07925698924688374,0.001501901231579672,0.08952628163070253,0.16240127685676164,0.1170980863978518,0.45199541358936235,0.1272026716291017,0.09359757443742989,0.0012472228637182559,0.2362637949527817,0.0013565981152496853,0.07925698924688374,0.2614350385278049,0.1021245977199643,0.1420317051567218,0.4308543678727703,0.10453971508537063,0.4193145391804426,0.41632163729197724,0.38402773028767934,0.061835094315913275,0.4193145391804426,0.5432219035193622,0.3779414009449611,0.07925698924688374,0.2578609277637286,0.4518600543870216,0.36017221521509724,0.360286095328867,0.43249712123362705,0.233208223823975,0.1941328157063441,0.09518897355763312,0.22453651594169977,0.09518897355763312,0.32595323684250843,0.22030856276009514,0.07925698924688374,0.45157182802583506,0.18628306693625285,0.24713681621448214,0.5221173836106452,0.5815005890490639,0.17691151331988075,0.36191780097416093,0.26284386930976267
4,_usage,0.0038567503355705357,0.26431540198803405,0.08404323998976537,0.29386250068219844,1,0.8025469509178665,0.0022395325498657526,0.0026246307225986643,0.007655735194615265,0.634225295294389,0.08552707648920466,0.7340841592506012,0.6570357860010545,0.6570357860010545,0.44036040057589243,0.47515052839421423,0.26702052584402425,0.02883448197337013,0.7417639936750071,0.5502953846534652,0.6870333480744863,0.3204616905274479,0.00025518253005152314,0.016590231369883468,0.03586394976894014,0.022684541148454307,0.32442611376077424,0.026280775822025038,0.30901699437494745,0.0002124642650875863,0.05721949236844459,0.000232847823007587,0.36435011619153723,0.05279288493068046,0.34447596332676844,0.38761337731175904,0.12690436877912414,0.019692216805469065,0.2172720107540338,0.16245293183001053,0.45677636148150746,0.011695259107349476,0.2172720107540338,0.18483535180748267,0.09943617686437878,0.3204616905274479,0.057216685407059376,0.12869663805619802,0.11471549300574924,0.09020465875033612,0.2051236651134899,0.047601570832740636,0.037224800021680826,0.37574681510650565,0.043629479269242766,0.37574681510650565,0.6030978052856559,0.6148296117852735,0.36435011619153723,0.12746058815741423,0.4022161352507615,0.061904277391416795,0.5502953846534652,0.47183714935110566,0.5027471669973729,0.8025469509178665,0.8801694782415674
5,_mySignalCatcher,0.005468002577762143,0.3409378184235602,0.10161479704286402,0.36191780097416093,0.8025469509178665,1,0.0032786497467118814,0.0038016859654458335,0.010853859648963016,0.6265985772644386,0.11844176386864524,0.7069602397004671,0.8306867049815754,0.8306867049815754,0.3795311341224832,0.5610262470589511,0.3646777421524787,0.03627744157080959,0.835222710216904,0.7067166683715433,0.7593426953166605,0.25166852264521167,0.0003685286187999903,0.02126935624952686,0.04290678740705811,0.02897198310154514,0.340773262423986,0.03129539951988958,0.2612038749637414,0.00031203566236182034,0.06862485119554163,0.0003399041046512341,0.2788897449072022,0.07203526488725254,0.28466372787299954,0.3293955346643598,0.1441862982837584,0.025458022868826702,0.24083221556810475,0.1859062329720057,0.44780409082612294,0.014552611112190306,0.24083221556810475,0.20614613159438522,0.1160108454433958,0.25166852264521167,0.06743807932211754,0.1481630573656776,0.13309303968844588,0.1046520686303517,0.2300955337660201,0.06262597357571609,0.05214828851786124,0.29676286505523675,0.06108412215723147,0.29676286505523675,0.5679574439879402,0.5405231786569591,0.2788897449072022,0.1612007299827235,0.37367627474946075,0.07386620938408528,0.7067166683715433,0.6136173138305347,0.42094338220075955,1,0.7653613763041688
6,_compress,0.705957220082945,0.016110573475168644,0.03492554607054288,0.012947161547419705,0.0022395325498657526,0.0032786497467118814,1,0.9158028239415394,0.46052727206378574,0.0028562340986580947,0.04812866243952629,0.0028536826187274267,0.004563341711153024,0.004563341711153024,0.0011551370926461413,0.006227316777006386,0.013596322494248803,0.0784927695840365,0.0036888613679653126,0.0058960948565695,0.0039473146527311265,0.0004874090119090235,0.2107319176891307,0.17773466728000276,0.04908582050501298,0.14117539448798955,0.005484911999340203,0.07226951201013798,0.0006796671880030525,0.17641922810082744,0.029789925809717732,0.1893911450039807,0.0005001946793813383,0.05808832100715933,0.0006859445670166497,0.0009139307129125696,0.016279357910636616,0.129205243599544,0.007400625713309128,0.009572730541566932,0.0036366986908735743,0.19261300127594883,0.007400625713309128,0.010544172636125282,0.01760025277797994,0.0004874090119090235,0.032915708987716674,0.013908228351765528,0.014777839036319462,0.021198690759133054,0.006701423189384825,0.07729062209111393,0.10492867471867073,0.0005978460578301981,0.09937811192731905,0.0005978460578301981,0.0025320693744376177,0.001610104202483198,0.0005001946793813383,0.02293516798642925,0.0016039429644898462,0.02682510940116456,0.0058960948565695,0.007250664496779913,0.001150117292449515,0.0032786497467118814,0.0020162502088060252
7,_uncompress,0.7845782268588813,0.018788580677923106,0.04197043860593741,0.015121069394498088,0.0026246307225986643,0.0038016859654458335,0.9158028239415394,1,0.5185908392686801,0.003421727379571693,0.05610896396486964,0.003371881261133969,0.005264890735809047,0.005264890735809047,0.001347941089404503,0.00736512096929498,0.01561305287493675,0.09107113993679461,0.004324109859754621,0.0067832153044598,0.004617986540297325,0.0005662466309326319,0.18773811341390811,0.20835173639672344,0.05724911250620812,0.16528674483382255,0.006716284871278622,0.08507056294138338,0.0007926388123605799,0.15458588931836603,0.03502613233968854,0.16637134160362388,0.0005939683578998212,0.06683653211382745,0.0007956844162585464,0.0010683984238221145,0.019389243511592102,0.14856505788053442,0.008760830182640733,0.011341651182674939,0.004439035116452272,0.2214289445043529,0.008760830182640733,0.01261726225916493,0.02076036448751617,0.0005662466309326319,0.03880996656693103,0.016559584320180343,0.01732710506945656,0.025047568887090477,0.007877219439489158,0.09105366394623415,0.12172024744196674,0.0006981656320896867,0.11432300623060943,0.0006981656320896867,0.003024169283489475,0.0019201036171008212,0.0005939683578998212,0.026848001185862835,0.0018800304585244731,0.03127349703573212,0.0067832153044598,0.00832634527289633,0.001340178498576039,0.0038016859654458335,0.002350959486740578
8,_testf,0.6782041012722142,0.053106508010237974,0.11863598451774648,0.04296286594508947,0.007655735194615265,0.010853859648963016,0.46052727206378574,0.5185908392686801,1,0.010153306110545546,0.15255007942203902,0.009957291272746471,0.014859498384103276,0.014859498384103276,0.0039025589788025394,0.02138769868868351,0.04314315260212842,0.22169772823736988,0.012522835804823607,0.019006012231571723,0.013395957930406599,0.0016235900027588013,0.07130373110837296,0.4638130443399725,0.14558671931765932,0.3897928713004689,0.020387795050995194,0.20708812334365634,0.0022829995105815293,0.057028017820366594,0.09435757670265854,0.0617672077054926,0.0017796457530694365,0.1732149948961791,0.0022671614661381456,0.003078653489635208,0.05593558125594811,0.33201543381735954,0.02549705592286422,0.03273592183585805,0.013555543835003125,0.4194556185498052,0.02549705592286422,0.0370105329906546,0.05823947362347126,0.0016235900027588013,0.10470338908384613,0.04758013187226218,0.04862707684141321,0.07000855648519466,0.022614383143690464,0.24120172234760373,0.310764282355372,0.0020192456882031085,0.29179436187260466,0.0020192456882031085,0.009035955313135724,0.005696471512096846,0.0017796457530694365,0.07469974541434454,0.005458447111548748,0.08388110854602282,0.019006012231571723,0.023207706369500647,0.00385997305893504,0.010853859648963016,0.006793738778237968
9,_showFileNames,0.0053160997663648235,0.3049081195675263,0.11809418184919429,0.3205844133772291,0.634225295294389,0.6265985772644386,0.0028562340986580947,0.003421727379571693,0.010153306110545546,1,0.1174730162794928,0.6646645379986185,0.5626706934046567,0.5626706934046567,0.37056331761553873,0.5847726007313001,0.2910412790837026,0.037027145642657966,0.6961419190655196,0.49589896412040557,0.6114537099234484,0.2357900766327069,0.00037487144475312206,0.02415321211830479,0.045847560367086704,0.03049046073358197,0.5017912499512474,0.03347930662173426,0.2708131845707603,0.0002800149123207696,0.07375610477925143,0.0003074803957333616,0.2946661793642723,0.06365404925594731,0.2708131845707603,0.36507623307909454,0.1547877140611854,0.02472239006866417,0.2625207952709696,0.19968004874402734,0.6021922524897403,0.015374131186596363,0.2625207952709696,0.22547517239671366,0.12526794954326348,0.2357900766327069,0.07273504546570997,0.16398072065005687,0.13616790804606393,0.11025497796010919,0.25217245866902405,0.06893548872552047,0.05224411301259324,0.2835654011859956,0.054265906516427154,0.2835654011859956,0.6460566826899253,0.6365945619875063,0.2946661793642723,0.1623350780294628,0.3962866467222588,0.07333643961345171,0.49589896412040557,0.4387513766212068,0.37056331761553873,0.6265985772644386,0.5958525047556824
