result,23661552958,0.8291788472192666
left,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
right,birthmark,bzip2-1.0.1,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.1,op-seq,2026-04-17T04:57:54.745901+00:00,4045000
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_setInterimPermissions,_pad,_copyDatePermissionsAndOwner,_uInt64_toAscii,_configError,_crcError,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_compressedStreamEOF,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,_fopen_output_safely,0.007053542802180186,0.8077669902912621,0.03601895734597156,0.05694831321572268,0.025340513145391194,0.006414368184733804,0.007692307692307693,0.5710825865827077,0.6103583639356718,0.5792282430213465,0.009606147934678195,0.12920673076923078,0.008968609865470852,0.009606147934678195,0.009606147934678195,0.010243277848911651,0.011516314779270634,0.029169308814204185,0.008968609865470852,0.0012861736334405145,0.5037427224840588,0.2354290959155576,0.08725212464589235,0.17251700680272108,0.022864401397268974,0.056338028169014086,0.002570694087403599,0.279657125363539,0.049175412293853075,0.31746335855924895,0.0012861736334405145,0.05208021550434002,0.0012853470437017994,0.0032123353678123997,0.06386245010746085,0.09508373851971907,0.029067930489731438,0.032015065913371,0.012132822477650063,0.1858562244301578,0.029067930489731438,0.04122423485321674,0.053135619400679644,0.0012861736334405145,0.08396946564885496,0.05010825858335911,0.04423676012461059,0.06200607902735562,0.0253324889170361,0.16185301687160422,0.17918088737201365,0.0019286403085824494,0.17725847819891707,0.0019286403085824494,0.010873041253597697,0.005774783445620789,0.0012861736334405145,0.07305095150399017,0.007046764894298526,0.04847016055740685,0.011516314779270634,0.0032123353678123997,0.0032123353678123997,0.007692307692307693,0.011516314779270634,0,0
1,entry,0.23529411764705882,0.0364333652924257,1,0.34444444444444444,0.3018867924528302,0.29850746268656714,0.34782608695652173,0.02189360476281928,0.02352455633512175,0.06260296540362438,0.3055555555555556,0.36101083032490977,0.39436619718309857,0.4166666666666667,0.4166666666666667,0.3835616438356164,0.48,0.6601941747572816,0.39436619718309857,0.06779661016949153,0.0269036752342061,0.08416220351951033,0.10438413361169102,0.16346153846153846,0.32653061224489793,0.16083916083916083,0.06557377049180328,0.010983524712930605,0.07746478873239436,0.01488900920411478,0.06779661016949153,0.11724137931034483,0.06557377049180328,0.16129032258064516,0.17475728155339806,0.07680491551459294,0.24561403508771928,0.17777777777777778,0.2962962962962963,0.04803073967339097,0.24561403508771928,0.23841059602649006,0.22580645161290322,0.06779661016949153,0.15211267605633802,0.1978021978021978,0.1509433962264151,0.18410041841004185,0.205607476635514,0.18834080717488788,0.17634408602150536,0.06666666666666667,0.22270742358078602,0.06666666666666667,0.3157894736842105,0.24242424242424243,0.06779661016949153,0.34782608695652173,0.11267605633802817,0.088,0.48,0.16129032258064516,0.16129032258064516,0.34782608695652173,0.4266666666666667,0,0
2,_mySIGSEGVorSIGBUScatcher,0.08208955223880597,0.09312105737458697,0.24203821656050956,0.47368421052631576,0.20261437908496732,0.0749063670411985,0.08178438661710037,0.05881265026817089,0.06143479984145858,0.12864918357248886,0.10294117647058823,0.2976939203354298,0.08856088560885608,0.09558823529411764,0.09558823529411764,0.10256410256410256,0.10909090909090909,0.21782178217821782,0.0959409594095941,0.015444015444015444,0.09397203758881503,0.2402123424021234,0.24153166421207659,0.36893203883495146,0.2214765100671141,0.3292181069958848,0.03065134099616858,0.043073910915320604,0.256198347107438,0.06220347917764892,0.015444015444015444,0.3224489795918367,0.03065134099616858,0.030534351145038167,0.33497536945812806,0.27497062279670975,0.24203821656050956,0.25671641791044775,0.15658362989323843,0.1796669588080631,0.24203821656050956,0.2792022792022792,0.2849740932642487,0.015444015444015444,0.2882882882882883,0.3089005235602094,0.27298050139275765,0.2870159453302961,0.20195439739413681,0.3126934984520124,0.28270676691729324,0.015384615384615385,0.3252279635258359,0.015384615384615385,0.13043478260869565,0.06766917293233082,0.015444015444015444,0.33906633906633904,0.08856088560885608,0.25333333333333335,0.10909090909090909,0.03816793893129771,0.03816793893129771,0.08178438661710037,0.10909090909090909,0,0
3,_addFlagsFromEnvVar,0.19753086419753085,0.03946530872056015,0.5039370078740157,0.34196891191709844,0.7226890756302521,0.25,0.2682926829268293,0.023371647509578545,0.025519654249845647,0.06324972737186478,0.25882352941176473,0.2689655172413793,0.2619047619047619,0.32941176470588235,0.32941176470588235,0.3023255813953488,0.38636363636363635,0.4827586206896552,0.2857142857142857,0.05555555555555555,0.02921455938697318,0.09090909090909091,0.10569105691056911,0.16326530612244897,0.25225225225225223,0.1939799331103679,0.10810810810810811,0.013562026326286399,0.13468013468013468,0.017024726388325903,0.05555555555555555,0.15841584158415842,0.08108108108108109,0.13333333333333333,0.2465753424657534,0.10542168674698796,0.28346456692913385,0.22972972972972974,0.2553191489361702,0.05441527446300716,0.28346456692913385,0.3048780487804878,0.271356783919598,0.05555555555555555,0.1956521739130435,0.28717948717948716,0.2441860465116279,0.2698412698412698,0.35,0.16993464052287582,0.16317991631799164,0.0821917808219178,0.21231422505307856,0.0821917808219178,0.2696629213483146,0.20253164556962025,0.05555555555555555,0.32727272727272727,0.11904761904761904,0.16730038022813687,0.38636363636363635,0.13333333333333333,0.13333333333333333,0.2682926829268293,0.29545454545454547,0,0
4,_snocString,0.38095238095238093,0.006489292667099286,0.29850746268656714,0.15037593984962405,0.23728813559322035,1,0.7272727272727273,0.003875968992248062,0.004167534903104814,0.011273957158962795,0.64,0.08695652173913043,0.75,0.64,0.64,0.6923076923076923,0.5714285714285714,0.35714285714285715,0.6666666666666666,0.3333333333333333,0.004859086491739553,0.015873015873015872,0.027777777777777776,0.03466204506065858,0.1568627450980392,0.0502092050209205,0.2857142857142857,0.0020064205457463883,0.02531645569620253,0.0027244244653316986,0.3333333333333333,0.0411522633744856,0.2857142857142857,0.26666666666666666,0.07547169811320754,0.023178807947019868,0.1791044776119403,0.11363636363636363,0.29411764705882354,0.008845208845208846,0.1791044776119403,0.11538461538461539,0.10071942446043165,0.3333333333333333,0.045454545454545456,0.1037037037037037,0.07142857142857142,0.08333333333333333,0.1,0.040100250626566414,0.0430622009569378,0.3076923076923077,0.04866180048661801,0.3076923076923077,0.4827586206896552,0.5263157894736842,0.3333333333333333,0.1125,0.25,0.03940886699507389,0.5714285714285714,0.5333333333333333,0.5333333333333333,0.7272727272727273,0.6428571428571429,0,0
5,_usage,0.2608695652173913,0.007782101167315175,0.34782608695652173,0.14814814814814814,0.19672131147540983,0.7272727272727273,1,0.004649360712901976,0.0049989585503020205,0.013513513513513514,0.6666666666666666,0.10344827586206896,0.6923076923076923,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8,0.41379310344827586,0.6923076923076923,0.2857142857142857,0.005828071879553181,0.01901743264659271,0.02304147465437788,0.04145077720207254,0.1509433962264151,0.04979253112033195,0.25,0.002407221664994985,0.02510460251046025,0.0029960506604929864,0.2857142857142857,0.04897959183673469,0.25,0.23529411764705882,0.07453416149068323,0.019801980198019802,0.17391304347826086,0.1111111111111111,0.2777777777777778,0.009818360333824251,0.17391304347826086,0.11320754716981132,0.09929078014184398,0.2857142857142857,0.05161290322580645,0.08759124087591241,0.07017543859649122,0.07216494845360824,0.0967741935483871,0.04987531172069826,0.047619047619047616,0.26666666666666666,0.05811138014527845,0.26666666666666666,0.45161290322580644,0.47619047619047616,0.2857142857142857,0.12345679012345678,0.23076923076923078,0.03902439024390244,0.8,0.47058823529411764,0.47058823529411764,1,0.6666666666666666,0,0
6,_mySignalCatcher,0.005113900511390051,0.6339807143827244,0.02621895124195032,0.03715450838241957,0.017050691244239632,0.0046500813764240876,0.005577504066930049,0.7956784238957737,0.7517621145374449,0.49843104872006605,0.006967022758941012,0.09532254489026823,0.0065040650406504065,0.006967022758941012,0.006967022758941012,0.007429765498026469,0.008354606637270829,0.021212819921604797,0.0065040650406504065,0.0009317493594223154,0.4489698701917351,0.17541959935029777,0.05516656057712709,0.12103746397694524,0.014773776546629732,0.03672566371681416,0.0013969732246798604,0.27398413923784126,0.03054448871181939,0.2973670624677336,0.0009317493594223154,0.033156498673740056,0.0013969732246798604,0.0023277467411545625,0.04099099099099099,0.06305015353121801,0.020699172033118676,0.02059967956054017,0.008342989571263035,0.1390120329322356,0.020699172033118676,0.026909920182440136,0.03665158371040724,0.0009317493594223154,0.05796469819132709,0.03306159420289855,0.027771454586842704,0.0447127207690588,0.01520387007601935,0.11153846153846154,0.13151734411576932,0.0013972985561248254,0.12617220801364024,0.0013972985561248254,0.00788863109048724,0.004186046511627907,0.0009317493594223154,0.04908804323350597,0.003716608594657375,0.031222123104371096,0.008354606637270829,0.0023277467411545625,0.0023277467411545625,0.005577504066930049,0.008354606637270829,0,0
7,_compress,0.005314009661835749,0.6587973892514929,0.027233635929288104,0.04421448730009407,0.019147917663954045,0.004832085044696787,0.005795701521371649,0.6882207134389482,0.7611572101368019,0.5481079246563719,0.00723938223938224,0.09979305587491377,0.006758387641805455,0.00723938223938224,0.00723938223938224,0.007720144752714113,0.008680974198215577,0.022035928143712576,0.006758387641805455,0.0009682885499878964,0.4570734669095325,0.20115263060048336,0.07075368050977807,0.13756388415672913,0.016786570743405275,0.055530059660394676,0.0019356399709654004,0.28806701213885144,0.04269972451790634,0.3240837696335079,0.0009682885499878964,0.055937643282897756,0.0014517299782240503,0.0024189646831156266,0.05049088359046283,0.08045733643870422,0.022455805064500716,0.027097694318992158,0.00963159162051529,0.16282092947676308,0.022455805064500716,0.0326781908595785,0.046031000469704084,0.0009682885499878964,0.07454257962502824,0.039492242595204514,0.03592531316473647,0.05520760844351658,0.01866475233309404,0.12837538733953077,0.14502975534494159,0.001452081316553727,0.13995584988962473,0.001452081316553727,0.008678881388621022,0.0043499275012083135,0.0009682885499878964,0.057957466697826594,0.005310161718561429,0.04072188801480796,0.008680974198215577,0.0024189646831156266,0.0024189646831156266,0.005795701521371649,0.008680974198215577,0,0
8,_uncompress,0.012903225806451613,0.5568610994544692,0.06510565391205025,0.09686296092460099,0.042455536431440045,0.011737089201877934,0.01406799531066823,0.40561075394506135,0.4423877834335956,0.7536148062463852,0.017554125219426564,0.2225705329153605,0.01639344262295082,0.017554125219426564,0.017554125219426564,0.01871345029239766,0.02102803738317757,0.052873563218390804,0.01639344262295082,0.0023584905660377358,0.39620689655172414,0.3077445652173913,0.1275992438563327,0.25210084033613445,0.03919308357348703,0.11128445137805512,0.004711425206124852,0.22330930312392722,0.0864133263925039,0.2794459833795014,0.0023584905660377358,0.10897768552153607,0.002355712603062426,0.005885815185403178,0.10743353228431904,0.14335664335664336,0.05025699600228441,0.062076749435665914,0.02211874272409779,0.2328582952406561,0.05025699600228441,0.07046979865771812,0.09764125068568294,0.0023584905660377358,0.13253012048192772,0.0879604178119846,0.0801781737193764,0.11194029850746269,0.04472477064220184,0.25540086413826213,0.2882968601332065,0.0035356511490866236,0.27875894988066824,0.0035356511490866236,0.021015761821366025,0.010569583088667059,0.0023584905660377358,0.12147505422993492,0.01288056206088993,0.08161102278749338,0.02102803738317757,0.005885815185403178,0.005885815185403178,0.01406799531066823,0.02102803738317757,0,0
9,_testf,0.3076923076923077,0.009718172983479106,0.3055555555555556,0.18840579710144928,0.1875,0.64,0.6666666666666666,0.005808325266214908,0.0062447960033305576,0.016863406408094434,1,0.11063829787234042,0.7586206896551724,0.6,0.6,0.5806451612903226,0.5454545454545454,0.39344262295081966,0.5517241379310345,0.23529411764705882,0.006794467362290706,0.022134387351778657,0.04576659038901602,0.044673539518900345,0.2857142857142857,0.09016393442622951,0.21052631578947367,0.002807580467261606,0.05785123966942149,0.0038115981486523277,0.23529411764705882,0.06451612903225806,0.21052631578947367,0.4,0.0975609756097561,0.0361247947454844,0.25,0.17204301075268819,0.3076923076923077,0.012745098039215686,0.25,0.1651376146788991,0.1527777777777778,0.23529411764705882,0.06389776357827476,0.12857142857142856,0.10256410256410256,0.09137055837563451,0.15384615384615385,0.06435643564356436,0.05673758865248227,0.2222222222222222,0.0625,0.2222222222222222,0.4117647058823529,0.4166666666666667,0.23529411764705882,0.12121212121212122,0.27586206896551724,0.057692307692307696,0.5454545454545454,0.3,0.3,0.6666666666666666,0.48484848484848486,0,0
