result,22577901166,0.8533076321913945
left,birthmark,bzip2-1.0.5,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.5,op-seq,2026-04-17T04:57:47.890829+00:00,3127708
right,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.1,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,0.0069160641307764855,0.23529411764705882,0.08208955223880597,0.19753086419753085,0.38095238095238093,0.2608695652173913,0.003715588583009627,0.003644797879390325,0.012324929971988795,0.3076923076923077,0.08658008658008658,0.32,0.3076923076923077,0.3076923076923077,0.04878048780487805,0.37037037037037035,0.27586206896551724,0.2962962962962963,0.16,0.3076923076923077,0.0006026736795967565,0.014094432699083862,0.03233256351039261,0.015600624024960999,0.15384615384615385,0.01971830985915493,0.13333333333333333,0.00044325348054721655,0.03347280334728033,0.05429864253393665,0.3076923076923077,0.044444444444444446,0.26666666666666666,0.375,0.08917197452229299,0.021825396825396824,0.20588235294117646,0.1797752808988764,0.22857142857142856,0.007593735168485999,0.20588235294117646,0.17647058823529413,0.13580246913580246,0.3076923076923077,0.06666666666666667,0.16666666666666666,0.1016949152542373,0.0962566844919786,0.16393442622950818,0.03940886699507389,0.04819277108433735,0.2857142857142857,0.05670103092783505,0.2857142857142857,0.4666666666666667,0.5,0.15384615384615385,0.1111111111111111,0.08,0.058823529411764705,0.27586206896551724,0.5,0.2608695652173913,0.4827586206896552,0
1,_mySIGSEGVorSIGBUScatcher,0.81256007689843,0.0364333652924257,0.09312105737458697,0.03946530872056015,0.006489292667099286,0.007782101167315175,0.561122244488978,0.5610640870616687,0.5637639290136195,0.009718172983479106,0.13001215066828675,0.009073233959818535,0.009718172983479106,0.009718172983479106,0.07287933094384708,0.010362694300518135,0.011650485436893204,0.027608346709470304,0.009073233959818535,0.0013012361743656475,0.13375458106912674,0.24330357142857142,0.08528906697195192,0.1869675339626986,0.02184388050112432,0.1007690267833466,0.002600780234070221,0.1024784605457927,0.055757575757575756,0.04509445460085314,0.0013012361743656475,0.08412322274881516,0.0013003901170351106,0.003249918752031199,0.06028589185829708,0.15138854755468173,0.02620645573665708,0.02857142857142857,0.01227390180878553,0.1826625386996904,0.02620645573665708,0.04046791021182422,0.057710207880856346,0.0013012361743656475,0.08509372210651592,0.04885687441277795,0.04592639194715319,0.06403940886699508,0.024983984625240232,0.16152293048745314,0.1846950517836594,0.001951219512195122,0.16758480719049,0.001951219512195122,0.010999676480103526,0.005842259006815969,0.0013012361743656475,0.06365054602184088,0.0064808813998703824,0.05451761102603369,0.011650485436893204,0.003249918752031199,0.007782101167315175,0.011650485436893204,0
2,_addFlagsFromEnvVar,0.03532692903625659,1,0.24203821656050956,0.5039370078740157,0.29850746268656714,0.34782608695652173,0.019105077928607342,0.018743834265044394,0.0622610595303113,0.3055555555555556,0.36101083032490977,0.39436619718309857,0.4166666666666667,0.4166666666666667,0.21021021021021022,0.3835616438356164,0.48,0.62,0.39436619718309857,0.06779661016949153,0.003119015047879617,0.07508532423208192,0.10438413361169102,0.07981927710843373,0.32653061224489793,0.07407407407407407,0.06557377049180328,0.0022544737212906864,0.09824561403508772,0.06741573033707865,0.06779661016949153,0.1772853185595568,0.06557377049180328,0.16129032258064516,0.16748768472906403,0.08918406072106262,0.24561403508771928,0.17777777777777778,0.2962962962962963,0.046446818392940084,0.24561403508771928,0.24324324324324326,0.16346153846153846,0.06779661016949153,0.13872832369942195,0.21348314606741572,0.14634146341463414,0.17167381974248927,0.205607476635514,0.1902654867256637,0.17787418655097614,0.06666666666666667,0.2304147465437788,0.06666666666666667,0.3157894736842105,0.24242424242424243,0.06779661016949153,0.3368421052631579,0.11267605633802817,0.088,0.48,0.16129032258064516,0.34782608695652173,0.4266666666666667,0
3,_snocString,0.055876100819921046,0.34444444444444444,0.47368421052631576,0.34196891191709844,0.15037593984962405,0.14814814814814814,0.028178352395159954,0.0302537410540013,0.08856088560885608,0.18840579710144928,0.2857142857142857,0.17518248175182483,0.17391304347826086,0.17391304347826086,0.2907268170426065,0.18705035971223022,0.18439716312056736,0.3132530120481928,0.16058394160583941,0.032,0.00595368145073192,0.14500326583932072,0.20917431192660552,0.1406025824964132,0.35365853658536583,0.1678832116788321,0.047244094488188976,0.004703990350789024,0.2678062678062678,0.15615615615615616,0.032,0.22014051522248243,0.06299212598425197,0.0625,0.29739776951672864,0.16071428571428573,0.34444444444444444,0.30845771144278605,0.2857142857142857,0.09914375844975214,0.34444444444444444,0.3177570093457944,0.32116788321167883,0.032,0.27184466019417475,0.3360655737704918,0.28695652173913044,0.3010033444816054,0.28901734104046245,0.23938223938223938,0.2239089184060721,0.031746031746031744,0.248,0.031746031746031744,0.19718309859154928,0.13636363636363635,0.032,0.359375,0.13138686131386862,0.21518987341772153,0.18439716312056736,0.078125,0.14814814814814814,0.24113475177304963,0
4,_usage,0.024852438645542093,0.3018867924528302,0.20261437908496732,0.7226890756302521,0.23728813559322035,0.19672131147540983,0.012082564188622252,0.012841620019756339,0.039495337356006584,0.1875,0.16356877323420074,0.2222222222222222,0.21875,0.21875,0.16615384615384615,0.2153846153846154,0.23880597014925373,0.30434782608695654,0.19047619047619047,0.0784313725490196,0.002462919380438947,0.059025394646533974,0.07643312101910828,0.06212121212121212,0.28888888888888886,0.09090909090909091,0.11320754716981132,0.0018924523363733365,0.1444043321299639,0.138996138996139,0.0784313725490196,0.14730878186968838,0.11320754716981132,0.18518518518518517,0.2564102564102564,0.07648183556405354,0.33962264150943394,0.31496062992125984,0.2465753424657534,0.037296037296037296,0.33962264150943394,0.38571428571428573,0.31,0.0784313725490196,0.20118343195266272,0.3411764705882353,0.2564102564102564,0.2577777777777778,0.4444444444444444,0.11711711711711711,0.09713024282560706,0.07692307692307693,0.16901408450704225,0.07692307692307693,0.2647058823529412,0.1724137931034483,0.0392156862745098,0.24175824175824176,0.15873015873015872,0.19008264462809918,0.23880597014925373,0.14814814814814814,0.19672131147540983,0.26865671641791045,0
5,_mySignalCatcher,0.006289308176100629,0.29850746268656714,0.0749063670411985,0.25,1,0.7272727272727273,0.0033783783783783786,0.0033140016570008283,0.011210762331838564,0.64,0.08695652173913043,0.75,0.64,0.64,0.055944055944055944,0.6923076923076923,0.5714285714285714,0.37735849056603776,0.6666666666666666,0.3333333333333333,0.0005479001725885544,0.014104372355430184,0.027777777777777776,0.0156128024980484,0.1568627450980392,0.014104372355430184,0.2857142857142857,0.00040296582849774337,0.025210084033613446,0.05454545454545454,0.3333333333333333,0.044585987261146494,0.2857142857142857,0.26666666666666666,0.07692307692307693,0.019860973187686197,0.1791044776119403,0.11363636363636363,0.29411764705882354,0.008547008547008548,0.1791044776119403,0.1188118811881188,0.08695652173913043,0.3333333333333333,0.046822742474916385,0.10687022900763359,0.06837606837606838,0.06451612903225806,0.1,0.03950617283950617,0.043478260869565216,0.3076923076923077,0.05167958656330749,0.3076923076923077,0.4827586206896552,0.5263157894736842,0.3333333333333333,0.11188811188811189,0.25,0.03940886699507389,0.5714285714285714,0.5333333333333333,0.7272727272727273,0.6428571428571429,0
6,_compress,0.00754242614707731,0.34782608695652173,0.08178438661710037,0.2682926829268293,0.7272727272727273,1,0.004052684903748734,0.003975484512174921,0.013437849944008958,0.6666666666666666,0.10344827586206896,0.6923076923076923,0.8888888888888888,0.8888888888888888,0.06944444444444445,0.8571428571428571,0.8,0.43636363636363634,0.6923076923076923,0.2857142857142857,0.0006574441857279824,0.016901408450704224,0.02304147465437788,0.018706157443491817,0.1509433962264151,0.014064697609001406,0.25,0.00048353950920739815,0.025,0.04504504504504504,0.2857142857142857,0.05063291139240506,0.25,0.23529411764705882,0.0759493670886076,0.02180376610505451,0.17391304347826086,0.1111111111111111,0.2777777777777778,0.009487666034155597,0.17391304347826086,0.11650485436893204,0.0736196319018405,0.2857142857142857,0.053156146179401995,0.09022556390977443,0.06722689075630252,0.06382978723404255,0.0967741935483871,0.04914004914004914,0.04807692307692308,0.26666666666666666,0.061696658097686374,0.26666666666666666,0.45161290322580644,0.47619047619047616,0.2857142857142857,0.12413793103448276,0.23076923076923078,0.03902439024390244,0.8,0.47058823529411764,1,0.6666666666666666,0
7,_uncompress,0.5771634615384615,0.02189360476281928,0.05881265026817089,0.023371647509578545,0.003875968992248062,0.004649360712901976,0.82875226039783,0.7484563758389262,0.4199884459849798,0.005808325266214908,0.08044692737430167,0.005422153369481022,0.005808325266214908,0.005808325266214908,0.04865462587541467,0.006194347657762292,0.00696594427244582,0.016560754862314654,0.005422153369481022,0.0007763975155279503,0.2241913406815071,0.16346447087526686,0.05527638190954774,0.1308207444323314,0.01425544211134656,0.06667806462643187,0.0015521924718665113,0.1736288614620609,0.03681666046857568,0.03283582089552239,0.0007763975155279503,0.06013934726806014,0.0011641443538998836,0.0019398642095053346,0.03663141993957704,0.10736944851146901,0.01843671980026887,0.02218821729150727,0.008117510630073444,0.1283466740270494,0.01843671980026887,0.025949246327036823,0.036596868515374456,0.0007763975155279503,0.05478948336091193,0.030734206033010813,0.027772493817766787,0.04130679684566279,0.015384615384615385,0.0988277727682597,0.11343176089305006,0.0011643702697457792,0.10783426813823051,0.0011643702697457792,0.007351518668988199,0.003489048265167668,0.0007763975155279503,0.039750141964792735,0.004647560030983733,0.03443758188283736,0.00696594427244582,0.0019398642095053346,0.004649360712901976,0.00696594427244582,0
8,_testf,0.6176655358713407,0.02352455633512175,0.06143479984145858,0.025519654249845647,0.004167534903104814,0.0049989585503020205,0.7239928965323862,0.7660440170149806,0.4677738838945604,0.0062447960033305576,0.08704332202036334,0.005829689777222569,0.0062447960033305576,0.0062447960033305576,0.04777887462981244,0.006659729448491155,0.00748907842729353,0.017798013245033113,0.005829689777222569,0.0008348987685243164,0.20570708783489172,0.17782798128126512,0.059873344847438115,0.13960396039603962,0.014078674948240166,0.06887755102040816,0.001669100771959107,0.1595633235926559,0.03906717161650389,0.032406481296259254,0.0008348987685243164,0.06283133712939329,0.0012518255789693302,0.0020859407592824365,0.038905775075987845,0.11303145523677843,0.01981015270326042,0.02177933018286419,0.008726366091834614,0.14146695715323165,0.01981015270326042,0.02540983606557377,0.04008097165991903,0.0008348987685243164,0.062229224103977944,0.03136456211812627,0.03104575163398693,0.04511581067472306,0.01529241578838603,0.1099537037037037,0.12670903138840747,0.0012520868113522537,0.11691831204026326,0.0012520868113522537,0.007903494176372712,0.003751563151313047,0.0008348987685243164,0.043478260869565216,0.004580470539246304,0.03412284223203533,0.00748907842729353,0.0020859407592824365,0.0049989585503020205,0.00748907842729353,0
9,_showFileNames,0.5727604377786786,0.06260296540362438,0.12864918357248886,0.06324972737186478,0.011273957158962795,0.013513513513513514,0.41360437842064113,0.42136346129156504,0.7857546636517807,0.016863406408094434,0.21471774193548387,0.015748031496062992,0.016863406408094434,0.016863406408094434,0.10392156862745099,0.017977528089887642,0.020202020202020204,0.047592695074709465,0.015748031496062992,0.0022650056625141564,0.08191964869174269,0.29255989911727615,0.11070448307410796,0.24118616144975288,0.03545706371191136,0.10962241169305725,0.004524886877828055,0.06079476900323045,0.07630522088353414,0.05876393110435663,0.0022650056625141564,0.13249516441005801,0.0022624434389140274,0.005652911249293386,0.09109947643979058,0.1890619340818544,0.043931905546403076,0.04777415852334419,0.021252796420581657,0.20414507772020726,0.043931905546403076,0.05929919137466307,0.0866840731070496,0.0022650056625141564,0.11495372625426206,0.07214854111405836,0.06306787814003206,0.08969072164948454,0.03528114663726571,0.24085224641037517,0.275830258302583,0.003395585738539898,0.25688930406352173,0.003395585738539898,0.019068984856982614,0.01015228426395939,0.0022650056625141564,0.0959409594095941,0.010123734533183352,0.06438426162493613,0.020202020202020204,0.005652911249293386,0.013513513513513514,0.020202020202020204,0
