result,33201790042,0.8178414525707651
left,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
right,birthmark,bzip2-1.0.2,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.2,op-seq,2026-04-17T04:57:55.385904+00:00,4462500
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,_fopen_output_safely,0.6363636363636364,0.0035807291666666297,0.1578947368421053,0.08130081300813008,0.22448979591836737,0.36363636363636365,0.16666666666666663,0.002135922330097073,0.002296930465650493,0.006235827664399118,0.2666666666666667,0.045454545454545414,0.3571428571428571,0.2666666666666667,0.2666666666666667,0.25,0.2222222222222222,0.19565217391304346,0.2142857142857143,0.18181818181818177,0.002679006332196754,0.00880000000000003,0.014218009478673022,0.01763668430335097,0.14634146341463417,0.03056768558951961,0.09090909090909094,0.0011046394858404973,0.013215859030836996,0.0013640703860319237,0.18181818181818177,0.03433476394849788,0.18181818181818177,0.4545454545454546,0.046979865771812124,0.015151515151515138,0.10526315789473684,0.07692307692307687,0.16666666666666663,0.00395061728395063,0.10526315789473684,0.08510638297872342,0.06976744186046513,0.18181818181818177,0.030201342281879207,0.07999999999999996,0.0490196078431373,0.06043956043956045,0.12,0.023136246786632397,0.022058823529411797,0.18181818181818177,0.027431421446383997,0.18181818181818177,0.26315789473684215,0.36363636363636365,0.09090909090909094,0.053333333333333344,0.0714285714285714,0.025906735751295318,0.2222222222222222,0.36363636363636365,0.36363636363636365,0.16666666666666663,0.2777777777777778
1,entry,0.0034700315457413256,0.6851735015772871,0.01798107255520509,0.02902208201892742,0.012302839116719255,0.003154574132492094,0.003785488958990557,0.4448543689320388,0.48360826894967635,0.43343848580441635,0.004731861198738141,0.06782334384858046,0.004416403785488909,0.004731861198738141,0.004731861198738141,0.0050473186119873725,0.005678233438485836,0.014511041009463765,0.004416403785488909,0.0006309148264984632,0.33365806137359966,0.15110410094637228,0.04258675078864349,0.09747634069400635,0.01135646687697156,0.028706624605678188,0.0012618296529968154,0.16911026310504118,0.02429022082018928,0.20856636202428047,0.0006309148264984632,0.02649842271293379,0.0006309148264984632,0.001577287066246047,0.03186119873817039,0.04858044164037856,0.014511041009463765,0.016088328075709812,0.005993690851735067,0.12460567823343849,0.014511041009463765,0.02050473186119872,0.02649842271293379,0.0006309148264984632,0.04227129337539437,0.025236593059936863,0.02208201892744477,0.03186119873817039,0.012618296529968487,0.08769716088328072,0.09842271293375393,0.0009463722397475838,0.09716088328075712,0.0009463722397475838,0.005362776025236604,0.0028391167192428624,0.0006309148264984632,0.037223974763406886,0.0034700315457413256,0.023659305993690816,0.005678233438485836,0.001577287066246047,0.001577287066246047,0.003785488958990557,0.005678233438485836
2,_mySIGSEGVorSIGBUScatcher,0.14035087719298245,0.0185546875,1,0.22764227642276424,0.1578947368421053,0.17543859649122806,0.21052631578947367,0.01106796116504849,0.011902276049279625,0.03231292517006801,0.19298245614035092,0.21363636363636362,0.24561403508771928,0.26315789473684215,0.26315789473684215,0.24561403508771928,0.3157894736842105,0.543859649122807,0.24561403508771928,0.03508771929824561,0.013638577691183595,0.04400000000000004,0.05213270142180093,0.08994708994709,0.1578947368421053,0.08296943231441045,0.03508771929824561,0.005523197429202598,0.04405286343612336,0.007502387123175525,0.03508771929824561,0.05579399141630903,0.03508771929824561,0.08771929824561409,0.10738255033557043,0.04208754208754206,0.10526315789473684,0.08974358974358976,0.21052631578947367,0.024691358024691357,0.10526315789473684,0.14893617021276595,0.1472868217054264,0.03508771929824561,0.08053691275167785,0.12,0.08823529411764708,0.11538461538461542,0.10526315789473684,0.10796915167095111,0.10049019607843135,0.03508771929824561,0.1271820448877805,0.03508771929824561,0.21052631578947367,0.14035087719298245,0.03508771929824561,0.20666666666666667,0.07017543859649122,0.041450777202072575,0.3157894736842105,0.08771929824561409,0.08771929824561409,0.21052631578947367,0.2807017543859649
3,_addFlagsFromEnvVar,0.04280155642023342,0.0498046875,0.14785992217898836,0.330739299610895,0.11673151750972766,0.03891050583657585,0.04280155642023342,0.030485436893203932,0.031948214658592655,0.06916099773242634,0.054474708171206254,0.17509727626459148,0.046692607003890996,0.05058365758754868,0.05058365758754868,0.054474708171206254,0.05836575875486383,0.1245136186770428,0.05058365758754868,0.0077821011673151474,0.049196298100340985,0.14159999999999995,0.15165876777251186,0.23985890652557318,0.1245136186770428,0.1712062256809338,0.015564202334630295,0.022092789716810612,0.13229571984435795,0.03219206111035333,0.0077821011673151474,0.19066147859922178,0.015564202334630295,0.015564202334630295,0.2178988326848249,0.17508417508417506,0.1400778210116731,0.1556420233463035,0.08560311284046696,0.10024691358024695,0.1400778210116731,0.16731517509727623,0.17898832684824906,0.0077821011673151474,0.1610738255033557,0.19455252918287935,0.16342412451361865,0.17898832684824906,0.12062256809338523,0.21850899742930596,0.19117647058823528,0.0077821011673151474,0.2194513715710723,0.0077821011673151474,0.07003891050583655,0.035019455252918275,0.0077821011673151474,0.21400778210116733,0.046692607003890996,0.1556420233463035,0.05836575875486383,0.01945525291828798,0.01945525291828798,0.04280155642023342,0.05836575875486383
4,_snocString,0.11428571428571432,0.02018229166666663,0.3285714285714286,0.24390243902439024,0.5285714285714286,0.1428571428571429,0.15714285714285714,0.011844660194174739,0.01294633535184797,0.03287981859410427,0.15714285714285714,0.17272727272727273,0.15714285714285714,0.19999999999999996,0.19999999999999996,0.17142857142857137,0.24285714285714288,0.34285714285714286,0.17142857142857137,0.02857142857142858,0.01485630784218217,0.04800000000000004,0.06161137440758291,0.08818342151675485,0.18571428571428572,0.11790393013100442,0.05714285714285716,0.006828680457923286,0.07929515418502198,0.008593643432001086,0.02857142857142858,0.09012875536480691,0.042857142857142816,0.0714285714285714,0.16778523489932884,0.05555555555555558,0.2142857142857143,0.14102564102564108,0.15714285714285714,0.028148148148148144,0.2142857142857143,0.2021276595744681,0.18604651162790697,0.02857142857142858,0.1174496644295302,0.18400000000000005,0.196078431372549,0.17032967032967028,0.2571428571428571,0.10025706940874035,0.09313725490196079,0.042857142857142816,0.12219451371571077,0.042857142857142816,0.15714285714285714,0.11428571428571432,0.02857142857142858,0.19999999999999996,0.0714285714285714,0.10880829015544047,0.24285714285714288,0.0714285714285714,0.0714285714285714,0.15714285714285714,0.18571428571428572
5,_usage,0.2727272727272727,0.0032552083333333703,0.17543859649122806,0.08130081300813008,0.1428571428571429,1,0.5833333333333333,0.001941747572815511,0.0020881186051368017,0.005668934240362855,0.4666666666666667,0.045454545454545414,0.6428571428571428,0.5333333333333333,0.5333333333333333,0.5,0.4444444444444444,0.21739130434782605,0.5714285714285714,0.19999999999999996,0.002435460301997039,0.008000000000000007,0.014218009478673022,0.01763668430335097,0.09756097560975607,0.026200873362445365,0.09999999999999998,0.0010042177144005127,0.008810572687224627,0.0013640703860319237,0.19999999999999996,0.02145922746781115,0.19999999999999996,0.19999999999999996,0.04026845637583898,0.011784511784511786,0.10526315789473684,0.0641025641025641,0.16666666666666663,0.004444444444444473,0.10526315789473684,0.06382978723404253,0.054263565891472854,0.19999999999999996,0.023489932885906062,0.04800000000000004,0.02941176470588236,0.04395604395604391,0.06000000000000005,0.020565552699228773,0.022058823529411797,0.19999999999999996,0.02493765586034913,0.19999999999999996,0.368421052631579,0.5,0.19999999999999996,0.06000000000000005,0.1428571428571429,0.015544041450777257,0.4444444444444444,0.30000000000000004,0.30000000000000004,0.5833333333333333,0.5
6,_mySignalCatcher,0.16666666666666663,0.00390625,0.21052631578947367,0.08130081300813008,0.10204081632653061,0.5833333333333333,1,0.0023300970873786353,0.0025057423261640732,0.006802721088435382,0.5333333333333333,0.054545454545454564,0.5,0.8,0.8,0.75,0.6666666666666667,0.26086956521739135,0.5714285714285714,0.16666666666666663,0.002922552362396469,0.009600000000000053,0.011848341232227444,0.021164021164021163,0.09756097560975607,0.026200873362445365,0.08333333333333337,0.001205061257280593,0.008810572687224627,0.001500477424635105,0.16666666666666663,0.01716738197424894,0.16666666666666663,0.16666666666666663,0.04026845637583898,0.010101010101010055,0.08771929824561409,0.05128205128205132,0.16666666666666663,0.004444444444444473,0.08771929824561409,0.06382978723404253,0.054263565891472854,0.16666666666666663,0.02684563758389258,0.04800000000000004,0.02941176470588236,0.038461538461538436,0.06000000000000005,0.02570694087403602,0.02450980392156865,0.16666666666666663,0.029925187032418976,0.16666666666666663,0.3157894736842105,0.33333333333333337,0.16666666666666663,0.06666666666666665,0.1428571428571429,0.015544041450777257,0.6666666666666667,0.25,0.25,1,0.4444444444444444
7,_compress,0.0018784153005464432,0.4219603825136612,0.009733606557377095,0.014515027322404395,0.006147540983606592,0.0017076502732240595,0.002049180327868827,0.7341188524590163,0.59801912568306,0.2691256830601093,0.0025614754098360892,0.03722677595628421,0.0023907103825137055,0.0025614754098360892,0.0025614754098360892,0.002732240437158473,0.0030737704918032405,0.007855191256830651,0.0023907103825137055,0.0003415300546447675,0.3224043715846995,0.08111338797814205,0.020491803278688492,0.05003415300546443,0.005464480874316946,0.014002732240437132,0.0005122950819672623,0.16981321550512152,0.011612021857923538,0.20024553266948575,0.0003415300546447675,0.013148907103825103,0.0005122950819672623,0.0008538251366120297,0.015368852459016424,0.023565573770491843,0.007513661202185773,0.007855191256830651,0.0032445355191257352,0.06864754098360659,0.007513661202185773,0.010075136612021862,0.013831967213114749,0.0003415300546447675,0.022028688524590168,0.012295081967213073,0.010587431693989124,0.017076502732240484,0.00563524590163933,0.04474043715846998,0.052766393442622905,0.0005122950819672623,0.05088797814207646,0.0005122950819672623,0.0029030054644808567,0.0015368852459016757,0.0003415300546447675,0.018784153005464432,0.001366120218579181,0.011612021857923538,0.0030737704918032405,0.0008538251366120297,0.0008538251366120297,0.002049180327868827,0.0030737704918032405
8,_uncompress,0.001846877098723998,0.4172263263935527,0.009570181329751515,0.015446608462055034,0.006548018804566791,0.00167897918065818,0.002014775016789816,0.6383478844862324,0.6595030221625252,0.2743451981195433,0.00251846877098727,0.03660174613834788,0.002350570852921452,0.00251846877098727,0.00251846877098727,0.002686366689053088,0.003022162525184724,0.007723304231027517,0.002350570852921452,0.000335795836131636,0.32018132975151103,0.08865010073875079,0.024680993955674912,0.05456682337139018,0.006212222968435155,0.019476158495634666,0.000671591672263272,0.1789515967061659,0.015110812625923398,0.21088528168053466,0.000335795836131636,0.0198119543317663,0.000503693754197454,0.00083948959032909,0.01729348556077903,0.029550033579583634,0.008059100067159153,0.009738079247817333,0.00335795836131636,0.07807253190060448,0.008059100067159153,0.011417058428475513,0.016286098052384124,0.000335795836131636,0.02652787105439891,0.013935527199462672,0.012592343854936239,0.01997985224983212,0.006548018804566791,0.048522498321020846,0.05507051712558764,0.000503693754197454,0.054398925453324365,0.000503693754197454,0.003022162525184724,0.001511081262592362,0.000335795836131636,0.020987239758227028,0.001846877098723998,0.01410342511752849,0.003022162525184724,0.00083948959032909,0.00083948959032909,0.002014775016789816,0.003022162525184724
9,_testf,0.006200676437429498,0.427734375,0.03213077790304397,0.0467869222096956,0.020293122886133053,0.005636978579481422,0.006764374295377684,0.2790291262135922,0.31655878053873465,0.6629086809470124,0.008455467869222133,0.12063134160090194,0.007891770011273946,0.008455467869222133,0.008455467869222133,0.009019165727170209,0.01014656144306647,0.025930101465614475,0.007891770011273946,0.0011273957158962622,0.27033609352167565,0.20800450958286354,0.06200676437429542,0.15558060879368663,0.01916572717023679,0.05355129650507329,0.0022547914317925244,0.13155252058646316,0.04284103720405863,0.1728277179102442,0.0011273957158962622,0.05580608793686581,0.0011273957158962622,0.002818489289740711,0.05129650507328076,0.07609921082299886,0.024239007891770026,0.02931228861330326,0.011273957158962844,0.1367901234567901,0.024239007891770026,0.03551296505073276,0.04735062006764379,0.0011273957158962622,0.06764374295377673,0.04284103720405863,0.03664036076662913,0.05355129650507329,0.021420518602029315,0.14599774520856823,0.16685456595264936,0.0016910935738444488,0.1623449830890643,0.0016910935738444488,0.01014656144306647,0.005073280721533235,0.0011273957158962622,0.06200676437429542,0.006200676437429498,0.038895152198421656,0.01014656144306647,0.002818489289740711,0.002818489289740711,0.006764374295377684,0.01014656144306647
