result,528423542,1
left,birthmark,bzip2-1.0.6,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.6,op-seq,2026-04-17T04:57:47.828330+00:00,3908292
right,birthmark,bzip2-1.0.5,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.5,op-seq,2026-04-17T04:57:47.890829+00:00,3127708
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,1,0.017981072555205046,0.0702685821361649,0.021437578814627996,0.0031545741324921135,0.0037854889589905363,0.48172323759791125,0.5078714332568055,0.5411471321695761,0.00473186119873817,0.0694006309148265,0.004416403785488959,0.00473186119873817,0.00473186119873817,0.05028954587016154,0.005047318611987382,0.0056782334384858045,0.013564668769716088,0.004416403785488959,0.0006309148264984228,0.08306709265175719,0.20568870160653147,0.0546095126247798,0.16165315197488883,0.012295081967213115,0.06996681415929204,0.0012618296529968455,0.06210642792475606,0.031572556162720096,0.025796661608497723,0.0006309148264984228,0.06271030896298563,0.0006305170239596469,0.0015772870662460567,0.04375196726471514,0.11298076923076923,0.016698172652804034,0.020741671904462602,0.00630119722747322,0.17100289081609962,0.016698172652804034,0.025794274929223027,0.038136917786808375,0.0006309148264984228,0.06332616046726099,0.03295668549905838,0.027917189460476787,0.042692427547522595,0.015132408575031526,0.10611231771641327,0.11131840796019901,0.0009463722397476341,0.11156377311187715,0.0009463722397476341,0.005676442762535478,0.0028391167192429023,0.0006309148264984228,0.03802639849151477,0.0034667507091080997,0.028125955365331703,0.0056782334384858045,0.0015772870662460567,0.0037854889589905363,0.0056782334384858045
1,_mySIGSEGVorSIGBUScatcher,0.017981072555205046,1,0.19391634980988592,0.5301204819277109,0.17543859649122806,0.21052631578947367,0.009644670050761422,0.009460580912863071,0.032130777903043965,0.2413793103448276,0.25339366515837103,0.24561403508771928,0.2631578947368421,0.2631578947368421,0.16433566433566432,0.25862068965517243,0.3157894736842105,0.6666666666666666,0.24561403508771928,0.03508771929824561,0.0015619433864028718,0.040482954545454544,0.066815144766147,0.0440251572327044,0.30666666666666664,0.04419889502762431,0.03389830508474576,0.0011486840514288018,0.05166051660516605,0.047058823529411764,0.03508771929824561,0.14968152866242038,0.03389830508474576,0.08771929824561403,0.18023255813953487,0.056112224448897796,0.17525773195876287,0.1440677966101695,0.265625,0.02670481640438722,0.17525773195876287,0.23333333333333334,0.11229946524064172,0.03508771929824561,0.0949367088607595,0.17880794701986755,0.08609271523178808,0.13658536585365855,0.12631578947368421,0.135678391959799,0.12990196078431374,0.05263157894736842,0.15119363395225463,0.05263157894736842,0.2459016393442623,0.13793103448275862,0.03508771929824561,0.28378378378378377,0.07575757575757576,0.059322033898305086,0.3157894736842105,0.08771929824561403,0.21052631578947367,0.3157894736842105
2,_addFlagsFromEnvVar,0.0702685821361649,0.19391634980988592,1,0.22932330827067668,0.038910505836575876,0.04669260700389105,0.0335176805765041,0.040755467196819085,0.12958843159065628,0.058365758754863814,0.31043956043956045,0.050387596899224806,0.058365758754863814,0.058365758754863814,0.5014084507042254,0.0622568093385214,0.07003891050583658,0.16279069767441862,0.054474708171206226,0.007782101167315175,0.006987258528565557,0.18085106382978725,0.17474048442906576,0.2022029897718332,0.15057915057915058,0.3042291950886767,0.01556420233463035,0.0051791544073193346,0.25,0.17632241813602015,0.007782101167315175,0.3886138613861386,0.01556420233463035,0.015503875968992248,0.3896551724137931,0.2198443579766537,0.1760299625468165,0.23616236162361623,0.08494208494208494,0.11941008563273073,0.1760299625468165,0.3132075471698113,0.3377049180327869,0.007782101167315175,0.3062200956937799,0.38461538461538464,0.23809523809523808,0.3081570996978852,0.18076923076923077,0.39316239316239315,0.33535353535353535,0.011673151750972763,0.45080091533180777,0.011673151750972763,0.06976744186046512,0.03501945525291829,0.007782101167315175,0.3588850174216028,0.050387596899224806,0.21621621621621623,0.07003891050583658,0.019455252918287938,0.04669260700389105,0.07003891050583658
3,_snocString,0.021437578814627996,0.5301204819277109,0.22932330827067668,1,0.14285714285714285,0.17142857142857143,0.011502029769959404,0.011618257261410789,0.038288288288288286,0.19718309859154928,0.23404255319148937,0.2,0.21428571428571427,0.21428571428571427,0.1972318339100346,0.2112676056338028,0.2571428571428571,0.547945205479452,0.2,0.02857142857142857,0.0019181760885649303,0.048970901348474094,0.06724511930585683,0.04847537138389367,0.3373493975903614,0.062154696132596686,0.05714285714285714,0.0013904842512544586,0.08759124087591241,0.08108108108108109,0.02857142857142857,0.15789473684210525,0.04225352112676056,0.07142857142857142,0.24855491329479767,0.06274900398406374,0.27,0.23333333333333334,0.23684210526315788,0.029957203994293864,0.27,0.35294117647058826,0.20108695652173914,0.02857142857142857,0.15064102564102563,0.26490066225165565,0.18791946308724833,0.22388059701492538,0.2631578947368421,0.13414634146341464,0.12589073634204276,0.04285714285714286,0.17015706806282724,0.04285714285714286,0.2361111111111111,0.11267605633802817,0.02857142857142857,0.2848101265822785,0.13513513513513514,0.11914893617021277,0.2571428571428571,0.07142857142857142,0.17142857142857143,0.2571428571428571
4,_usage,0.0031545741324921135,0.17543859649122806,0.038910505836575876,0.14285714285714285,1,0.8333333333333334,0.001692047377326565,0.0016597510373443983,0.005636978579481398,0.5625,0.045454545454545456,0.6,0.6666666666666666,0.6666666666666666,0.032490974729241874,0.625,0.5555555555555556,0.23255813953488372,0.6,0.2,0.00027402515550927576,0.007102272727272727,0.014084507042253521,0.007867820613690008,0.13333333333333333,0.008534850640113799,0.16666666666666666,0.00020152351779452663,0.01276595744680851,0.028037383177570093,0.2,0.026143790849673203,0.16666666666666666,0.15384615384615385,0.05405405405405406,0.010030090270812437,0.09836065573770492,0.07317073170731707,0.21428571428571427,0.004770992366412214,0.09836065573770492,0.07446808510638298,0.05228758169934641,0.2,0.027491408934707903,0.06504065040650407,0.035398230088495575,0.0449438202247191,0.05263157894736842,0.02531645569620253,0.024752475247524754,0.3,0.026525198938992044,0.3,0.38095238095238093,0.35714285714285715,0.2,0.06716417910447761,0.14285714285714285,0.020100502512562814,0.5555555555555556,0.36363636363636365,0.8333333333333334,0.5555555555555556
5,_mySignalCatcher,0.0037854889589905363,0.21052631578947367,0.04669260700389105,0.17142857142857143,0.8333333333333334,1,0.0020304568527918783,0.001991701244813278,0.006764374295377677,0.5,0.05454545454545454,0.5294117647058824,0.8,0.8,0.039711191335740074,0.75,0.6666666666666666,0.27906976744186046,0.7333333333333333,0.16666666666666666,0.0003288301866111309,0.008522727272727272,0.014018691588785047,0.00944138473642801,0.1276595744680851,0.00851063829787234,0.14285714285714285,0.00024182822135343195,0.012658227848101266,0.027777777777777776,0.16666666666666666,0.032679738562091505,0.14285714285714285,0.13333333333333333,0.05333333333333334,0.012036108324974924,0.09523809523809523,0.07142857142857142,0.2,0.0057251908396946565,0.09523809523809523,0.07291666666666667,0.05161290322580645,0.16666666666666666,0.027303754266211604,0.064,0.034782608695652174,0.044444444444444446,0.05084745762711865,0.030379746835443037,0.0297029702970297,0.25,0.03183023872679045,0.25,0.34782608695652173,0.3125,0.16666666666666666,0.08208955223880597,0.13043478260869565,0.01990049751243781,0.6666666666666666,0.3076923076923077,1,0.5789473684210527
6,_compress,0.48172323759791125,0.009644670050761422,0.0335176805765041,0.011502029769959404,0.001692047377326565,0.0020304568527918783,1,0.8902439024390244,0.28926174496644297,0.0025380710659898475,0.03687415426251692,0.0023688663282571912,0.0025380710659898475,0.0025380710659898475,0.027574750830564786,0.0027072758037225042,0.003045685279187817,0.00727580372250423,0.0023688663282571912,0.00033840947546531303,0.15861522487567625,0.11776386131052391,0.025259067357512953,0.09935701163502755,0.006426517842042956,0.0384978001257071,0.0006768189509306261,0.11700693955546616,0.01824817518248175,0.01257445400397088,0.00033840947546531303,0.03085600530856005,0.0005075283369988157,0.0008460236886632825,0.021592442645074223,0.06343341031562741,0.0091324200913242,0.01029188459591699,0.0035514967021816335,0.10063238933186693,0.0091324200913242,0.012827004219409282,0.01951219512195122,0.00033840947546531303,0.032478347768154565,0.01514896482073725,0.013987192450286484,0.021655195568239048,0.006416751097602162,0.05699916177703269,0.05921825197114578,0.0005076142131979696,0.05646109897496219,0.0005076142131979696,0.003214890016920474,0.0015228426395939086,0.00033840947546531303,0.019743503206209923,0.0020297699594046007,0.016150516150516152,0.003045685279187817,0.0008460236886632825,0.0020304568527918783,0.003045685279187817
7,_uncompress,0.5078714332568055,0.009460580912863071,0.040755467196819085,0.011618257261410789,0.0016597510373443983,0.001991701244813278,0.8902439024390244,1,0.29443983402489626,0.0024896265560165973,0.036514522821576766,0.002323651452282158,0.0024896265560165973,0.0024896265560165973,0.03261225827597509,0.0026556016597510373,0.002987551867219917,0.007136929460580913,0.002323651452282158,0.00033195020746887966,0.1602990939853728,0.13325202012501905,0.032842037808394745,0.11270398047887753,0.006637902422834384,0.05046086548976722,0.0006639004149377593,0.11873504754628979,0.024242424242424242,0.01979064442263657,0.00033195020746887966,0.03703096837620842,0.0004978426817125788,0.0008298755186721991,0.023383084577114428,0.07452180566182097,0.008958195089581952,0.012441937624419376,0.0036502405840384933,0.12060162825996965,0.008958195089581952,0.015103734439834026,0.023194168323392977,0.00033195020746887966,0.04122691292875989,0.019237147595356552,0.015904572564612324,0.026485681178612813,0.008298755186721992,0.061332451644899984,0.06352357320099256,0.0004979253112033195,0.0613395225464191,0.0004979253112033195,0.0031535269709543567,0.0014937759336099586,0.00033195020746887966,0.020719376761147025,0.001991040318566451,0.021689122576404863,0.002987551867219917,0.0008298755186721991,0.001991701244813278,0.002987551867219917
8,_testf,0.5411471321695761,0.032130777903043965,0.12958843159065628,0.038288288288288286,0.005636978579481398,0.006764374295377677,0.28926174496644297,0.29443983402489626,1,0.008455467869222097,0.12338028169014084,0.007891770011273957,0.008455467869222097,0.008455467869222097,0.09508547008547008,0.009019165727170236,0.010146561443066516,0.024239007891770012,0.007891770011273957,0.0011273957158962795,0.04740659641439715,0.3127062706270627,0.08498023715415019,0.2613918806959403,0.02195945945945946,0.11597472924187725,0.002254791431792559,0.035312128598191085,0.06716417910447761,0.05363781200212427,0.0011273957158962795,0.11301553294054634,0.0011261261261261261,0.002818489289740699,0.07865168539325842,0.1761460101867572,0.030388294879009566,0.04044943820224719,0.01124859392575928,0.21545226130653267,0.030388294879009566,0.04952166572875633,0.07662192393736018,0.0011273957158962795,0.1157382368848026,0.0628154795288839,0.05378151260504202,0.08514190317195326,0.02818489289740699,0.19768083931529543,0.2079866888519135,0.0016910935738444193,0.20504201680672268,0.0016910935738444193,0.010710259301014656,0.005073280721533258,0.0011273957158962795,0.07014590347923681,0.006756756756756757,0.05809575040344271,0.010146561443066516,0.002818489289740699,0.006764374295377677,0.010146561443066516
9,_showFileNames,0.00473186119873817,0.2413793103448276,0.058365758754863814,0.19718309859154928,0.5625,0.5,0.0025380710659898475,0.0024896265560165973,0.008455467869222097,1,0.06334841628959276,0.6111111111111112,0.42857142857142855,0.42857142857142855,0.05434782608695652,0.55,0.375,0.3181818181818182,0.45,0.13333333333333333,0.0004110377332639136,0.01065340909090909,0.025821596244131457,0.011801730920535013,0.2727272727272727,0.017094017094017096,0.11764705882352941,0.00030228527669178993,0.03404255319148936,0.03211009174311927,0.13333333333333333,0.042483660130718956,0.11764705882352941,0.25,0.07333333333333333,0.015045135406218655,0.14285714285714285,0.13414634146341464,0.39285714285714285,0.00715648854961832,0.14285714285714285,0.10416666666666667,0.07096774193548387,0.13333333333333333,0.044673539518900345,0.0967741935483871,0.05172413793103448,0.055248618784530384,0.08333333333333333,0.03535353535353535,0.0345679012345679,0.2,0.037037037037037035,0.2,0.4782608695652174,0.5,0.13333333333333333,0.0962962962962963,0.16,0.04522613065326633,0.375,0.17647058823529413,0.5,0.5
