result,639010125,0.9999963535963401
left,birthmark,bzip2-1.0.7,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.7,op-seq,2026-04-17T04:57:47.625381+00:00,4884083
right,birthmark,bzip2-1.0.6,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.6,op-seq,2026-04-17T04:57:47.828330+00:00,3908292
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,0.9997666301657664,0.8661777924678362,0.5637951342829033,0.6601033666120787,0.5134565966254347,0.6987265532193465,0.9654446274376355,0.9797688062229873,0.9933763863470034,0.7250299125753186,0.9923680243374394,0.4343112996214308,0.7475238798154236,0.7475238798154236,0.5043885108147473,0.7261890861621791,0.76470250785174,0.8460736384979289,0.5936307777576821,0.027338889805576926,0.9784975791007949,0.6911539253420179,0.08332697718920218,0.6596630204358298,0.44725020378725544,0.1679471828690807,0.014008343747561752,0.9647235685823831,0.12263209610906713,0.025388622317456415,0.1263928383765078,0.5736208761119418,0.019331514371635217,0.039604028841849014,0.13838740357940593,0.419146887085647,0.1061961946316191,0.1223404615649729,0.3859981523227141,0.3843978082171633,0.1061961946316191,0.15668407223322703,0.07712646104498265,0.027338889805576926,0.0985067936067706,0.13738028047373663,0.044958713458630915,0.08971230758683174,0.04557949262576268,0.8393623705948324,0.946061176611137,0.03138035761019568,0.9214326304503215,0.03138035761019568,0.36341643067722906,0.5470503288343861,0.1263928383765078,0.5190887015261463,0.029626962105603154,0.04219797375808725,0.76470250785174,0.04054727576289458,0.6987265532193465,0.5869916832360527
1,_mySIGSEGVorSIGBUScatcher,0.8755056942576925,1.0000000000000002,0.6168246623524826,0.8892272274656976,0.8384954803521664,0.9334557717919229,0.8334410559599584,0.8423054678349552,0.8874612396181535,0.8242304188204481,0.8907075066263307,0.7945254619690877,0.9274773448271414,0.9274773448271414,0.5543645659779897,0.9505848293622025,0.9095583841963573,0.9682287151848157,0.8948158811736556,0.18939682326212925,0.7536433805063651,0.642958782329641,0.1707241357397965,0.6859590013091411,0.5090767837187208,0.22900413595446292,0.0765278731793381,0.8089180208908247,0.11641423240402103,0.08212614616653344,0.4329070245991526,0.5585424530710149,0.13392377806384168,0.20247372079721848,0.34890635680986704,0.4291684630086443,0.23815465829015015,0.18010579199658489,0.5746741079270504,0.4807626169335123,0.23815465829015015,0.3833312606217995,0.20339694883788187,0.18939682326212925,0.22484169282850555,0.2618651388782761,0.14157729366190822,0.2588036672173736,0.1464486253045317,0.7706281525516857,0.8111437952509232,0.19882524681270178,0.8936942348314906,0.19882524681270178,0.6079718616547141,0.7614427240193006,0.4329070245991526,0.5306253283659786,0.09789478429803712,0.091172095824767,0.9095583841963573,0.21920320842979865,0.9334557717919229,0.85189815880613
2,_addFlagsFromEnvVar,0.5696104789103023,0.6168246623524826,0.9999999999999999,0.6313680768004906,0.5371675961612659,0.49892720513392214,0.40445281355244334,0.4463664865756956,0.539044185098637,0.801993066573518,0.5448359109742587,0.5983953861725426,0.43642538967990974,0.43642538967990974,0.8354251876425002,0.6299549002537993,0.392791153317254,0.5788260509080763,0.5595905660700708,0.04641183303571368,0.5211123227783219,0.8530862030300996,0.39641703281119384,0.8742163355151312,0.8672935628280602,0.6704986387589282,0.23629047744132703,0.4331717076710646,0.41828564572194615,0.33628348577858175,0.34344756446428126,0.6472723083894755,0.05907261936033176,0.17365717791179694,0.6870704391123507,0.6892372588423791,0.5363771925982761,0.5711841163775865,0.7451263257050622,0.7462573340794297,0.5363771925982761,0.6850952660311592,0.48998524834473056,0.04641183303571368,0.5645919961513952,0.6719507596046045,0.42334784656327173,0.503132253864177,0.40930713263290613,0.7650190672788192,0.6213907880392947,0.15915943255064458,0.6068103049609115,0.15915943255064458,0.6745486479761834,0.6609884081794885,0.34344756446428126,0.6158627198121429,0.4394019973435845,0.3541115865633056,0.392791153317254,0.12269844702733018,0.49892720513392214,0.6464594162065425
3,_snocString,0.6692293612268747,0.8892272274656976,0.6313680768004906,1,0.866077698425577,0.8953697823254084,0.6334623433056171,0.641522246225383,0.6952707667992425,0.7745644098378819,0.7113270918973673,0.800933856165856,0.8907382871307888,0.8907382871307888,0.5867122110014958,0.9063269671749657,0.8741838393628372,0.9143107147878141,0.8019652685281737,0.4213504858001922,0.5332940826494388,0.6159901364072943,0.2796368015598159,0.6573066679317644,0.5180090089306685,0.3607088163051689,0.23409554595865587,0.6161106094625972,0.23723941144438726,0.2285926974331095,0.4213504858001922,0.5875360529928948,0.34050261230349943,0.4504426164614508,0.5147213574392512,0.5252593195737405,0.3296220093108895,0.32496156069003435,0.5452322350826353,0.5635079569348063,0.3296220093108895,0.6035835044121728,0.42524764086899697,0.4213504858001922,0.4356057248350534,0.49377723327389256,0.2994126335419951,0.483226859017422,0.36707224974630875,0.6705791829380239,0.6660113098723955,0.4177522091055419,0.7871502498360946,0.4177522091055419,0.6978597864711069,0.8084900286844691,0.4213504858001922,0.5729870305655342,0.21778620259218834,0.24276575136453202,0.8741838393628372,0.48766065222237814,0.8953697823254084,0.8848520429971439
4,_usage,0.5272158169919265,0.8384954803521664,0.5371675961612659,0.866077698425577,0.9999999999999998,0.9486832980505138,0.47032390778623806,0.4778038206607896,0.5463195073428839,0.7474093186836597,0.5609378771355948,0.9068453126375146,0.8885233166386385,0.8885233166386385,0.47178578514405883,0.9315885051121782,0.8392543274162825,0.8186238009832306,0.926302172234155,0.4743416490252569,0.3695858806097756,0.48838976108758664,0.25942585774759064,0.5708692870528593,0.4394802124588286,0.32179399700835537,0.22360679774997896,0.4452708647845341,0.18435651521805277,0.22116533821647846,0.6324555320336759,0.3945507151635723,0.33541019662496846,0.33806170189140655,0.48201867954981187,0.4037053326491151,0.33996414629706817,0.2237603211444811,0.5926377579897537,0.5063688388408115,0.33996414629706817,0.46921249615938304,0.28630778725048844,0.4743416490252569,0.3256161393853272,0.3128840681937159,0.285997326083418,0.3744982812451903,0.21680684567912825,0.5447011548388228,0.48822379257897447,0.5163977794943222,0.6154873291176155,0.5163977794943222,0.7181324987175316,0.7416198487095663,0.6324555320336759,0.4865978049268947,0.28603877677367767,0.20980390899998025,0.8392543274162825,0.5393598899705937,0.9486832980505138,0.9561016864238912
5,_mySignalCatcher,0.7095873113698093,0.9334557717919229,0.49892720513392214,0.8953697823254084,0.9486832980505138,0.9999999999999998,0.7048498850936403,0.7027040606430582,0.7429897615854191,0.722185380728474,0.749295039334484,0.8316320352807863,0.9834151021607785,0.9834151021607785,0.4503381050844577,0.9547032697824666,0.9583727150068314,0.9326990598429291,0.9212884029599914,0.37499999999999994,0.5615961752662828,0.5139142464072872,0.20509414860630643,0.5934022225795657,0.3474396144861517,0.25440049197895315,0.17677669529663687,0.6781075658406609,0.14574662239513503,0.17484655206138844,0.4999999999999999,0.5198662134855092,0.2651650429449553,0.26726124191242434,0.3810692255310577,0.4411711261247332,0.26876525627335834,0.1768980661968237,0.46852128566581813,0.47338187033944756,0.26876525627335834,0.3709450486191646,0.22634617988861522,0.37499999999999994,0.2574221608421234,0.24735657476789685,0.22610073878537096,0.29606688713828,0.17140086116567016,0.6206052821861883,0.6575866930742397,0.40824829046386296,0.7977353422916097,0.40824829046386296,0.6274950199005567,0.6929023281557339,0.4999999999999999,0.5280049792181877,0.2261335084333227,0.1658645536116593,0.9583727150068314,0.42640143271122083,0.9999999999999998,0.912250561499702
6,_compress,0.9641576962603454,0.8334410559599584,0.40445281355244334,0.6334623433056171,0.47032390778623806,0.7048498850936403,1.0000000000000002,0.9979373961410415,0.9835169427440247,0.5749223620593498,0.9766841344954081,0.35932402573129274,0.7804973521048938,0.7804973521048938,0.378261330684259,0.677677796501887,0.8129996295184362,0.8463381680110671,0.5513564787059224,0.01623684264885932,0.9330926202701207,0.5627661347645543,0.03356321459176805,0.5535893082198557,0.2399046557429856,0.08576866728905072,0.004834181701923103,0.992878862541253,0.07015261743035313,0.008706928490700261,0.03879750822411648,0.5962012394711558,0.01244801788245199,0.01863691918186179,0.052802287927446685,0.3937815468698763,0.04528119591935473,0.060361259261932934,0.19402635147612748,0.3005265044870629,0.04528119591935473,0.06266349625161263,0.03046093385188382,0.01623684264885932,0.04238592459640136,0.06198537953574712,0.015965414806848502,0.03439769306237756,0.01675047520242023,0.7330568759987826,0.9086919673455633,0.01758340147357626,0.9335797808875155,0.01758340147357626,0.2618071212833882,0.4331870177143528,0.03879750822411648,0.4841435570301934,0.011027965719722128,0.01827141639560195,0.8129996295184362,0.022082043466932856,0.7048498850936403,0.5147917814233359
7,_uncompress,0.9785037482054211,0.8423054678349552,0.4463664865756956,0.641522246225383,0.4778038206607896,0.7027040606430582,0.9979373961410415,1.0000000000000002,0.9918303621572307,0.6133863757825472,0.9866179457330421,0.37282445051229535,0.7734310900746748,0.7734310900746748,0.41187647109207653,0.688886234004565,0.8031411096572623,0.8493101532932121,0.5571434887142248,0.01956442978546446,0.9518451019942803,0.6004005755205837,0.04659648708075791,0.5833714008220412,0.2915087679872111,0.10981587471345473,0.010788091583162835,0.9932509007777539,0.0880099040930161,0.016896736075353778,0.05312909372933467,0.5970991552724788,0.014849490767412373,0.025808273627093134,0.07440080912984323,0.40641075929779197,0.06108481756811012,0.07918580427312119,0.23776451356912057,0.32475096794788727,0.06108481756811012,0.08681302522325053,0.04599459442155964,0.01956442978546446,0.060165092701281855,0.08470830102007523,0.027149935110137365,0.051203493077402636,0.028692197590645015,0.7656387658707348,0.9259195430157905,0.024034711601208222,0.936561765700707,0.024034711601208222,0.2871293611801798,0.460816455622986,0.05312909372933467,0.49979350307396514,0.019969662282194153,0.027702753695035432,0.8031411096572623,0.027246413918249963,0.7027040606430582,0.5311539080806184
8,_testf,0.9937290038901935,0.8874612396181535,0.539044185098637,0.6952707667992425,0.5463195073428839,0.7429897615854191,0.9835169427440247,0.9918303621572307,1.0000000000000002,0.7001093483507482,0.9975022713748767,0.45725365782984617,0.7960198502108943,0.7960198502108943,0.48851611482457064,0.751466614627983,0.8149422393605468,0.8813285085275744,0.623445095239198,0.038343191201584435,0.9572140281482481,0.6697707830160398,0.09333995534476953,0.654255888143298,0.397299414311892,0.17203491124492404,0.033251461947419375,0.9798247161453878,0.12685037796957127,0.048735555810171395,0.1251579637334737,0.6117902425147344,0.02711273051097272,0.051818300095185434,0.1552669096393395,0.4446808411087181,0.12162219178915007,0.13503105706617263,0.3481065183345403,0.39474173114530314,0.12162219178915007,0.16905111387787955,0.09886626964865836,0.038343191201584435,0.11871743864622793,0.15094413754803904,0.07047704139064692,0.11245053514246264,0.07011933423615502,0.8217193211297128,0.9453658754435894,0.05375367341761529,0.9500895553765139,0.05375367341761529,0.37631562609717756,0.5441637678050162,0.1251579637334737,0.5391496259587324,0.056277623409900675,0.06074312649767892,0.8149422393605468,0.05490994935900957,0.7429897615854191,0.6082316159131002
9,_showFileNames,0.7326576543017764,0.8242304188204481,0.801993066573518,0.7745644098378819,0.7474093186836597,0.722185380728474,0.5749223620593498,0.6133863757825472,0.7001093483507482,1.0000000000000002,0.7212388439142691,0.7832178030674114,0.6640906067234306,0.6640906067234306,0.7023319861882789,0.8309489698388166,0.6195224741298931,0.7798050730945446,0.7444375004781978,0.2626128657194451,0.668385783212206,0.800843829666476,0.34593741148090323,0.7579181044346603,0.8281976394854439,0.4046707015621221,0.18569533817705186,0.5818740838831751,0.28247982541246375,0.18734117271986195,0.5252257314388902,0.4103980838340402,0.18569533817705186,0.3509312031717982,0.5323919848043474,0.468175885340259,0.40584198139566435,0.29594006644141735,0.7997581636151854,0.6318938933241387,0.40584198139566435,0.5342109735869037,0.37105855462760134,0.2626128657194451,0.41323139675441983,0.4204620135953876,0.30112602640810054,0.418659089024719,0.3032392174315614,0.8607948470873,0.7390304979120517,0.3216337604513385,0.6780354364041827,0.3216337604513385,0.7533177846892134,0.8398387664337815,0.5252257314388902,0.6061462230889579,0.2771326538627136,0.20862068856928048,0.6195224741298931,0.2799462554779272,0.722185380728474,0.8213785172900903
