result,591022458,0.9861382054874521
left,birthmark,bzip2-1.0.8,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.8,op-seq,2026-04-17T04:57:47.758967+00:00,4475541
right,birthmark,bzip2-1.0.2,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.2,op-seq,2026-04-17T04:57:55.385904+00:00,4462500
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,0.0031004754301614534,0.21719326520896975,0.08310497970411135,0.28852913050440654,0.5647121572994944,0.4946759446024125,0.0012604516310072977,0.0013442565353583014,0.00573496134686402,0.5282713778214858,0.04746633810233514,0.5895372839329331,0.4479446509027958,0.4479446509027958,0.09275190731036687,0.51503439463604,0.3986316460739904,0.285137269812489,0.4508145693058897,0.35719233768508685,0.00021294878507094328,0.015411337029747507,0.03607055335639464,0.01998530374705776,0.35090692937340584,0.02510173362066037,0.2857142857142857,0.0001668917122387148,0.055576185818762225,0.0474499377503923,0.3204312732724177,0.046427797085416,0.3773001509227608,0.586400664694381,0.14401768730326237,0.017430955573947804,0.2321739148397517,0.16977450259221005,0.4352873396790039,0.0107785089074236,0.2321739148397517,0.22436527352466284,0.11753589656448116,0.35719233768508685,0.0654760910669211,0.15369806547067455,0.11688856388215563,0.10514744694862388,0.2492174776332602,0.04402141630106693,0.03156257214966274,0.369784808761505,0.03604194650463799,0.369784808761505,0.5703204948093932,0.6197642986328299,0.3204312732724177,0.11446273909406357,0.32330679231646464,0.05892941533496243,0.3986316460739904,0.5500990508657964,0.4946759446024125,0.5429456809606272,0
1,_mySIGSEGVorSIGBUScatcher,0.9872629834313532,0.026907000195343533,0.06340719419417173,0.02152236848934974,0.0037807646611959234,0.005364916329183789,0.5848235322259026,0.6121880697427375,0.702598657818178,0.0051874425652248535,0.12117458236997036,0.0049324118608139456,0.0073576855631134475,0.0073576855631134475,0.05159840828899964,0.006242650569982633,0.009427759405897795,0.019000174149092275,0.0066487523174538765,0.0008131376864668471,0.1373753037405714,0.2945470597505139,0.08113866482009291,0.2334395524334244,0.010626946721570829,0.12097539804886781,0.001134467000814432,0.10877231763724404,0.0505778416078031,0.05345709150388711,0.0008915737660191159,0.0917980851078467,0.001140425934846201,0.0015378397727171533,0.028517116034490697,0.20017270423275846,0.012825992871904779,0.01660443689677127,0.006986182642906402,0.3020474982732295,0.012825992871904779,0.01870627104283651,0.029833508013834553,0.0008131376864668471,0.05550489054207042,0.024277159135139947,0.024729085130236306,0.03605954905921982,0.011296504048069589,0.1325223102930585,0.17159283003258008,0.0009995414006616077,0.15767672013347134,0.0009995414006616077,0.004500005032717969,0.0028685221196583788,0.0008915737660191159,0.03862750170249851,0.0026955284538733304,0.04426367830472977,0.009427759405897795,0.0019284625115122411,0.005364916329183789,0.006003593394599993,0
2,_addFlagsFromEnvVar,0.02668626401956642,1,0.37952076613446006,0.7590466653316716,0.26431540198803405,0.3409378184235602,0.011502858546009076,0.012134661220652543,0.04907791649810156,0.3049081195675263,0.34324871011242597,0.3323610483642011,0.4258692436172399,0.4258692436172399,0.40007111853860455,0.3844901388695632,0.5000670316791329,0.7901776350294232,0.4133105092379521,0.05970617706003423,0.0019155593458441977,0.10056385675106005,0.16018497364277628,0.13172352613758076,0.42853874625270083,0.12490649214490845,0.07381177282338236,0.0015528294913034202,0.22464042686331254,0.19577670935177438,0.07240390074593284,0.2772230386776884,0.07791299545381225,0.10599920851617306,0.3850552400417767,0.10743288090842318,0.3770085962742038,0.3596116657906978,0.36903035707184917,0.06301118644249404,0.3770085962742038,0.4423872157156772,0.31978461288666293,0.05970617706003423,0.23079890244756285,0.3718041836278667,0.3176641259489733,0.3106796112733047,0.337811408851872,0.27227555210193566,0.23369642814641722,0.07251131717609871,0.2628869118022755,0.07251131717609871,0.2817011370334771,0.19504855778064956,0.07240390074593284,0.4555382182305979,0.15340652575863012,0.22701630894496105,0.5000670316791329,0.13033209107327504,0.3409378184235602,0.372232273312738,0
3,_snocString,0.06284025602702803,0.37952076613446006,1,0.35797295342721147,0.08404323998976537,0.10161479704286402,0.02525207463286283,0.02728925048301467,0.10919421436244647,0.11809418184919429,0.48987699698255927,0.11762078076079563,0.12575233456782509,0.12575233456782509,0.7012820643217724,0.12567227076765863,0.14951660318211957,0.29123588950664114,0.1363154539990704,0.018903334226350044,0.0048300359054698205,0.2941831431365113,0.38574421410383464,0.36841878262835837,0.2725508525827788,0.3998892992878921,0.031308804467246265,0.0035779367313906185,0.45822822483138725,0.41257588202086404,0.02433599292723676,0.5455762263000835,0.026758955604017864,0.03882599322198654,0.5458106424512329,0.31583228085574844,0.3080425824324493,0.3730437568015802,0.18233153816564085,0.1987874129697057,0.3080425824324493,0.4331154945391924,0.46829129671789826,0.018903334226350044,0.5209289816448794,0.5007604091531713,0.41671516048225765,0.4938108799606902,0.2642759003742242,0.559898783230378,0.44151985594541554,0.025522745381388212,0.45398690057393765,0.025522745381388212,0.11906868176033014,0.06877278519292851,0.02433599292723676,0.5122562875968697,0.08200701794235454,0.4311576736522901,0.14951660318211957,0.04594190883342164,0.10161479704286402,0.13236045453800016,0
4,_usage,0.021356172412696828,0.7590466653316716,0.35797295342721147,1,0.29386250068219844,0.36191780097416093,0.0092142172575439,0.009721278177262649,0.03964600297607712,0.3205844133772291,0.27921278181398657,0.362054425272756,0.4486226329275258,0.4486226329275258,0.3863186662922048,0.4050941092220455,0.5221173836106452,0.7634859763758425,0.4171517532958503,0.07925698924688374,0.0015057253216630428,0.08952628163070253,0.16240127685676164,0.11739290046431128,0.45199541358936235,0.1272026716291017,0.09359757443742989,0.0012472228637182559,0.2362637949527817,0.21004209911365868,0.07925698924688374,0.2614350385278049,0.1021245977199643,0.1420317051567218,0.4308543678727703,0.10453971508537063,0.4193145391804426,0.41632163729197724,0.38402773028767934,0.06025032470469416,0.4193145391804426,0.5432219035193622,0.3779414009449611,0.07925698924688374,0.2578609277637286,0.4518600543870216,0.36017221521509724,0.360286095328867,0.43249712123362705,0.233208223823975,0.1941328157063441,0.09518897355763312,0.22453651594169977,0.09518897355763312,0.32595323684250843,0.22030856276009514,0.07925698924688374,0.4519913751074598,0.18628306693625285,0.24713681621448214,0.5221173836106452,0.17691151331988075,0.36191780097416093,0.41287502635237083,0
5,_mySignalCatcher,0.003764204484027922,0.26431540198803405,0.08404323998976537,0.29386250068219844,1,0.8025469509178665,0.0015871843830025378,0.0016751971875994531,0.007035693174622604,0.634225295294389,0.057631882881649776,0.7340841592506012,0.6570357860010545,0.6570357860010545,0.09431548784842136,0.7417639936750071,0.5502953846534652,0.34337666569706593,0.6870333480744863,0.3204616905274479,0.00025625634634141026,0.016590231369883468,0.03586394976894014,0.02273353688139479,0.32442611376077424,0.026280775822025038,0.30901699437494745,0.0002124642650875863,0.05721949236844459,0.05082841516790437,0.36435011619153723,0.05279288493068046,0.34447596332676844,0.38761337731175904,0.12690436877912414,0.019692216805469065,0.2172720107540338,0.16245293183001053,0.45677636148150746,0.011490558257133188,0.2172720107540338,0.18483535180748267,0.09943617686437878,0.3204616905274479,0.057216685407059376,0.12869663805619802,0.11471549300574924,0.09020465875033612,0.2051236651134899,0.047601570832740636,0.037224800021680826,0.37574681510650565,0.043629479269242766,0.37574681510650565,0.6030978052856559,0.6148296117852735,0.36435011619153723,0.12616461160683679,0.4022161352507615,0.061904277391416795,0.5502953846534652,0.5027471669973729,0.8025469509178665,0.7486840210547169,0
6,_compress,0.005327174912897248,0.3409378184235602,0.10161479704286402,0.36191780097416093,0.8025469509178665,1,0.0023274104047043,0.0024409219215846267,0.010022276750919823,0.6265985772644386,0.08108648181301548,0.7069602397004671,0.8306867049815754,0.8306867049815754,0.11483265900459216,0.835222710216904,0.7067166683715433,0.44477704336235035,0.7593426953166605,0.25166852264521167,0.00036956909198171406,0.02126935624952686,0.04290678740705811,0.029037891331903487,0.340773262423986,0.03129539951988958,0.2612038749637414,0.00031203566236182034,0.06862485119554163,0.06080065974752402,0.2788897449072022,0.07203526488725254,0.28466372787299954,0.3293955346643598,0.1441862982837584,0.025458022868826702,0.24083221556810475,0.1859062329720057,0.44780409082612294,0.01417802361399978,0.24083221556810475,0.20614613159438522,0.1160108454433958,0.25166852264521167,0.06743807932211754,0.1481630573656776,0.13309303968844588,0.1046520686303517,0.2300955337660201,0.06262597357571609,0.05214828851786124,0.29676286505523675,0.06108412215723147,0.29676286505523675,0.5679574439879402,0.5405231786569591,0.2788897449072022,0.15956019336963467,0.37367627474946075,0.07386620938408528,0.7067166683715433,0.42094338220075955,1,0.7726195647677945,0
7,_uncompress,0.5947542094288616,0.01164017367984782,0.025584844750083047,0.009322372125802225,0.0016058365930228247,0.002354223255011223,0.9936687667081211,0.9646482280262808,0.38186969050094033,0.002073815106563459,0.0543577102432361,0.002045451322237768,0.0032796530920098377,0.0032796530920098377,0.02116025840610658,0.0026545847597941874,0.004240316635112373,0.008346287071117064,0.002832600911791938,0.0003513698521380171,0.2807419897394481,0.13498355324275213,0.03613243904334651,0.10563709330790971,0.004002792404942945,0.0538718721599426,0.000491247892859592,0.236018489581434,0.02187726605264184,0.024048075075883357,0.00035926511571893194,0.04239537623686562,0.0004949557231662682,0.0006586206748847578,0.011753830372469132,0.09675780460601635,0.005344283786899218,0.006936608661444077,0.0026411886772468307,0.15351044479333387,0.005344283786899218,0.007602858312885541,0.012755105264931621,0.0003513698521380171,0.02401517914940965,0.010073056668150726,0.01071005037230699,0.015366672091374212,0.004839396304419541,0.057010126808319406,0.07743433536763089,0.0004308790648466232,0.07281685045639374,0.0004308790648466232,0.001823559562723065,0.0011624751783951837,0.00035926511571893194,0.016779768390824734,0.0011582467858660683,0.01959474553128049,0.004240316635112373,0.0008282195716883267,0.002354223255011223,0.0025083052160271846,0
8,_testf,0.6209572359652537,0.012262951316711956,0.027535713819696328,0.009825814397532273,0.0016935899292964685,0.0024681042784844287,0.957692159937632,0.9943822986663147,0.39863052997654236,0.0022225690689723354,0.05718477612280237,0.0021670179692518943,0.003429302393000211,0.003429302393000211,0.022665615269918282,0.0028026043662798816,0.004427385701023079,0.00876823881852462,0.0029836680903321255,0.00036962379736504847,0.2723066333257119,0.14406872258316783,0.03825232064165818,0.11236476144807461,0.0043538897319633785,0.05746902777021201,0.0005180907046988814,0.22636997445487994,0.023256333009789576,0.025373535605219932,0.0003818550808072363,0.044437899329784813,0.0005201946814142877,0.0006953157726813375,0.012560644782616537,0.10191687467819888,0.005682872539736761,0.007392388147311468,0.0028617701771868065,0.16262079674224827,0.005682872539736761,0.008143628588942686,0.013558891503942627,0.00036962379736504847,0.025554119516770557,0.010771275282807635,0.011342193011931845,0.01635182626351439,0.005130914004989107,0.06070245996827828,0.08170265044958014,0.0004545945763423376,0.07634994099647707,0.0004545945763423376,0.0019485667740776202,0.001240914551937311,0.0003818550808072363,0.017756057118440083,0.0012248827301436505,0.020701020800330983,0.004427385701023079,0.0008727032626993925,0.0024681042784844287,0.002658139921733471,0
9,_showFileNames,0.6968269796797033,0.04907791649810156,0.10919421436244647,0.03964600297607712,0.007035693174622604,0.010022276750919823,0.3780892384384563,0.3954094488491099,1,0.009308005940145803,0.2112327564837061,0.009117541943353569,0.01375592423172245,0.01375592423172245,0.08987646327218113,0.011527204244793698,0.017621596375973048,0.035045116189018954,0.012317343797700664,0.0014991776562098824,0.0768391354387824,0.43871415491620747,0.13585858685175978,0.36616080255716643,0.018582869732506113,0.19403550410657333,0.002107879792202283,0.06161986770395966,0.08770198337090784,0.09346472704858955,0.001624624287678622,0.16202129417562094,0.0020953433540380484,0.0028358635686044353,0.05129050406862323,0.31501825056328836,0.02341992932965853,0.030125872533218412,0.012337742480887592,0.4102216773887435,0.02341992932965853,0.03387019074601649,0.05373477393269377,0.0014991776562098824,0.09698397146817761,0.043732172729255,0.04493890915259535,0.06456951092701724,0.020836823842263374,0.22436145038606048,0.29102802093311764,0.0018624896662641222,0.27331020717904964,0.0018624896662641222,0.008264874248294252,0.005218062168667492,0.001624624287678622,0.06963503101364821,0.005033300678548125,0.07800930218178026,0.017621596375973048,0.0035618107295745105,0.010022276750919823,0.01106772710121362,0
