result,95141884458,0.9923867170948162
left,birthmark,bzip2-1.0.7,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.7,op-seq,2026-04-17T04:57:47.625381+00:00,4884083
right,birthmark,bzip2-1.0.4,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.4,op-seq,2026-04-17T04:57:55.171892+00:00,4509542
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,0.9092896174863389,0.03532692903625659,0.09512693317770644,0.03827160493827161,0.006289308176100629,0.00754242614707731,0.5599118942731277,0.5566068515497553,0.5473300970873787,0.009419152276295133,0.12684365781710916,0.008793969849246231,0.009419152276295133,0.009419152276295133,0.07254788160185723,0.010043942247332079,0.011292346298619825,0.026766262060379707,0.008793969849246231,0.0012610340479192938,0.13397877114691273,0.23547400611620795,0.08574610244988864,0.19184868272911507,0.02242292120834631,0.09408115792194366,0.002520478890989288,0.10475071980603122,0.050029429075927015,0.04142011834319527,0.0012610340479192938,0.08520437535981577,0.001260239445494644,0.0031496062992125984,0.06272617611580217,0.15166786657067435,0.02850945150294391,0.03140394088669951,0.011897307451471509,0.18647930117736422,0.02850945150294391,0.03986507206378412,0.052393857271906055,0.0012610340479192938,0.08268285631685458,0.049225159525979945,0.044552944766554775,0.06037059175134489,0.024844720496894408,0.16100981767180925,0.17347509792949076,0.0018909549322407816,0.16746546377220187,0.0018909549322407816,0.01066164941988084,0.005662157911292859,0.0012610340479192938,0.061762034514078114,0.006909547738693468,0.047576568539994056,0.011292346298619825,0.0031496062992125984,0.00754242614707731,0.011292346298619825
1,_mySIGSEGVorSIGBUScatcher,0.03462940461725395,1,0.24203821656050956,0.5039370078740157,0.29850746268656714,0.34782608695652173,0.019105077928607342,0.018743834265044394,0.0622610595303113,0.3055555555555556,0.36101083032490977,0.39436619718309857,0.4166666666666667,0.4166666666666667,0.21021021021021022,0.3835616438356164,0.48,0.62,0.39436619718309857,0.06779661016949153,0.003119015047879617,0.07508532423208192,0.10438413361169102,0.07981927710843373,0.32653061224489793,0.07407407407407407,0.06557377049180328,0.0022544737212906864,0.09824561403508772,0.06741573033707865,0.06779661016949153,0.1772853185595568,0.06557377049180328,0.16129032258064516,0.16748768472906403,0.08918406072106262,0.24561403508771928,0.17777777777777778,0.2962962962962963,0.046446818392940084,0.24561403508771928,0.24324324324324326,0.16346153846153846,0.06779661016949153,0.13872832369942195,0.21348314606741572,0.14634146341463414,0.17167381974248927,0.205607476635514,0.1902654867256637,0.17787418655097614,0.06666666666666667,0.2304147465437788,0.06666666666666667,0.3157894736842105,0.24242424242424243,0.06779661016949153,0.3368421052631579,0.11267605633802817,0.088,0.48,0.16129032258064516,0.34782608695652173,0.4266666666666667
2,_addFlagsFromEnvVar,0.09221076746849943,0.24203821656050956,1,0.26299694189602446,0.0749063670411985,0.08178438661710037,0.04572725798605481,0.057943330149633876,0.14869522402757263,0.10294117647058823,0.2976939203354298,0.08856088560885608,0.09558823529411764,0.09558823529411764,0.4165103189493433,0.10256410256410256,0.10909090909090909,0.2,0.0959409594095941,0.015444015444015444,0.012027210884353741,0.24024024024024024,0.24153166421207659,0.2526178010471204,0.2214765100671141,0.2803347280334728,0.03065134099616858,0.009302512079231742,0.2556701030927835,0.22698072805139186,0.015444015444015444,0.33868092691622104,0.03065134099616858,0.030534351145038167,0.3325062034739454,0.24720893141945774,0.24203821656050956,0.2626865671641791,0.15658362989323843,0.17254568635784107,0.24203821656050956,0.28160919540229884,0.28431372549019607,0.015444015444015444,0.304029304029304,0.30687830687830686,0.25824175824175827,0.2956120092378753,0.20195439739413681,0.3282208588957055,0.2874432677760968,0.015384615384615385,0.3312302839116719,0.015384615384615385,0.13043478260869565,0.06766917293233082,0.015444015444015444,0.3128205128205128,0.08856088560885608,0.25333333333333335,0.10909090909090909,0.03816793893129771,0.08178438661710037,0.10909090909090909
3,_snocString,0.038124054462934945,0.5039370078740157,0.26299694189602446,1,0.25,0.2682926829268293,0.020066889632107024,0.0206726825266612,0.06399132321041215,0.25882352941176473,0.2689655172413793,0.2619047619047619,0.32941176470588235,0.32941176470588235,0.2023121387283237,0.27906976744186046,0.38636363636363635,0.49557522123893805,0.2857142857142857,0.05555555555555555,0.0033914066132428957,0.08254397834912043,0.10569105691056911,0.08351976137211037,0.25225225225225223,0.08842652795838751,0.10810810810810811,0.0027368590517588345,0.1476510067114094,0.11428571428571428,0.05555555555555555,0.18716577540106952,0.08108108108108109,0.13333333333333333,0.24074074074074073,0.10121836925960637,0.28346456692913385,0.22972972972972974,0.2553191489361702,0.05263157894736842,0.28346456692913385,0.3105590062111801,0.28054298642533937,0.05555555555555555,0.20055710306406685,0.2931937172774869,0.23728813559322035,0.2601626016260163,0.35,0.15913978494623657,0.16033755274261605,0.0821917808219178,0.22371364653243847,0.0821917808219178,0.2696629213483146,0.20253164556962025,0.05555555555555555,0.3448275862068966,0.11904761904761904,0.16730038022813687,0.38636363636363635,0.13333333333333333,0.2682926829268293,0.29545454545454547
4,_usage,0.0061633281972265025,0.29850746268656714,0.0749063670411985,0.25,1,0.7272727272727273,0.0033783783783783786,0.0033140016570008283,0.011210762331838564,0.64,0.08695652173913043,0.75,0.64,0.64,0.055944055944055944,0.6923076923076923,0.5714285714285714,0.37735849056603776,0.6666666666666666,0.3333333333333333,0.0005479001725885544,0.014104372355430184,0.027777777777777776,0.0156128024980484,0.1568627450980392,0.014104372355430184,0.2857142857142857,0.00040296582849774337,0.025210084033613446,0.05454545454545454,0.3333333333333333,0.044585987261146494,0.2857142857142857,0.26666666666666666,0.07692307692307693,0.019860973187686197,0.1791044776119403,0.11363636363636363,0.29411764705882354,0.008547008547008548,0.1791044776119403,0.1188118811881188,0.08695652173913043,0.3333333333333333,0.046822742474916385,0.10687022900763359,0.06837606837606838,0.06451612903225806,0.1,0.03950617283950617,0.043478260869565216,0.3076923076923077,0.05167958656330749,0.3076923076923077,0.4827586206896552,0.5263157894736842,0.3333333333333333,0.11188811188811189,0.25,0.03940886699507389,0.5714285714285714,0.5333333333333333,0.7272727272727273,0.6428571428571429
5,_mySignalCatcher,0.0073914382506929475,0.34782608695652173,0.08178438661710037,0.2682926829268293,0.7272727272727273,1,0.004052684903748734,0.003975484512174921,0.013437849944008958,0.6666666666666666,0.10344827586206896,0.6923076923076923,0.8888888888888888,0.8888888888888888,0.06944444444444445,0.8571428571428571,0.8,0.43636363636363634,0.6923076923076923,0.2857142857142857,0.0006574441857279824,0.016901408450704224,0.02304147465437788,0.018706157443491817,0.1509433962264151,0.014064697609001406,0.25,0.00048353950920739815,0.025,0.04504504504504504,0.2857142857142857,0.05063291139240506,0.25,0.23529411764705882,0.0759493670886076,0.02180376610505451,0.17391304347826086,0.1111111111111111,0.2777777777777778,0.009487666034155597,0.17391304347826086,0.11650485436893204,0.0736196319018405,0.2857142857142857,0.053156146179401995,0.09022556390977443,0.06722689075630252,0.06382978723404255,0.0967741935483871,0.04914004914004914,0.04807692307692308,0.26666666666666666,0.061696658097686374,0.26666666666666666,0.45161290322580644,0.47619047619047616,0.2857142857142857,0.12413793103448276,0.23076923076923078,0.03902439024390244,0.8,0.47058823529411764,1,0.6666666666666666
6,_compress,0.5594313832695462,0.019105077928607342,0.04572725798605481,0.020066889632107024,0.0033783783783783786,0.004052684903748734,1,0.7770423125261835,0.38365434669443,0.005063291139240506,0.07112561174551386,0.004726536124240378,0.005063291139240506,0.005063291139240506,0.038797284190106696,0.005399932500843739,0.006072874493927126,0.014446497564253317,0.004726536124240378,0.0006765899864682003,0.25757611489753085,0.14074883848045913,0.041377132027795326,0.11196212226709372,0.011090573012939002,0.047208352246935995,0.0010145417653026716,0.1991284304545127,0.026392961876832845,0.021241830065359478,0.0006765899864682003,0.047956227872545866,0.0010145417653026716,0.0016906170752324597,0.03071334214002642,0.08715795569711887,0.015082956259426848,0.01569806279225117,0.0064037748567576675,0.1066699975018736,0.015082956259426848,0.018996833861023164,0.028708133971291867,0.0006765899864682003,0.044523310211324406,0.024208257337091692,0.021937842778793418,0.03286230693394676,0.011073825503355705,0.0859635210150674,0.09787773202407349,0.0010147133434804667,0.09225385716557977,0.0010147133434804667,0.0057345252150446955,0.0030410542321338066,0.0006765899864682003,0.03210325997021347,0.0027008777852802163,0.024905784040635752,0.006072874493927126,0.0016906170752324597,0.004052684903748734,0.006072874493927126
7,_uncompress,0.5596112311015119,0.018743834265044394,0.057943330149633876,0.0206726825266612,0.0033140016570008283,0.003975484512174921,0.7770423125261835,1,0.4274907039364021,0.004966887417218543,0.06981585268214571,0.004636529226693161,0.004966887417218543,0.004966887417218543,0.04951594984923028,0.005297136235722562,0.005957305973854046,0.014172709294660513,0.004636529226693161,0.000663680106188817,0.2508114210452044,0.1625184985873806,0.050255932992089344,0.12280701754385964,0.012199142762940983,0.06543723973825104,0.0013269198872118096,0.1959135263356515,0.033264033264033266,0.027906976744186046,0.000663680106188817,0.05688102385842945,0.0009951899154088573,0.001658374792703151,0.03305785123966942,0.097977784107092,0.015784281486353174,0.01900704571522202,0.006612663250123987,0.1251077453515577,0.015784281486353174,0.02223675604970569,0.03465025906735751,0.000663680106188817,0.05289832119100412,0.026684022128213473,0.02674494455316373,0.03805837768101919,0.012839506172839505,0.09501557632398754,0.1026598226784881,0.0009953550099535502,0.09746954076850985,0.0009953550099535502,0.005956320317670417,0.0029830957905203847,0.000663680106188817,0.03572588502760637,0.0036429872495446266,0.02894821486008363,0.005957305973854046,0.001658374792703151,0.003975484512174921,0.005957305973854046
8,_testf,0.5450189658614494,0.0622610595303113,0.14869522402757263,0.06399132321041215,0.011210762331838564,0.013437849944008958,0.38365434669443,0.4274907039364021,1,0.016769144773616546,0.2136409227683049,0.015659955257270694,0.016769144773616546,0.016769144773616546,0.1326829268292683,0.017877094972067038,0.020089285714285716,0.04733076499724821,0.015659955257270694,0.0022522522522522522,0.08142786212663652,0.3060967944688875,0.12112932604735883,0.2561576354679803,0.03746556473829201,0.1512333198544278,0.0044994375703037125,0.060899680909020155,0.08691308691308691,0.07661290322580645,0.0022522522522522522,0.14148219441770934,0.0022497187851518562,0.005621135469364812,0.09375,0.19992782389029232,0.0480611687602403,0.05723542116630669,0.02224694104560623,0.2165374677002584,0.0480611687602403,0.06756032171581769,0.09662337662337663,0.0022522522522522522,0.1269995152690257,0.08337730870712401,0.07655502392344497,0.09846153846153846,0.04276315789473684,0.2471184877823882,0.27548209366391185,0.0033764772087788407,0.2556950255695026,0.0033764772087788407,0.020078081427774678,0.010095344924284913,0.0022522522522522522,0.10277923439958049,0.012304250559284116,0.07930859176410777,0.020089285714285716,0.005621135469364812,0.013437849944008958,0.020089285714285716
9,_showFileNames,0.009230769230769232,0.3055555555555556,0.10294117647058823,0.25882352941176473,0.64,0.6666666666666666,0.005063291139240506,0.004966887417218543,0.016769144773616546,1,0.11063829787234042,0.7586206896551724,0.6,0.6,0.08247422680412371,0.6451612903225806,0.5454545454545454,0.3793103448275862,0.5517241379310345,0.23529411764705882,0.0008217377013257369,0.019676739283204497,0.04576659038901602,0.02177293934681182,0.2857142857142857,0.03081232492997199,0.21052631578947367,0.0005640953321111268,0.05761316872427984,0.05333333333333334,0.23529411764705882,0.06269592476489028,0.21052631578947367,0.4,0.09937888198757763,0.02766798418972332,0.25,0.17204301075268819,0.3076923076923077,0.01231643770724775,0.25,0.16981132075471697,0.12048192771084337,0.23529411764705882,0.07236842105263158,0.1323529411764706,0.09836065573770492,0.08376963350785341,0.15384615384615385,0.06341463414634146,0.057279236276849645,0.2222222222222222,0.0663265306122449,0.2222222222222222,0.4117647058823529,0.4166666666666667,0.23529411764705882,0.16216216216216217,0.27586206896551724,0.057692307692307696,0.5454545454545454,0.3,0.6666666666666666,0.48484848484848486
