result,469004833,0.8843674331623202
left,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
right,birthmark,bzip2-1.0.2,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.2,op-seq,2026-04-17T04:57:55.385904+00:00,4462500
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,_fopen_output_safely,0.4666666666666667,0.0035807291666666665,0.19298245614035087,0.08064516129032258,0.22448979591836735,0.3125,0.2777777777777778,0.0021359223300970874,0.0022969304656504487,0.006235827664399093,0.3,0.04524886877828054,0.3888888888888889,0.3,0.3,0.2857142857142857,0.2608695652173913,0.2127659574468085,0.19047619047619047,0.18181818181818182,0.002679006332196785,0.0088,0.01405152224824356,0.019400352733686066,0.15555555555555556,0.030042918454935622,0.07142857142857142,0.0011046394858405303,0.01276595744680851,0.001363884342607747,0.18181818181818182,0.03389830508474576,0.15384615384615385,0.45454545454545453,0.0738255033557047,0.01680672268907563,0.13333333333333333,0.07228915662650602,0.20689655172413793,0.005432098765432099,0.13333333333333333,0.11702127659574468,0.08527131782945736,0.18181818181818182,0.03691275167785235,0.088,0.0660377358490566,0.06043956043956044,0.10909090909090909,0.02564102564102564,0.02195121951219512,0.16666666666666666,0.02743142144638404,0.16666666666666666,0.36363636363636365,0.42857142857142855,0.18181818181818182,0.06622516556291391,0.041666666666666664,0.030303030303030304,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3181818181818182
1,entry,0.003470031545741325,0.8784231116461029,0.017981072555205046,0.03553459119496855,0.014817150063051702,0.0031545741324921135,0.0037854889589905363,0.5709969788519638,0.6160406091370558,0.5505971087366436,0.00473186119873817,0.0694006309148265,0.004416403785488959,0.00473186119873817,0.00473186119873817,0.005047318611987382,0.0056782334384858045,0.014511041009463722,0.004416403785488959,0.0006309148264984228,0.5114250103863731,0.20239390642002175,0.0546095126247798,0.12696019300361883,0.012295081967213115,0.04295796256520405,0.0012618296529968455,0.2687735575529139,0.02908209633444411,0.31789658634538154,0.0006309148264984228,0.04067278287461774,0.0006305170239596469,0.0015772870662460567,0.045025188916876575,0.06780141843971631,0.016698172652804034,0.020741671904462602,0.00630119722747322,0.16297291246921872,0.016698172652804034,0.026415094339622643,0.03742138364779874,0.0006309148264984228,0.06478354313785692,0.033887668653906494,0.027315541601255888,0.0419645632576935,0.015132408575031526,0.10631022691949021,0.11256218905472637,0.0009463722397476341,0.11768388106416275,0.0009463722397476341,0.005676442762535478,0.0028391167192429023,0.0006309148264984228,0.0423861852433281,0.0034667507091080997,0.028125955365331703,0.0056782334384858045,0.0015772870662460567,0.0015772870662460567,0.0037854889589905363,0.0056782334384858045
2,_mySIGSEGVorSIGBUScatcher,0.15254237288135594,0.0185546875,1,0.30434782608695654,0.24705882352941178,0.17543859649122806,0.21052631578947367,0.011067961165048544,0.0119022760492796,0.03231292517006803,0.2413793103448276,0.25339366515837103,0.24561403508771928,0.2631578947368421,0.2631578947368421,0.25862068965517243,0.3157894736842105,0.7166666666666667,0.24561403508771928,0.03508771929824561,0.013882123721383342,0.0456,0.066815144766147,0.09666080843585237,0.30666666666666664,0.1171875,0.03389830508474576,0.005724040972082747,0.04411764705882353,0.007637752318603383,0.03508771929824561,0.07806691449814127,0.03389830508474576,0.08771929824561403,0.1839080459770115,0.04662379421221865,0.17525773195876287,0.13445378151260504,0.265625,0.027640671273445213,0.17525773195876287,0.22764227642276422,0.18471337579617833,0.03508771929824561,0.1059190031152648,0.1592356687898089,0.08904109589041095,0.12735849056603774,0.12631578947368421,0.1377551020408163,0.12864077669902912,0.05263157894736842,0.14214463840399003,0.05263157894736842,0.2459016393442623,0.13793103448275862,0.03508771929824561,0.26993865030674846,0.07575757575757576,0.059322033898305086,0.3157894736842105,0.08771929824561403,0.08771929824561403,0.21052631578947367,0.3157894736842105
3,_addFlagsFromEnvVar,0.042801556420233464,0.06732927220262905,0.19391634980988592,0.4671814671814672,0.1590909090909091,0.038910505836575876,0.04669260700389105,0.045032856590645536,0.04407200496585972,0.10618500273672687,0.058365758754863814,0.31043956043956045,0.050387596899224806,0.058365758754863814,0.058365758754863814,0.0622568093385214,0.07003891050583658,0.1744186046511628,0.054474708171206226,0.007782101167315175,0.06207400194741967,0.20175438596491227,0.17474048442906576,0.41580756013745707,0.15057915057915058,0.4594594594594595,0.01556420233463035,0.025808395260092386,0.21914357682619648,0.03463321516225798,0.007782101167315175,0.3687150837988827,0.01556420233463035,0.015503875968992248,0.40484429065743943,0.2570162481536189,0.1760299625468165,0.23616236162361623,0.08494208494208494,0.12358444116198916,0.1760299625468165,0.31954887218045114,0.36879432624113473,0.007782101167315175,0.31516587677725116,0.37906137184115524,0.2508710801393728,0.2988165680473373,0.18076923076923077,0.40130151843817785,0.3380281690140845,0.011673151750972763,0.4461538461538462,0.011673151750972763,0.06976744186046512,0.03501945525291829,0.007782101167315175,0.3612040133779264,0.050387596899224806,0.21621621621621623,0.07003891050583658,0.019455252918287938,0.019455252918287938,0.04669260700389105,0.07003891050583658
4,_snocString,0.125,0.022121014964216004,0.5301204819277109,0.38848920863309355,0.5657894736842105,0.14285714285714285,0.17142857142857143,0.013592233009708738,0.014616830235957402,0.03791737408036219,0.19718309859154928,0.23404255319148937,0.2,0.21428571428571427,0.21428571428571427,0.2112676056338028,0.2571428571428571,0.5263157894736842,0.2,0.02857142857142857,0.017048222113979543,0.05515587529976019,0.06724511930585683,0.10590277777777778,0.3373493975903614,0.16342412451361868,0.05714285714285714,0.006928406466512702,0.08,0.00886041439476554,0.02857142857142857,0.13059701492537312,0.04225352112676056,0.07142857142857142,0.24431818181818182,0.07096774193548387,0.27,0.23333333333333334,0.23684210526315788,0.031003937007874016,0.27,0.3442622950819672,0.2838709677419355,0.02857142857142857,0.15723270440251572,0.25,0.19444444444444445,0.21153846153846154,0.2631578947368421,0.13613861386138615,0.12470588235294118,0.04285714285714286,0.16009852216748768,0.04285714285714286,0.2361111111111111,0.11267605633802817,0.02857142857142857,0.27167630057803466,0.13513513513513514,0.11914893617021277,0.2571428571428571,0.07142857142857142,0.07142857142857142,0.17142857142857143,0.2571428571428571
5,_usage,0.23529411764705882,0.0032552083333333335,0.17543859649122806,0.08130081300813008,0.1568627450980392,1,0.8333333333333334,0.001941747572815534,0.0020881186051367718,0.005668934240362812,0.5625,0.045454545454545456,0.6,0.6666666666666666,0.6666666666666666,0.625,0.5555555555555556,0.21739130434782608,0.6,0.2,0.0024354603019970775,0.008,0.014084507042253521,0.01763668430335097,0.13333333333333333,0.02575107296137339,0.16666666666666666,0.001004217714400482,0.01282051282051282,0.0013640703860319193,0.2,0.02531645569620253,0.16666666666666666,0.15384615384615385,0.052980132450331126,0.013422818791946308,0.09836065573770492,0.07317073170731707,0.21428571428571427,0.0049382716049382715,0.09836065573770492,0.07216494845360824,0.061068702290076333,0.2,0.02666666666666667,0.06299212598425197,0.037037037037037035,0.043478260869565216,0.05263157894736842,0.02570694087403599,0.024509803921568627,0.3,0.02493765586034913,0.3,0.38095238095238093,0.35714285714285715,0.2,0.06666666666666667,0.14285714285714285,0.020100502512562814,0.5555555555555556,0.36363636363636365,0.36363636363636365,0.8333333333333334,0.5555555555555556
6,_mySignalCatcher,0.21052631578947367,0.00390625,0.21052631578947367,0.0975609756097561,0.1509433962264151,0.8333333333333334,1,0.002330097087378641,0.002505742326164126,0.006802721088435374,0.5,0.05454545454545454,0.5294117647058824,0.8,0.8,0.75,0.6666666666666666,0.2608695652173913,0.7333333333333333,0.16666666666666666,0.0029225523623964927,0.0096,0.014018691588785047,0.021164021164021163,0.1276595744680851,0.02553191489361702,0.14285714285714285,0.0012050612572805785,0.012711864406779662,0.001636884463238303,0.16666666666666666,0.02510460251046025,0.14285714285714285,0.13333333333333333,0.05228758169934641,0.013377926421404682,0.09523809523809523,0.07142857142857142,0.2,0.005925925925925926,0.09523809523809523,0.0707070707070707,0.06015037593984962,0.16666666666666666,0.026490066225165563,0.06201550387596899,0.03636363636363636,0.043010752688172046,0.05084745762711865,0.030848329048843187,0.029411764705882353,0.25,0.029925187032418952,0.25,0.34782608695652173,0.3125,0.16666666666666666,0.08,0.13043478260869565,0.01990049751243781,0.6666666666666666,0.3076923076923077,0.3076923076923077,1,0.5789473684210527
7,_compress,0.001878415300546448,0.47888023852907075,0.00973360655737705,0.01874254557846311,0.0073353804162401915,0.0017076502732240437,0.0020491803278688526,0.8407760495066064,0.7771285475792988,0.2998976458546571,0.0025614754098360654,0.03721406623420963,0.0023907103825136613,0.0025614754098360654,0.0025614754098360654,0.00273224043715847,0.0030737704918032786,0.007855191256830601,0.0023907103825136613,0.00034153005464480874,0.39250768800670954,0.11606722161143396,0.02548186867036916,0.07587939698492463,0.0064857484212322925,0.01960455764075067,0.0006830601092896175,0.2110583550313984,0.01671402306535183,0.2513759726703359,0.00034153005464480874,0.01890896921017403,0.0005122076148198737,0.0008538251366120218,0.022475736420909245,0.035479210146090866,0.009216589861751152,0.010386514558147455,0.0035842293906810036,0.09610570236439499,0.009216589861751152,0.013110846245530394,0.01872340425531915,0.00034153005464480874,0.03359086328518643,0.015449915110356536,0.013610071452875128,0.0214853662662832,0.006475800954328562,0.057578323454699404,0.06043676993397664,0.0005122950819672131,0.05996950703032356,0.0005122950819672131,0.003244535519125683,0.0015368852459016393,0.00034153005464480874,0.02247191011235955,0.0020484807101399795,0.016297043010752688,0.0030737704918032786,0.0008538251366120218,0.0008538251366120218,0.0020491803278688526,0.0030737704918032786
8,_uncompress,0.0018468770987239758,0.4989208035862527,0.009570181329751511,0.020137606981037087,0.008226997985224983,0.0016789791806581598,0.0020147750167897917,0.8522348232154769,0.8034575360859348,0.2959543394326003,0.0025184687709872396,0.036937541974479515,0.0023505708529214238,0.0025184687709872396,0.0025184687709872396,0.002686366689053056,0.0030221625251846875,0.007723304231027535,0.0023505708529214238,0.000335795836131632,0.4359925788497217,0.12982126058325494,0.032874493927125506,0.08373483967436451,0.0067147893234849754,0.026896895234932758,0.000671591672263264,0.22302490009222256,0.02469340404375207,0.2654285714285714,0.000335795836131632,0.02551781275890638,0.0005036091992613732,0.0008394895903290799,0.024328859060402684,0.0473297089862488,0.009061923141466689,0.01258600436314818,0.0036925142665323934,0.11559966452334358,0.009061923141466689,0.015611885177102568,0.020801878879382653,0.000335795836131632,0.042333333333333334,0.019959745051995974,0.015420717398592021,0.02710843373493976,0.0083948959032908,0.06156934917182533,0.06492637215528782,0.0005036937541974479,0.06571668063704945,0.0005036937541974479,0.0031900604432505038,0.0015110812625923438,0.000335795836131632,0.02363788767812238,0.002014098690835851,0.021937842778793418,0.0030221625251846875,0.0008394895903290799,0.0008394895903290799,0.0020147750167897917,0.0030221625251846875
9,_testf,0.0062006764374295375,0.55072,0.032130777903043965,0.06513194834362718,0.026463963963963964,0.005636978579481398,0.006764374295377677,0.34186046511627904,0.36274916943521596,0.9196961475854585,0.008455467869222097,0.12338028169014084,0.007891770011273957,0.008455467869222097,0.008455467869222097,0.009019165727170236,0.010146561443066516,0.02593010146561443,0.007891770011273957,0.0011273957158962795,0.4155031295137217,0.31649978232477144,0.08498023715415019,0.23210526315789473,0.02195945945945946,0.07746100053792361,0.002254791431792559,0.16969092721834497,0.06436170212765957,0.23157040443662924,0.0011273957158962795,0.07441113490364026,0.0011261261261261261,0.002818489289740699,0.08094435075885328,0.11173708920187793,0.030388294879009566,0.04044943820224719,0.01124859392575928,0.20833333333333334,0.030388294879009566,0.05061867266591676,0.06910112359550562,0.0011273957158962795,0.11939492166396543,0.06446188340807175,0.0515695067264574,0.08365650969529086,0.02818489289740699,0.19833795013850417,0.21020521353300056,0.0016910935738444193,0.21508379888268156,0.0016910935738444193,0.010710259301014656,0.005073280721533258,0.0011273957158962795,0.07908020190689849,0.006756756756756757,0.05809575040344271,0.010146561443066516,0.002818489289740699,0.002818489289740699,0.006764374295377677,0.010146561443066516
