result,218058792,1
left,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
right,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.1,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,_fopen_output_safely,1,0.0035807291666666665,0.15254237288135594,0.08943089430894309,0.17647058823529413,0.23529411764705882,0.21052631578947367,0.0021359223300970874,0.0022969304656504487,0.006235827664399093,0.23809523809523808,0.05,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.2857142857142857,0.20833333333333334,0.16326530612244897,0.13636363636363635,0.18181818181818182,0.002679006332196785,0.0088,0.01643192488262911,0.015817223198594025,0.15555555555555556,0.030042918454935622,0.07142857142857142,0.0011046394858405303,0.017094017094017096,0.0015004774246351112,0.18181818181818182,0.029535864978902954,0.15384615384615385,0.23076923076923078,0.0738255033557047,0.018518518518518517,0.11475409836065574,0.09876543209876543,0.16666666666666666,0.005432098765432099,0.11475409836065574,0.11702127659574468,0.08527131782945736,0.18181818181818182,0.03691275167785235,0.088,0.056074766355140186,0.06043956043956044,0.08928571428571429,0.02564102564102564,0.02444987775061125,0.16666666666666666,0.02743142144638404,0.16666666666666666,0.30434782608695654,0.3333333333333333,0.18181818181818182,0.07333333333333333,0.041666666666666664,0.04081632653061224,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.21052631578947367,0.38095238095238093
1,entry,0.0035807291666666665,1,0.0185546875,0.03666450356911097,0.014629388816644993,0.0032552083333333335,0.00390625,0.5619300911854104,0.6062525541479362,0.5630252100840336,0.0048828125,0.07161458333333333,0.004557291666666667,0.0048828125,0.0048828125,0.005208333333333333,0.005859375,0.014973958333333334,0.004557291666666667,0.0006510416666666666,0.4568703064745281,0.20122290161200668,0.05782621858916137,0.12627669452181986,0.012687052700065062,0.04495093383982273,0.0013020833333333333,0.2486823191183517,0.0361180904522613,0.2892551741231875,0.0006510416666666666,0.03442879499217527,0.0006506180871828237,0.0016276041666666667,0.04577922077922078,0.0675596971461852,0.016569200779727095,0.019087673891944355,0.006501950585175552,0.1576198046786282,0.016569200779727095,0.02625607779578606,0.039285714285714285,0.0006510416666666666,0.07154213036565978,0.034627831715210354,0.031524211894702635,0.04832474226804124,0.01495448634590377,0.11393627293208883,0.12041210560206053,0.0009765625,0.11887886597938144,0.0009765625,0.00585746827204686,0.0029296875,0.0006510416666666666,0.04746423927178153,0.0035772357723577236,0.035193405199746355,0.005859375,0.0016276041666666667,0.0016276041666666667,0.00390625,0.005859375
2,_mySIGSEGVorSIGBUScatcher,0.15254237288135594,0.0185546875,1,0.30434782608695654,0.24705882352941178,0.17543859649122806,0.21052631578947367,0.011067961165048544,0.0119022760492796,0.03231292517006803,0.2413793103448276,0.25339366515837103,0.24561403508771928,0.2631578947368421,0.2631578947368421,0.25862068965517243,0.3157894736842105,0.7166666666666667,0.24561403508771928,0.03508771929824561,0.013882123721383342,0.0456,0.066815144766147,0.09666080843585237,0.30666666666666664,0.1171875,0.03389830508474576,0.005724040972082747,0.04411764705882353,0.007637752318603383,0.03508771929824561,0.07806691449814127,0.03389830508474576,0.08771929824561403,0.1839080459770115,0.04662379421221865,0.17525773195876287,0.13445378151260504,0.265625,0.027640671273445213,0.17525773195876287,0.22764227642276422,0.18471337579617833,0.03508771929824561,0.1059190031152648,0.1592356687898089,0.08904109589041095,0.12735849056603774,0.12631578947368421,0.1377551020408163,0.12864077669902912,0.05263157894736842,0.14214463840399003,0.05263157894736842,0.2459016393442623,0.13793103448275862,0.03508771929824561,0.26993865030674846,0.07575757575757576,0.059322033898305086,0.3157894736842105,0.08771929824561403,0.08771929824561403,0.21052631578947367,0.3157894736842105
3,_addFlagsFromEnvVar,0.08943089430894309,0.03666450356911097,0.30434782608695654,1,0.2835820895522388,0.08130081300813008,0.0975609756097561,0.023287405394915583,0.024614100959532748,0.058922558922558925,0.12195121951219512,0.29924242424242425,0.10483870967741936,0.12195121951219512,0.12195121951219512,0.13008130081300814,0.13709677419354838,0.2803030303030303,0.11382113821138211,0.016260162601626018,0.029956161714564052,0.0984,0.1401673640167364,0.20418848167539266,0.312,0.3803921568627451,0.032520325203252036,0.012351877887125929,0.16666666666666666,0.016778065748192607,0.016260162601626018,0.24041811846689895,0.032520325203252036,0.03225806451612903,0.4166666666666667,0.16019417475728157,0.2765957446808511,0.2967741935483871,0.176,0.060217176702862786,0.2765957446808511,0.41830065359477125,0.4,0.016260162601626018,0.2455621301775148,0.3626373626373626,0.2711864406779661,0.2708333333333333,0.22695035460992907,0.23671497584541062,0.22350230414746544,0.024390243902439025,0.2565947242206235,0.024390243902439025,0.14516129032258066,0.07317073170731707,0.016260162601626018,0.39285714285714285,0.096,0.18796992481203006,0.13709677419354838,0.04065040650406504,0.04065040650406504,0.0975609756097561,0.14634146341463414
4,_snocString,0.17647058823529413,0.014629388816644993,0.24705882352941178,0.2835820895522388,1,0.1568627450980392,0.1509433962264151,0.009514563106796117,0.009810060530160718,0.023137697516930022,0.18518518518518517,0.12552301255230125,0.23529411764705882,0.16363636363636364,0.16363636363636364,0.2037037037037037,0.17543859649122806,0.26666666666666666,0.16666666666666666,0.04081632653061224,0.011933755479785679,0.0392,0.04434589800443459,0.07317073170731707,0.3235294117647059,0.15352697095435686,0.08163265306122448,0.004819761020182749,0.08235294117647059,0.006272157076629398,0.04081632653061224,0.1417004048582996,0.06,0.10204081632653061,0.2222222222222222,0.06988352745424292,0.30864197530864196,0.30927835051546393,0.25862068965517243,0.02167487684729064,0.30864197530864196,0.375,0.2714285714285714,0.04081632653061224,0.1490066225165563,0.29850746268656714,0.23770491803278687,0.21578947368421053,0.3561643835616438,0.07881773399014778,0.07783018867924528,0.061224489795918366,0.1111111111111111,0.061224489795918366,0.25925925925925924,0.13725490196078433,0.04081632653061224,0.17751479289940827,0.10526315789473684,0.12558139534883722,0.17543859649122806,0.10204081632653061,0.10204081632653061,0.1509433962264151,0.24074074074074073
5,_usage,0.23529411764705882,0.0032552083333333335,0.17543859649122806,0.08130081300813008,0.1568627450980392,1,0.8333333333333334,0.001941747572815534,0.0020881186051367718,0.005668934240362812,0.5625,0.045454545454545456,0.6,0.6666666666666666,0.6666666666666666,0.625,0.5555555555555556,0.21739130434782608,0.6,0.2,0.0024354603019970775,0.008,0.014084507042253521,0.01763668430335097,0.13333333333333333,0.02575107296137339,0.16666666666666666,0.001004217714400482,0.01282051282051282,0.0013640703860319193,0.2,0.02531645569620253,0.16666666666666666,0.15384615384615385,0.052980132450331126,0.013422818791946308,0.09836065573770492,0.07317073170731707,0.21428571428571427,0.0049382716049382715,0.09836065573770492,0.07216494845360824,0.061068702290076333,0.2,0.02666666666666667,0.06299212598425197,0.037037037037037035,0.043478260869565216,0.05263157894736842,0.02570694087403599,0.024509803921568627,0.3,0.02493765586034913,0.3,0.38095238095238093,0.35714285714285715,0.2,0.06666666666666667,0.14285714285714285,0.020100502512562814,0.5555555555555556,0.36363636363636365,0.36363636363636365,0.8333333333333334,0.5555555555555556
6,_mySignalCatcher,0.21052631578947367,0.00390625,0.21052631578947367,0.0975609756097561,0.1509433962264151,0.8333333333333334,1,0.002330097087378641,0.002505742326164126,0.006802721088435374,0.5,0.05454545454545454,0.5294117647058824,0.8,0.8,0.75,0.6666666666666666,0.2608695652173913,0.7333333333333333,0.16666666666666666,0.0029225523623964927,0.0096,0.014018691588785047,0.021164021164021163,0.1276595744680851,0.02553191489361702,0.14285714285714285,0.0012050612572805785,0.012711864406779662,0.001636884463238303,0.16666666666666666,0.02510460251046025,0.14285714285714285,0.13333333333333333,0.05228758169934641,0.013377926421404682,0.09523809523809523,0.07142857142857142,0.2,0.005925925925925926,0.09523809523809523,0.0707070707070707,0.06015037593984962,0.16666666666666666,0.026490066225165563,0.06201550387596899,0.03636363636363636,0.043010752688172046,0.05084745762711865,0.030848329048843187,0.029411764705882353,0.25,0.029925187032418952,0.25,0.34782608695652173,0.3125,0.16666666666666666,0.08,0.13043478260869565,0.01990049751243781,0.6666666666666666,0.3076923076923077,0.3076923076923077,1,0.5789473684210527
7,_compress,0.0021359223300970874,0.5619300911854104,0.011067961165048544,0.023287405394915583,0.009514563106796117,0.001941747572815534,0.002330097087378641,1,0.8728094968908988,0.34226363812851873,0.002912621359223301,0.04271844660194175,0.0027184466019417475,0.002912621359223301,0.002912621359223301,0.0031067961165048546,0.003495145631067961,0.008932038834951457,0.0027184466019417475,0.0003883495145631068,0.411836485661989,0.14143035491350098,0.03414996288047513,0.09353481254781944,0.007961165048543689,0.02986789201608271,0.0007766990291262136,0.22939213931157945,0.025362318840579712,0.27813620071684586,0.0003883495145631068,0.0267022696929239,0.0005824111822947001,0.000970873786407767,0.02813348855258052,0.04989946993237068,0.010479332427712013,0.013767694395966647,0.004270186335403727,0.11812373383200872,0.010479332427712013,0.017264791464597477,0.02504854368932039,0.0003883495145631068,0.04507960867063111,0.022286821705426358,0.018619084561675717,0.028946352759552298,0.009708737864077669,0.06909862960818375,0.07338740826573967,0.0005825242718446602,0.07410990712074303,0.0005825242718446602,0.0036893203883495147,0.0017475728155339806,0.0003883495145631068,0.028128031037827354,0.002329192546583851,0.022192462215419935,0.003495145631067961,0.000970873786407767,0.000970873786407767,0.002330097087378641,0.003495145631067961
8,_uncompress,0.0022969304656504487,0.6062525541479362,0.0119022760492796,0.024614100959532748,0.009810060530160718,0.0020881186051367718,0.002505742326164126,0.8728094968908988,1,0.36834412194612653,0.0031321779077051574,0.04593860931300898,0.0029233660471914805,0.0031321779077051574,0.0031321779077051574,0.003340989768218835,0.003758613489246189,0.00960534558362915,0.0029233660471914805,0.00041762372102735435,0.45366890014708283,0.14288417865253597,0.03639618138424821,0.09373085562589341,0.008350730688935281,0.025546699366441855,0.0008352474420547087,0.23529904506617524,0.024509803921568627,0.2860780984719864,0.00041762372102735435,0.02468883901244644,0.0006263048016701461,0.0010440593025683859,0.02917882451021259,0.04585195259374393,0.011268781302170284,0.013747136013330555,0.00459194322688374,0.12127694586144479,0.011268781302170284,0.017291666666666667,0.024156601416076635,0.00041762372102735435,0.04649249125694301,0.020560747663551402,0.018109908409658617,0.030686294837238233,0.009386733416770964,0.07516611295681064,0.07843951027184064,0.0006264355815410315,0.07587064676616916,0.0006264355815410315,0.003967425349759866,0.0018793067446230946,0.00041762372102735435,0.02852977925864223,0.002504696305572949,0.02299794661190965,0.003758613489246189,0.0010440593025683859,0.0010440593025683859,0.002505742326164126,0.003758613489246189
9,_testf,0.006235827664399093,0.5630252100840336,0.03231292517006803,0.058922558922558925,0.023137697516930022,0.005668934240362812,0.006802721088435374,0.34226363812851873,0.36834412194612653,1,0.008503401360544218,0.12407932011331445,0.007936507936507936,0.008503401360544218,0.008503401360544218,0.009070294784580499,0.01020408163265306,0.026077097505668934,0.007936507936507936,0.0011337868480725624,0.41377649325626203,0.27983014861995753,0.06842619745845552,0.19784172661870503,0.022083805209513023,0.055614406779661014,0.0022675736961451248,0.1684609250398724,0.04186289900575615,0.23021777356959286,0.0011337868480725624,0.0549392498679345,0.0011325028312570782,0.002834467120181406,0.07351290684624018,0.08214777420835245,0.030560271646859084,0.03309029725182277,0.011312217194570135,0.18221528861154446,0.030560271646859084,0.04147982062780269,0.06050420168067227,0.0011337868480725624,0.091005291005291,0.04827968923418424,0.04187604690117253,0.0668859649122807,0.021971830985915493,0.18426842684268427,0.19209659714599342,0.0017006802721088435,0.18956043956043955,0.0017006802721088435,0.010770975056689343,0.00510204081632653,0.0011337868480725624,0.0710688304420817,0.006795016987542469,0.040957446808510635,0.01020408163265306,0.002834467120181406,0.002834467120181406,0.006802721088435374,0.01020408163265306
