result,709185959,1.0000000000000002
left,birthmark,bzip2-1.0.6,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.6,op-seq,2026-04-17T04:57:47.828330+00:00,3908292
right,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.1,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,0.21679330680137365,0.3757443981624618,0.3953148726041133,0.5851421232041205,0.4879500364742666,0.38575837490522974,0.11055403687476312,0.1351007772398629,0.200713889914215,0.4862645390838647,0.2359566013863027,0.42479539524287324,0.375747653460452,0.375747653460452,0.30353336748368115,0.47140452079103173,0.3640126041546321,0.3759506009867954,0.2916059217599022,0.6172133998483676,0.15251413069542671,0.328227620447051,0.212665919340512,0.2968864509380794,0.49487165930539356,0.14256363897506075,0.1091089451179962,0.09027713403298535,0.08362178464006419,0.03237529045487225,0.3086066999241838,0.09528818946359235,0.4364357804719848,0.5773502691896257,0.522146291634091,0.18408793059405945,0.22809258668019633,0.22645540682891915,0.3855701541695039,0.2803402118065814,0.22809258668019633,0.5169889620342157,0.3513764637646855,0.6172133998483676,0.34238470823550826,0.410825914329571,0.20932860854091978,0.41467117498443484,0.2895330120717931,0.36584791716974013,0.22184270826342173,0.5039526306789697,0.2642333358291317,0.5039526306789697,0.5532833351724882,0.5921565254637922,0.3086066999241838,0.24209101306752098,0.046524210519923545,0.056575008579701734,0.3640126041546321,0.657951694959769,0.38575837490522974,0.6113149794833976,0
1,_mySIGSEGVorSIGBUScatcher,0.993191510416421,0.8830985821771141,0.515659142510504,0.6825589785997628,0.5349296495804534,0.7359387976483726,0.9859912878606397,0.9933686117287884,0.9989338011919634,0.6861030084198334,0.9953858285788911,0.4464351055374611,0.791056071894092,0.791056071894092,0.47114177883791597,0.7411086016472186,0.8112864464652234,0.8731200434423231,0.6188250171281109,0.02913829375386815,0.9574523973315612,0.6500102787616235,0.07901180178650535,0.6341147471730767,0.3808736807483904,0.1474799826903008,0.018654868946931188,0.9808935992689488,0.10844798666206472,0.029483341338596373,0.12127830373231609,0.5913159563558569,0.02060388510556579,0.03851673495631931,0.12281300180076012,0.4197437901444525,0.08974316375583109,0.10379187112462065,0.33717759999869285,0.37061672858890143,0.08974316375583109,0.1434438706052433,0.0741422253479263,0.02913829375386815,0.08978168742708093,0.12230519218587194,0.043789840330084984,0.08653786892661676,0.044416134668179306,0.8054394865267827,0.9367477553989355,0.03407945440209071,0.9423574949859505,0.03407945440209071,0.3507165204623643,0.5287175341964521,0.12127830373231609,0.5156940709706406,0.026594025037411657,0.043662086855338116,0.8112864464652234,0.04096763364367555,0.7359387976483726,0.5914828865907049,0
2,_addFlagsFromEnvVar,0.8661777924678362,1.0000000000000002,0.6168246623524826,0.8892272274656976,0.8384954803521664,0.9334557717919229,0.8334410559599584,0.8423054678349552,0.8874612396181535,0.8242304188204481,0.8907075066263307,0.7945254619690877,0.9274773448271414,0.9274773448271414,0.5543645659779897,0.9505848293622025,0.9095583841963573,0.9682287151848157,0.8948158811736556,0.18939682326212925,0.7536433805063651,0.642958782329641,0.1707241357397965,0.6859590013091411,0.5090767837187208,0.22900413595446292,0.0765278731793381,0.8089180208908247,0.11641423240402103,0.08212614616653344,0.4329070245991526,0.5585424530710149,0.13392377806384168,0.20247372079721848,0.34890635680986704,0.4291684630086443,0.23815465829015015,0.18010579199658489,0.5746741079270504,0.4807626169335123,0.23815465829015015,0.3833312606217995,0.20339694883788187,0.18939682326212925,0.22484169282850555,0.2618651388782761,0.14157729366190822,0.2588036672173736,0.1464486253045317,0.7706281525516857,0.8111437952509232,0.19882524681270178,0.8936942348314906,0.19882524681270178,0.6079718616547141,0.7614427240193006,0.4329070245991526,0.5306253283659786,0.09789478429803712,0.091172095824767,0.9095583841963573,0.21920320842979865,0.9334557717919229,0.85189815880613,0
3,_snocString,0.5781317524596538,0.6642346049767109,0.9461625099866247,0.7051622447486775,0.583559510670121,0.5339153146320343,0.41060254712976885,0.45404907134824485,0.5516606682437767,0.8875620980506365,0.5697071382697977,0.665957294071674,0.4699569592290117,0.4699569592290117,0.8478283837729569,0.6832229476534749,0.4249433420988826,0.637796248211415,0.5877699626984056,0.10367287662757949,0.5269601280712354,0.8713659435886584,0.46559238743197845,0.8598029234660092,0.9088139297319506,0.601236548649426,0.20526182344773777,0.4361568251026234,0.4304000925184442,0.31178173435462925,0.37322235585928615,0.5231507572299988,0.14661558817695555,0.28816051430525264,0.6984756767932594,0.6192655642265402,0.5767779121869385,0.5064427631938372,0.819263747326367,0.752305660580722,0.5767779121869385,0.6788270229315251,0.5370149296020413,0.10367287662757949,0.6017135722851036,0.6356023518664947,0.43666328932486353,0.554382773601528,0.4429311678916095,0.8113659703122568,0.6451537906296075,0.18622680846299333,0.5926284711183712,0.18622680846299333,0.7633027750488324,0.7691889784149075,0.37322235585928615,0.6474935759618065,0.3938577101956488,0.36490990835153386,0.4249433420988826,0.19450755776009157,0.5339153146320343,0.7090470832544453,0
4,_usage,0.14071940510912592,0.38189420576224936,0.5805683926368747,0.724813955326399,0.5300319350190871,0.41902703682166925,0.061440398791472006,0.08216234076895114,0.15253121255870128,0.4980843485271199,0.17698605482672677,0.536311994073122,0.38832367443675553,0.38832367443675553,0.5215708380066533,0.48125892593191666,0.3641896100508963,0.41979175434193283,0.366768560976447,0.529297309669477,0.06321136471662528,0.4248140145490888,0.26673706209769177,0.44549485215592477,0.5186890731849548,0.46195411002862663,0.4054588600086734,0.0641263846533854,0.3179897329654687,0.3276121660232128,0.35286487311298464,0.4736152475442813,0.4366480030862637,0.6129961774004011,0.6037520881751174,0.46343350800332395,0.37342390858005475,0.5432948783474638,0.46153146538135387,0.48769186147612675,0.37342390858005475,0.8085839014102811,0.5651380408103689,0.529297309669477,0.5546067003647656,0.7252460907399154,0.3547494485189421,0.6167842807854365,0.566614688239428,0.3378699835486108,0.21474439445249624,0.4681835639426528,0.3087465764951999,0.4681835639426528,0.5799120134139611,0.6394638716575693,0.35286487311298464,0.351335744561717,0.27928100115971466,0.3203625560562358,0.3641896100508963,0.5830405888642544,0.41902703682166925,0.5702249450032048,0
5,_mySignalCatcher,0.5134565966254347,0.8384954803521664,0.5371675961612659,0.866077698425577,0.9999999999999998,0.9486832980505138,0.47032390778623806,0.4778038206607896,0.5463195073428839,0.7474093186836597,0.5609378771355948,0.9068453126375146,0.8885233166386385,0.8885233166386385,0.47178578514405883,0.9315885051121782,0.8392543274162825,0.8186238009832306,0.926302172234155,0.4743416490252569,0.3695858806097756,0.48838976108758664,0.25942585774759064,0.5708692870528593,0.4394802124588286,0.32179399700835537,0.22360679774997896,0.4452708647845341,0.18435651521805277,0.22116533821647846,0.6324555320336759,0.3945507151635723,0.33541019662496846,0.33806170189140655,0.48201867954981187,0.4037053326491151,0.33996414629706817,0.2237603211444811,0.5926377579897537,0.5063688388408115,0.33996414629706817,0.46921249615938304,0.28630778725048844,0.4743416490252569,0.3256161393853272,0.3128840681937159,0.285997326083418,0.3744982812451903,0.21680684567912825,0.5447011548388228,0.48822379257897447,0.5163977794943222,0.6154873291176155,0.5163977794943222,0.7181324987175316,0.7416198487095663,0.6324555320336759,0.4865978049268947,0.28603877677367767,0.20980390899998025,0.8392543274162825,0.5393598899705937,0.9486832980505138,0.9561016864238912,0
6,_compress,0.6987265532193465,0.9334557717919229,0.49892720513392214,0.8953697823254084,0.9486832980505138,0.9999999999999998,0.7048498850936403,0.7027040606430582,0.7429897615854191,0.722185380728474,0.749295039334484,0.8316320352807863,0.9834151021607785,0.9834151021607785,0.4503381050844577,0.9547032697824666,0.9583727150068314,0.9326990598429291,0.9212884029599914,0.37499999999999994,0.5615961752662828,0.5139142464072872,0.20509414860630643,0.5934022225795657,0.3474396144861517,0.25440049197895315,0.17677669529663687,0.6781075658406609,0.14574662239513503,0.17484655206138844,0.4999999999999999,0.5198662134855092,0.2651650429449553,0.26726124191242434,0.3810692255310577,0.4411711261247332,0.26876525627335834,0.1768980661968237,0.46852128566581813,0.47338187033944756,0.26876525627335834,0.3709450486191646,0.22634617988861522,0.37499999999999994,0.2574221608421234,0.24735657476789685,0.22610073878537096,0.29606688713828,0.17140086116567016,0.6206052821861883,0.6575866930742397,0.40824829046386296,0.7977353422916097,0.40824829046386296,0.6274950199005567,0.6929023281557339,0.4999999999999999,0.5280049792181877,0.2261335084333227,0.1658645536116593,0.9583727150068314,0.42640143271122083,0.9999999999999998,0.912250561499702,0
7,_uncompress,0.970948225688217,0.8427197673897422,0.4246496224095651,0.6435823959361304,0.4815846585995436,0.7115419775621432,0.999667674043854,0.9989604853270797,0.9876612542784768,0.5928552060460552,0.9812652313206757,0.374094607780005,0.7841256175095156,0.7841256175095156,0.39641692279242663,0.6889226640238172,0.8147646429872676,0.852772109691008,0.5630534704925977,0.018093099480016934,0.9376404118503715,0.5786314699910025,0.04321285884708727,0.5701783534386785,0.2620007459360293,0.09875431426519773,0.009304547880002016,0.9930178991349619,0.07881986936040411,0.014957679117291293,0.051400850795502655,0.601897922471001,0.013084520456252835,0.022749225842599852,0.06743666284404633,0.40241163877298314,0.05874037158174163,0.07371157803747065,0.21587456815406722,0.3149471331360832,0.05874037158174163,0.07782243860555979,0.04002792951334949,0.018093099480016934,0.05309087108292006,0.07455872969446062,0.023356437875698986,0.045153243329737934,0.024304885640511226,0.7461755350600009,0.9152020721450244,0.020480686038476404,0.9378747389324963,0.020480686038476404,0.2786726409940467,0.4507093400174434,0.051400850795502655,0.4923395914553534,0.018473544045865275,0.025131612541625815,0.8147646429872676,0.0253365102635754,0.7115419775621432,0.5281740851172934,0
8,_testf,0.9857019431366966,0.8465720628000523,0.4624113304727814,0.6445501720977609,0.4826979913646557,0.7018344977676575,0.9952664086814833,0.9994107884002398,0.9944827257371631,0.6326764717444471,0.9903572222235703,0.38033508795378884,0.7699095502368564,0.7699095502368564,0.42493580341754295,0.6948640894854885,0.7981101682257297,0.8498006378554762,0.5606975284594335,0.02378904262281159,0.9598172895035206,0.6154143936291834,0.050703636711298634,0.5943634455291142,0.3155982064475022,0.11584068354044129,0.01028881341224399,0.9912356456594833,0.09284607507311904,0.016586038288034986,0.06235962629280708,0.5906643976705551,0.017148022353739984,0.029999360102778528,0.08143606719362795,0.40578433226526356,0.06739733184239882,0.08486078910582032,0.25992141891481085,0.3321586491977205,0.06739733184239882,0.09474997647650962,0.04967924911998334,0.02378904262281159,0.0644655652959487,0.09006990651356472,0.02846767815179872,0.05617160218651819,0.030236144215955548,0.7798530165462854,0.9320679199556738,0.027909742241070894,0.9347740595158835,0.027909742241070894,0.2993506659517953,0.4765560825919164,0.06235962629280708,0.503474594201249,0.01977706027755096,0.028247359573885616,0.7981101682257297,0.03220372783789144,0.7018344977676575,0.5400048294426965,0
9,_showFileNames,0.9945321625766079,0.8839079845172961,0.5223396343425363,0.6852561378647104,0.5389848814206374,0.7365677467770685,0.9840269104176054,0.9923983063760954,0.9994990400784829,0.6965746769672883,0.9972457489104866,0.4496579062197849,0.790751984850695,0.790751984850695,0.4741687104291996,0.7455369972189813,0.8104368036895253,0.8748790091170122,0.6178274607443706,0.03889466649647886,0.9605824094212699,0.6571009742610221,0.07700964261571054,0.6387674021368418,0.3887743789985322,0.14869606869376453,0.01817141517805408,0.9789608339632336,0.10914371116227141,0.02826134363340927,0.12432402326553064,0.5912999971629759,0.02750268243164942,0.048262671189657345,0.13182719327692707,0.41978060279881685,0.1039753392818977,0.11354465835521484,0.34363332116092893,0.37319670857102955,0.1039753392818977,0.14823384482348942,0.07702249005112258,0.03889466649647886,0.09502666132790809,0.12629554126372497,0.04776190360805025,0.09106358415692588,0.048821415560974205,0.8142819097739624,0.9405817231066951,0.0459347560547613,0.941196575697095,0.0459347560547613,0.36144434109379164,0.5407810359563339,0.12432402326553064,0.5211470895070859,0.033925065663315004,0.04125402364747414,0.8104368036895253,0.052123473345188805,0.7365677467770685,0.5986990640980708,0
