result,442772458,1
left,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
right,birthmark,bzip2-1.0.1,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.1,op-seq,2026-04-17T04:57:54.745901+00:00,4045000
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_setInterimPermissions,_pad,_copyDatePermissionsAndOwner,_uInt64_toAscii,_configError,_crcError,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_compressedStreamEOF,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,_fopen_output_safely,0.0031887265009149512,0.9331410542373213,0.02745759010742299,0.03021556973873507,0.01034862970783823,0.0038567503355705357,0.005468002577762143,0.6519836723084595,0.712675975986361,0.7308184059407223,0.0053160997663648235,0.12366918547551209,0.005034005809216091,0.007496767825146966,0.007496767825146966,0.006372021290870444,0.009604456867302713,0.020696189745745497,0.006779807335283716,0.0008314133428235504,0.7724579111602528,0.28237450502382644,0.08282358952317925,0.1591897375191762,0.010918842434115561,0.04748200980488504,0.0011605302664872141,0.4400156006931033,0.051395101314086755,0.5636571469341896,0.0009114793456820314,0.051343821826651204,0.001166106524285393,0.0015727071976487927,0.029933389516253905,0.10596470284115833,0.013125152189374711,0.016749247676814405,0.007169309030030213,0.30439902827443344,0.013125152189374711,0.019774956576051328,0.026108102041123682,0.0008314133428235504,0.05793759262293929,0.02567242253003499,0.024091730908019082,0.03892335434028382,0.011552959682398,0.13459958750773615,0.17557664876869772,0.0010222396066614792,0.16906747080913265,0.0010222396066614792,0.0046040025744373825,0.002935381460722697,0.0009114793456820314,0.04883524598881073,0.002758253995415294,0.04523442161016544,0.009604456867302713,0.0019718791531504465,0.0019718791531504465,0.005468002577762143,0.006131862119616027,0,0
1,entry,0.1933083009573865,0.026988676835800418,1,0.5728648939792269,0.4094744247094628,0.26431540198803405,0.3409378184235602,0.01388883899272031,0.015619002528490467,0.047077863750337956,0.3049081195675263,0.34324871011242597,0.3323610483642011,0.4258692436172399,0.4258692436172399,0.3844901388695632,0.5000670316791329,0.8043177641000051,0.4133105092379521,0.05970617706003423,0.024667489663836695,0.10958190706077453,0.16018497364277628,0.2217571363614269,0.42853874625270083,0.26960025323333425,0.07381177282338236,0.011416076150273846,0.2093414187339515,0.017185063160153113,0.07240390074593284,0.2137080454198288,0.07791299545381225,0.10599920851617306,0.39191338257301345,0.12553562786303685,0.3770085962742038,0.35719511873291443,0.36903035707184917,0.06212712218212235,0.3770085962742038,0.43550720191557135,0.3865078410341354,0.05970617706003423,0.2319992584828524,0.35628392413287424,0.32321385962127736,0.29458157622188574,0.337811408851872,0.2751919712187111,0.23398058942986122,0.07251131717609871,0.2510018147551134,0.07251131717609871,0.2817011370334771,0.19504855778064956,0.07240390074593284,0.46499159528821343,0.15340652575863012,0.22701630894496105,0.5000670316791329,0.13033209107327504,0.13033209107327504,0.3409378184235602,0.372232273312738,0,0
2,_mySIGSEGVorSIGBUScatcher,0.07770062358542573,0.061030731899613944,0.37952076613446006,0.5894374378437004,0.2611080543231411,0.08404323998976537,0.10161479704286402,0.03067345790010023,0.03526377359118238,0.1040096646169345,0.11809418184919429,0.48987699698255927,0.11762078076079563,0.12575233456782509,0.12575233456782509,0.12567227076765863,0.14951660318211957,0.31286393635446175,0.1363154539990704,0.018903334226350044,0.07006382239917952,0.31347829708644026,0.38574421410383464,0.5565101487091284,0.2725508525827788,0.6488948763547002,0.031308804467246265,0.035245758353619316,0.42905010005649635,0.054964175977843865,0.02433599292723676,0.5442707989974047,0.026758955604017864,0.03882599322198654,0.5613790979880733,0.41036167042110827,0.3080425824324493,0.3700579227504308,0.18233153816564085,0.1978066971411977,0.3080425824324493,0.4438162794965109,0.47580077935963605,0.018903334226350044,0.5252533664169776,0.5057021983008976,0.41348759710569283,0.49076824553711595,0.2642759003742242,0.5627971814954464,0.44323570615007235,0.025522745381388212,0.4476892734147866,0.025522745381388212,0.11906868176033014,0.06877278519292851,0.02433599292723676,0.544628256391092,0.08200701794235454,0.4311576736522901,0.14951660318211957,0.04594190883342164,0.04594190883342164,0.10161479704286402,0.13236045453800016,0,0
3,_addFlagsFromEnvVar,0.24699284879862515,0.02168358912712276,0.7590466653316716,0.5800722688015243,0.5897051091549803,0.29386250068219844,0.36191780097416093,0.01113828051147181,0.012507072398749819,0.03787377230532196,0.3205844133772291,0.27921278181398657,0.362054425272756,0.4486226329275258,0.4486226329275258,0.4050941092220455,0.5221173836106452,0.7504304894242428,0.4171517532958503,0.07925698924688374,0.019894533790204005,0.0963807142452342,0.16240127685676164,0.19178144008470466,0.45199541358936235,0.29419251799468993,0.09359757443742989,0.010405689553041442,0.22298873853609036,0.0152804717469891,0.07925698924688374,0.2359773168562067,0.1021245977199643,0.1420317051567218,0.43403607681683365,0.13506669507305236,0.4193145391804426,0.41583498137104125,0.38402773028767934,0.05961879981601992,0.4193145391804426,0.5331285746793725,0.4518318787654957,0.07925698924688374,0.2570594590064519,0.4337196819220164,0.37307270447623964,0.34032228257210606,0.43249712123362705,0.23541770903115045,0.19455823401719552,0.09518897355763312,0.21423532977554005,0.09518897355763312,0.32595323684250843,0.22030856276009514,0.07925698924688374,0.43784867415554873,0.18628306693625285,0.24713681621448214,0.5221173836106452,0.17691151331988075,0.17691151331988075,0.36191780097416093,0.41287502635237083,0,0
4,_snocString,0.4939015319191967,0.0038108228091874308,0.26431540198803405,0.17817759524034016,0.3085304070880235,1,0.8025469509178665,0.0019234278449181685,0.002161843639279737,0.006723908779207921,0.634225295294389,0.057631882881649776,0.7340841592506012,0.6570357860010545,0.6570357860010545,0.7417639936750071,0.5502953846534652,0.3265833833188032,0.6870333480744863,0.3204616905274479,0.003515847194610844,0.01810848674493193,0.03586394976894014,0.03830856762617019,0.32442611376077424,0.06832115821606233,0.30901699437494745,0.001858355350487062,0.0545635209043458,0.002718992193703418,0.36435011619153723,0.05271778197700394,0.34447596332676844,0.38761337731175904,0.12739573816182936,0.027334987513329745,0.2172720107540338,0.1632162590558912,0.45677636148150746,0.011264521338332556,0.2172720107540338,0.17775174656044856,0.13243646025585754,0.3204616905274479,0.05746318534829642,0.12115342603220502,0.11897509175549925,0.08341419734352196,0.2051236651134899,0.047824989015851416,0.03730062943553636,0.37574681510650565,0.04125174587634961,0.37574681510650565,0.6030978052856559,0.6148296117852735,0.36435011619153723,0.11429796471860643,0.4022161352507615,0.061904277391416795,0.5502953846534652,0.5027471669973729,0.5027471669973729,0.8025469509178665,0.7486840210547169,0,0
5,_usage,0.4389763221484113,0.005448912021458252,0.3409378184235602,0.20903784994008268,0.32707165884269296,0.8025469509178665,1,0.0028099004063902866,0.003137802070390494,0.009588662861593655,0.6265985772644386,0.08108648181301548,0.7069602397004671,0.8306867049815754,0.8306867049815754,0.835222710216904,0.7067166683715433,0.4218202759001918,0.7593426953166605,0.25166852264521167,0.004748881554845319,0.023088208714489467,0.04290678740705811,0.04959079060358884,0.340773262423986,0.0811331601816756,0.2612038749637414,0.0024581822422088395,0.06533329460747517,0.0035854418544235545,0.2788897449072022,0.06360082485278251,0.28466372787299954,0.3293955346643598,0.14452457362385973,0.032806528951380365,0.24083221556810475,0.18659872674746192,0.44780409082612294,0.014041122428556041,0.24083221556810475,0.19886265104700063,0.1510844570850426,0.25166852264521167,0.06749193717952773,0.14008619177455262,0.13791013258045648,0.09729421720317666,0.2300955337660201,0.06313894508323237,0.05216736298934077,0.29676286505523675,0.057753373049833634,0.29676286505523675,0.5679574439879402,0.5405231786569591,0.2788897449072022,0.1484313159971914,0.37367627474946075,0.07386620938408528,0.7067166683715433,0.42094338220075955,0.42094338220075955,1,0.7726195647677945,0,0
6,_mySignalCatcher,0.0017245963980063728,0.7407503895250828,0.016110573475168644,0.015999473546650655,0.005751167620945075,0.0022395325498657526,0.0032786497467118814,0.9220593551895693,0.9385227028029138,0.5050218722251812,0.0028562340986580947,0.07421357288629782,0.0028536826187274267,0.004563341711153024,0.004563341711153024,0.0036888613679653126,0.0058960948565695,0.01211305074287139,0.0039473146527311265,0.0004874090119090235,0.5750365034960475,0.1638480366559344,0.04908582050501298,0.08997681750155706,0.005484911999340203,0.026415881203923464,0.0006796671880030525,0.4928064761809897,0.0305145215007947,0.5266577206485517,0.0005001946793813383,0.030281317884657266,0.0006859445670166497,0.0009139307129125696,0.01658722021416259,0.06376457202740882,0.007400625713309128,0.009498318629437064,0.0036366986908735743,0.19898398276247675,0.007400625713309128,0.010923997738588764,0.014605983902597042,0.0004874090119090235,0.03356589247377362,0.014511130333269784,0.014081959762813234,0.02246394859748657,0.006701423189384825,0.07671721186306601,0.10509762346082208,0.0005978460578301981,0.10436790356613601,0.0005978460578301981,0.0025320693744376177,0.001610104202483198,0.0005001946793813383,0.02865325507824834,0.0016039429644898462,0.02682510940116456,0.0058960948565695,0.001150117292449515,0.001150117292449515,0.0032786497467118814,0.003488256340463902,0,0
7,_compress,0.002055279161193413,0.81814456989774,0.018788580677923106,0.01930397374490711,0.006854203845573448,0.0026246307225986643,0.0038016859654458335,0.8513419552420542,0.907658777497212,0.5662400274118178,0.003421727379571693,0.0858919999312322,0.003371881261133969,0.005264890735809047,0.005264890735809047,0.004324109859754621,0.0067832153044598,0.014138908282903428,0.004617986540297325,0.0005662466309326319,0.6391669296009133,0.19292680367153447,0.05724911250620812,0.10641236286990619,0.006716284871278622,0.031450667844811986,0.0007926388123605799,0.4929036155209998,0.03558798416539155,0.5564598785293942,0.0005939683578998212,0.03543651508234369,0.0007956844162585464,0.0010683984238221145,0.01980060732781519,0.07442934563058357,0.008760830182640733,0.011232572402342988,0.004439035116452272,0.2281441983511675,0.008760830182640733,0.013062976009252547,0.017391215757148304,0.0005662466309326319,0.039605101645042384,0.0172299549874787,0.016526761745711993,0.026514144246818527,0.007877219439489158,0.09036509814283611,0.12195127991428689,0.0006981656320896867,0.1201561142313119,0.0006981656320896867,0.003024169283489475,0.0019201036171008212,0.0005939683578998212,0.033479083152851086,0.0018800304585244731,0.03127349703573212,0.0067832153044598,0.001340178498576039,0.001340178498576039,0.0038016859654458335,0.004112634898440493,0,0
8,_uncompress,0.006113055589397454,0.6688844799121538,0.053106508010237974,0.05662419843902311,0.0201619078276547,0.007655735194615265,0.010853859648963016,0.4118202795496434,0.4534722619711077,0.9367742207387615,0.010153306110545546,0.22622731043819977,0.009957291272746471,0.014859498384103276,0.014859498384103276,0.012522835804823607,0.019006012231571723,0.04006372354346022,0.013395957930406599,0.0016235900027588013,0.5860979440889532,0.4413091994986431,0.14558671931765932,0.27709692155455956,0.020387795050995194,0.0872370873415862,0.0022829995105815293,0.30454481535268896,0.09452118287620492,0.4212060949663514,0.0017796457530694365,0.09470123291940158,0.0022671614661381456,0.003078653489635208,0.0572841945666569,0.18159006277388567,0.02549705592286422,0.03237368627324544,0.013555543835003125,0.42415266242846295,0.02549705592286422,0.0382327174365078,0.05009713450823616,0.0016235900027588013,0.10696475592823529,0.04921980259725511,0.04645523871112189,0.07361974567654128,0.022614383143690464,0.23957386603088682,0.31147510488067476,0.0020192456882031085,0.30553398654515584,0.0020192456882031085,0.009035955313135724,0.005696471512096846,0.0017796457530694365,0.09242269119987012,0.005458447111548748,0.08388110854602282,0.019006012231571723,0.00385997305893504,0.00385997305893504,0.010853859648963016,0.012052892751938438,0,0
9,_testf,0.4884478069504855,0.005038777886432144,0.3049081195675263,0.2547630991418186,0.3396581144015194,0.634225295294389,0.6265985772644386,0.0024894448513507195,0.002865828256544467,0.008919651866956091,1,0.07609764674583164,0.6646645379986185,0.5626706934046567,0.5626706934046567,0.6961419190655196,0.49589896412040557,0.3893387482087004,0.6114537099234484,0.2357900766327069,0.005431505923075619,0.026777778055042112,0.045847560367086704,0.05494820939267453,0.5017912499512474,0.09156798852970782,0.2708131845707603,0.002433619086544825,0.06559065967995703,0.0037969505033293993,0.2946661793642723,0.06410398426738884,0.2708131845707603,0.36507623307909454,0.15618554448093902,0.03397595169961787,0.2625207952709696,0.19676030723282767,0.6021922524897403,0.01466595880575805,0.2625207952709696,0.21649681449590674,0.16646990535040163,0.2357900766327069,0.07204450086420144,0.15236396279956443,0.14314342301066818,0.10291604017546685,0.25217245866902405,0.06969402875791486,0.05232521120313571,0.2835654011859956,0.05197984100926223,0.2835654011859956,0.6460566826899253,0.6365945619875063,0.2946661793642723,0.14770000957921792,0.3962866467222588,0.07333643961345171,0.49589896412040557,0.37056331761553873,0.37056331761553873,0.6265985772644386,0.6816942671462833,0,0
