result,35978394042,1
left,birthmark,bzip2-1.0.4,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.4,op-seq,2026-04-17T04:57:55.171892+00:00,4509542
right,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.1,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,0.0034700315457413256,0.14035087719298245,0.04280155642023342,0.11428571428571432,0.2727272727272727,0.16666666666666663,0.0018612521150592753,0.0018257261410787873,0.006200676437429498,0.19999999999999996,0.045454545454545414,0.2142857142857143,0.2666666666666667,0.2666666666666667,0.025362318840579712,0.25,0.2222222222222222,0.18604651162790697,0.1428571428571429,0.18181818181818177,0.00030142767106022816,0.007102272727272707,0.016587677725118488,0.007867820613689958,0.09756097560975607,0.010014306151645225,0.09090909090909094,0.00022167586957400065,0.01754385964912286,0.00022042453765958037,0.18181818181818177,0.023026315789473673,0.18181818181818177,0.2727272727272727,0.047945205479452024,0.011033099297893645,0.1228070175438597,0.10256410256410253,0.125,0.004077471967380175,0.1228070175438597,0.08791208791208793,0.07284768211920534,0.18181818181818177,0.03460207612456745,0.09090909090909094,0.05607476635514019,0.051136363636363646,0.07999999999999996,0.020253164556962022,0.024752475247524774,0.09090909090909094,0.02917771883289122,0.09090909090909094,0.3157894736842105,0.2727272727272727,0.09090909090909094,0.06015037593984962,0.0714285714285714,0.031088082901554404,0.2222222222222222,0.36363636363636365,0.16666666666666663,0.38888888888888884,0
1,_mySIGSEGVorSIGBUScatcher,0.6851735015772871,0.0185546875,0.0498046875,0.02018229166666663,0.0032552083333333703,0.00390625,0.4181049069373942,0.41377593360995846,0.427734375,0.0048828125,0.06966145833333337,0.00455729166666663,0.0048828125,0.0048828125,0.03873697916666663,0.00520833333333337,0.005859375,0.01399739583333337,0.00455729166666663,0.0006510416666666297,0.07237004356999976,0.15950520833333337,0.04427083333333337,0.1201171875,0.01106770833333337,0.05598958333333337,0.0013020833333333703,0.054330740397404376,0.02897135416666663,0.06222584698128597,0.0006510416666666297,0.04557291666666663,0.0006510416666666297,0.0016276041666666297,0.03092447916666663,0.09440104166666663,0.01334635416666663,0.0146484375,0.00618489583333337,0.12565104166666663,0.01334635416666663,0.0205078125,0.02962239583333337,0.0006510416666666297,0.04427083333333337,0.025390625,0.02278645833333337,0.03352864583333337,0.0126953125,0.08919270833333337,0.103515625,0.0009765625,0.09309895833333337,0.0009765625,0.00553385416666663,0.0029296875,0.0006510416666666297,0.033203125,0.0032552083333333703,0.02669270833333337,0.005859375,0.0016276041666666297,0.00390625,0.005859375,0
2,_addFlagsFromEnvVar,0.01798107255520509,1,0.14785992217898836,0.3285714285714286,0.17543859649122806,0.21052631578947367,0.009644670050761417,0.00946058091286306,0.03213077790304397,0.19298245614035092,0.21363636363636362,0.24561403508771928,0.26315789473684215,0.26315789473684215,0.1123188405797102,0.24561403508771928,0.3157894736842105,0.49122807017543857,0.24561403508771928,0.03508771929824561,0.0015619433864029197,0.0390625,0.05213270142180093,0.041699449252557086,0.1578947368421053,0.03862660944206009,0.03508771929824561,0.0011285316996493266,0.05701754385964908,0.00121233495712747,0.03508771929824561,0.10197368421052633,0.03508771929824561,0.08771929824561409,0.09589041095890416,0.04714142427281842,0.10526315789473684,0.08974358974358976,0.21052631578947367,0.025484199796126372,0.10526315789473684,0.15384615384615385,0.11258278145695366,0.03508771929824561,0.07958477508650519,0.1322314049586777,0.07476635514018692,0.10795454545454541,0.10526315789473684,0.10886075949367091,0.10148514851485146,0.03508771929824561,0.13262599469496017,0.03508771929824561,0.21052631578947367,0.14035087719298245,0.03508771929824561,0.20300751879699253,0.07017543859649122,0.041450777202072575,0.3157894736842105,0.08771929824561409,0.21052631578947367,0.2807017543859649,0
3,_snocString,0.02902208201892742,0.22764227642276424,0.330739299610895,0.24390243902439024,0.08130081300813008,0.08130081300813008,0.014382402707275754,0.015435684647302939,0.0467869222096956,0.10569105691056913,0.19545454545454544,0.08943089430894313,0.08943089430894313,0.08943089430894313,0.1811594202898551,0.09756097560975607,0.09756097560975607,0.2032520325203252,0.08130081300813008,0.016260162601625994,0.002986874195051059,0.07883522727272729,0.12085308056872035,0.07710464201416212,0.22764227642276424,0.09585121602288982,0.024390243902439046,0.0023578251581959364,0.16666666666666663,0.0025789670906165574,0.016260162601625994,0.13486842105263153,0.03252032520325199,0.03252032520325199,0.1917808219178082,0.09027081243731194,0.22764227642276424,0.17886178861788615,0.1707317073170732,0.05555555555555558,0.22764227642276424,0.21138211382113825,0.16556291390728473,0.016260162601625994,0.18339100346020765,0.1544715447154471,0.14634146341463417,0.20454545454545459,0.1707317073170732,0.14936708860759496,0.13613861386138615,0.016260162601625994,0.156498673740053,0.016260162601625994,0.11382113821138207,0.07317073170731703,0.016260162601625994,0.21804511278195493,0.07317073170731703,0.15544041450777202,0.09756097560975607,0.04065040650406504,0.08130081300813008,0.1382113821138211,0
4,_usage,0.012302839116719255,0.1578947368421053,0.11673151750972766,0.5285714285714286,0.1428571428571429,0.10204081632653061,0.006091370558375608,0.006473029045643175,0.020293122886133053,0.10204081632653061,0.08636363636363631,0.1428571428571429,0.12244897959183676,0.12244897959183676,0.08695652173913049,0.12244897959183676,0.1428571428571429,0.20408163265306123,0.12244897959183676,0.04081632653061229,0.001233113199791691,0.030539772727272707,0.042654028436018954,0.032258064516129004,0.1428571428571429,0.047210300429184504,0.061224489795918324,0.0009471605336343059,0.08333333333333337,0.0009478255119359513,0.04081632653061229,0.08552631578947367,0.061224489795918324,0.10204081632653061,0.1643835616438356,0.04012036108324979,0.22807017543859653,0.20512820512820518,0.1428571428571429,0.020387359836901098,0.22807017543859653,0.27472527472527475,0.19867549668874174,0.04081632653061229,0.11764705882352944,0.22314049586776863,0.17757009345794394,0.1647727272727273,0.30000000000000004,0.0658227848101266,0.051980198019802026,0.04081632653061229,0.0954907161803713,0.04081632653061229,0.16326530612244894,0.10204081632653061,0.020408163265306145,0.1578947368421053,0.10204081632653061,0.11917098445595853,0.1428571428571429,0.08163265306122447,0.10204081632653061,0.16326530612244894,0
5,_mySignalCatcher,0.003154574132492094,0.17543859649122806,0.03891050583657585,0.1428571428571429,1,0.5833333333333333,0.0016920473773265332,0.0016597510373443924,0.005636978579481422,0.4666666666666667,0.045454545454545414,0.6428571428571428,0.5333333333333333,0.5333333333333333,0.02898550724637683,0.5,0.4444444444444444,0.2325581395348837,0.5714285714285714,0.19999999999999996,0.0002740251555092277,0.007102272727272707,0.014218009478673022,0.007867820613689958,0.09756097560975607,0.007153075822603716,0.09999999999999998,0.00020152351779456623,0.00877192982456143,0.00019838208389355572,0.19999999999999996,0.023026315789473673,0.19999999999999996,0.19999999999999996,0.04109589041095896,0.010030090270812475,0.10526315789473684,0.0641025641025641,0.16666666666666663,0.004587155963302725,0.10526315789473684,0.06593406593406592,0.04635761589403975,0.19999999999999996,0.02422145328719727,0.04958677685950408,0.028037383177570097,0.03409090909090906,0.06000000000000005,0.020253164556962022,0.022277227722772297,0.19999999999999996,0.02652519893899208,0.19999999999999996,0.368421052631579,0.5,0.19999999999999996,0.06015037593984962,0.1428571428571429,0.015544041450777257,0.4444444444444444,0.30000000000000004,0.5833333333333333,0.5,0
6,_compress,0.003785488958990557,0.21052631578947367,0.04280155642023342,0.15714285714285714,0.5833333333333333,1,0.0020304568527919065,0.001991701244813293,0.006764374295377684,0.5333333333333333,0.054545454545454564,0.5,0.8,0.8,0.03260869565217395,0.75,0.6666666666666667,0.2790697674418605,0.5714285714285714,0.16666666666666663,0.0003288301866111176,0.008522727272727293,0.011848341232227444,0.009441384736427971,0.09756097560975607,0.007153075822603716,0.08333333333333337,0.00024182822135343507,0.00877192982456143,0.000242466991425494,0.16666666666666663,0.02631578947368418,0.16666666666666663,0.16666666666666663,0.04109589041095896,0.011033099297893645,0.08771929824561409,0.05128205128205132,0.16666666666666663,0.0050968399592252744,0.08771929824561409,0.06593406593406592,0.039735099337748325,0.16666666666666663,0.02768166089965396,0.04958677685950408,0.028037383177570097,0.03409090909090906,0.06000000000000005,0.025316455696202556,0.024752475247524774,0.16666666666666663,0.03183023872679047,0.16666666666666663,0.3157894736842105,0.33333333333333337,0.16666666666666663,0.06766917293233088,0.1428571428571429,0.015544041450777257,0.6666666666666667,0.25,1,0.4444444444444444,0
7,_uncompress,0.4448543689320388,0.01106796116504849,0.030485436893203932,0.011844660194174739,0.001941747572815511,0.0023300970873786353,0.722673434856176,0.6318672199170124,0.2790291262135922,0.002912621359223322,0.041941747572815546,0.0027184466019417597,0.002912621359223322,0.002912621359223322,0.025048543689320413,0.003106796116504884,0.0034951456310680085,0.008349514563106841,0.0027184466019417597,0.0003883495145631244,0.12769572246732253,0.09805825242718447,0.0266019417475728,0.07572815533980581,0.007184466019417468,0.03320388349514558,0.0007766990291262488,0.09574382330417963,0.01844660194174752,0.10487799501840545,0.0003883495145631244,0.031650485436893194,0.0005825242718446866,0.000970873786407811,0.018058252427184507,0.058252427184465994,0.009320388349514541,0.01106796116504849,0.004077669902912584,0.0788349514563107,0.009320388349514541,0.013009708737864112,0.01825242718446607,0.0003883495145631244,0.027961165048543735,0.01553398058252431,0.014174757281553374,0.020970873786407718,0.007766990291262155,0.051844660194174774,0.06058252427184463,0.0005825242718446866,0.057281553398058294,0.0005825242718446866,0.0036893203883494596,0.0017475728155339487,0.0003883495145631244,0.02019417475728158,0.0023300970873786353,0.01669902912621357,0.0034951456310680085,0.000970873786407811,0.0023300970873786353,0.0034951456310680085,0
8,_testf,0.48360826894967635,0.011902276049279625,0.031948214658592655,0.01294633535184797,0.0020881186051368017,0.0025057423261640732,0.5974619289340102,0.6464730290456431,0.31655878053873465,0.003132177907705147,0.04552098559198159,0.0029233660471914558,0.003132177907705147,0.003132177907705147,0.02526623512215498,0.0033409897682188383,0.003758613489246221,0.00897891000208817,0.0029233660471914558,0.00041762372102738254,0.11580303071821996,0.10983503863019417,0.02923366047191478,0.08310712048444346,0.007099603257465059,0.035289204426811493,0.0008352474420546541,0.0873805973157068,0.019210691167258265,0.09636960786474746,0.00041762372102738254,0.032992273961161,0.0006264355815410738,0.0010440593025683453,0.019001879306744573,0.06326999373564424,0.010022969304656515,0.01106702860722486,0.004385049070787184,0.08937147629985387,0.010022969304656515,0.01294633535184797,0.020463562330340412,0.00041762372102738254,0.03111296721653789,0.015869701399039426,0.015660889538525735,0.022969304656504486,0.007517226978492331,0.05846732094382956,0.0680726665274588,0.0006264355815410738,0.06264355815410316,0.0006264355815410738,0.003967425349759912,0.0018793067446231104,0.00041762372102738254,0.02213405721444983,0.002296930465650493,0.01670494884109419,0.003758613489246221,0.0010440593025683453,0.0025057423261640732,0.003758613489246221,0
9,_showFileNames,0.43343848580441635,0.03231292517006801,0.06916099773242634,0.03287981859410427,0.005668934240362855,0.006802721088435382,0.2666666666666667,0.27136929460580916,0.6629086809470124,0.008503401360544172,0.1201814058956916,0.007936507936507908,0.008503401360544172,0.008503401360544172,0.05839002267573701,0.009070294784580546,0.010204081632653073,0.0243764172335601,0.007936507936507908,0.0011337868480725266,0.04280272929054885,0.2029478458049887,0.05725623582766437,0.1621315192743764,0.01814058956916098,0.06292517006802723,0.0022675736961451642,0.031397364072387246,0.041383219954648554,0.035576520378248544,0.0011337868480725266,0.07653061224489799,0.0011337868480725266,0.0028344671201814275,0.04535147392290251,0.1281179138321995,0.0226757369614512,0.0243764172335601,0.010770975056689336,0.1320081549439348,0.0226757369614512,0.030612244897959218,0.04308390022675734,0.0011337868480725266,0.05895691609977327,0.0374149659863946,0.033446712018140534,0.04591836734693877,0.01814058956916098,0.141156462585034,0.16609977324263037,0.00170068027210879,0.15476190476190477,0.00170068027210879,0.00963718820861681,0.005102040816326481,0.0011337868480725266,0.05045351473922899,0.005102040816326481,0.03231292517006801,0.010204081632653073,0.0028344671201814275,0.006802721088435382,0.010204081632653073,0
