,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_amd64_darwin_clang_28dc2ee7.json,1.00,1.00,0.03,0.02,0.02,0.14,0.93,0.88,0.03,0.02,0.02,0.11,0.03,0.57,0.03,0.47,0.01,0.01,0.98,0.95,0.03,0.02,0.02,0.13,0.89,0.74,0.03,0.02,0.02,0.10,0.03,0.04,0.09,0.01,0.01
bzip2_amd64_darwin_gcc_885ac7de.json,,1.00,0.03,0.02,0.02,0.14,0.93,0.88,0.03,0.02,0.02,0.11,0.03,0.57,0.03,0.47,0.01,0.01,0.98,0.95,0.03,0.02,0.02,0.13,0.89,0.74,0.03,0.02,0.02,0.10,0.03,0.04,0.09,0.01,0.01
bzip2_amd64_darwin_go_cd368ba0.json,,,1.00,0.71,0.72,0.19,0.03,0.03,0.95,0.70,0.71,0.24,0.88,0.05,0.95,0.06,0.47,0.47,0.03,0.03,0.97,0.73,0.74,0.20,0.03,0.04,0.96,0.72,0.73,0.27,0.96,0.73,0.29,0.52,0.53
bzip2_amd64_darwin_rs-pure_672b9aab.json,,,,1.00,0.99,0.13,0.02,0.02,0.75,0.96,0.95,0.17,0.63,0.03,0.75,0.04,0.66,0.66,0.02,0.02,0.73,0.98,0.96,0.14,0.02,0.03,0.74,0.99,0.97,0.19,0.74,0.52,0.21,0.73,0.74
bzip2_amd64_darwin_rs-sys_089b3292.json,,,,,1.00,0.13,0.02,0.02,0.76,0.97,0.96,0.17,0.64,0.03,0.76,0.04,0.65,0.65,0.02,0.02,0.74,0.99,0.98,0.14,0.02,0.03,0.75,1.00,0.99,0.19,0.75,0.53,0.21,0.72,0.73
bzip2_amd64_darwin_tgo_e9ce53c1.json,,,,,,1.00,0.15,0.16,0.18,0.13,0.14,0.78,0.21,0.25,0.18,0.30,0.09,0.09,0.14,0.14,0.18,0.14,0.14,0.93,0.16,0.19,0.18,0.13,0.14,0.69,0.18,0.26,0.64,0.10,0.10
bzip2_amd64_linux_clang_2430eb37.json,,,,,,,1.00,0.94,0.03,0.02,0.02,0.12,0.03,0.61,0.03,0.51,0.01,0.01,0.94,0.88,0.03,0.02,0.02,0.14,0.96,0.80,0.03,0.02,0.02,0.11,0.03,0.04,0.10,0.01,0.02
bzip2_amd64_linux_gcc_4399a2b9.json,,,,,,,,1.00,0.03,0.02,0.02,0.13,0.03,0.65,0.03,0.54,0.01,0.01,0.89,0.83,0.03,0.02,0.02,0.15,0.99,0.85,0.03,0.02,0.02,0.11,0.03,0.04,0.10,0.02,0.02
bzip2_amd64_linux_go_62958439.json,,,,,,,,,1.00,0.74,0.75,0.23,0.84,0.04,0.99,0.05,0.49,0.50,0.03,0.02,0.97,0.77,0.78,0.19,0.03,0.03,0.99,0.76,0.77,0.26,0.98,0.69,0.28,0.55,0.56
bzip2_amd64_linux_rs-pure_227bfcee.json,,,,,,,,,,1.00,0.99,0.17,0.63,0.03,0.73,0.04,0.63,0.64,0.02,0.02,0.72,0.96,0.95,0.14,0.02,0.03,0.73,0.97,0.96,0.19,0.73,0.52,0.21,0.70,0.71
bzip2_amd64_linux_rs-sys_90d77d68.json,,,,,,,,,,,1.00,0.17,0.64,0.03,0.74,0.04,0.62,0.63,0.02,0.02,0.73,0.97,0.96,0.15,0.02,0.03,0.74,0.96,0.97,0.20,0.74,0.52,0.21,0.69,0.70
bzip2_amd64_linux_tgo_339261c9.json,,,,,,,,,,,,1.00,0.27,0.20,0.23,0.24,0.11,0.11,0.11,0.11,0.23,0.17,0.18,0.84,0.13,0.15,0.23,0.17,0.17,0.88,0.23,0.33,0.82,0.12,0.13
bzip2_amd64_windows_clang.exe_ac39e1ca.json,,,,,,,,,,,,,1.00,0.05,0.84,0.06,0.41,0.42,0.03,0.03,0.86,0.64,0.65,0.23,0.03,0.04,0.85,0.64,0.65,0.31,0.85,0.83,0.33,0.46,0.47
bzip2_amd64_windows_gcc.exe_6c63c1e7.json,,,,,,,,,,,,,,1.00,0.04,0.83,0.02,0.02,0.58,0.54,0.05,0.03,0.03,0.23,0.64,0.77,0.04,0.03,0.03,0.17,0.04,0.06,0.16,0.02,0.02
bzip2_amd64_windows_go.exe_475848bc.json,,,,,,,,,,,,,,,1.00,0.05,0.49,0.49,0.03,0.02,0.98,0.77,0.77,0.19,0.03,0.03,0.99,0.75,0.77,0.26,0.99,0.70,0.28,0.54,0.55
bzip2_amd64_windows_msvc.exe_bf6ed930.json,,,,,,,,,,,,,,,,1.00,0.03,0.03,0.48,0.45,0.05,0.04,0.04,0.28,0.53,0.63,0.05,0.04,0.04,0.21,0.05,0.08,0.19,0.03,0.03
bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,,,,,,,,,,,,,,,,,1.00,0.99,0.01,0.01,0.48,0.64,0.63,0.09,0.01,0.02,0.49,0.65,0.64,0.13,0.49,0.34,0.14,0.90,0.89
