,bzip2_gcc_b1c2c8b8.json,bzip2_go_19140ab0.json,bzip2_rs_pd_734ca4e0.json,factorize_gcc_19f3120b.json,factorize_go_ac545792.json,factorize_rs_7986d4cd.json,md5gcc_6477443e.json,md5go_f07553a4.json,md5rs_6c0401ce.json,sha256gcc_9de4683a.json,sha256go_784cc26b.json,sha256rs_0cd988fe.json
bzip2_gcc_b1c2c8b8.json,1.00,0.24,0.25,0.11,0.24,0.28,0.16,0.24,0.28,0.15,0.24,0.28
bzip2_go_19140ab0.json,,1.00,0.46,0.09,0.88,0.32,0.15,0.88,0.31,0.14,0.88,0.31
bzip2_rs_pd_734ca4e0.json,,,1.00,0.12,0.42,0.48,0.14,0.42,0.47,0.14,0.42,0.47
factorize_gcc_19f3120b.json,,,,1.00,0.10,0.11,0.25,0.10,0.11,0.26,0.10,0.11
factorize_go_ac545792.json,,,,,1.00,0.35,0.15,1.00,0.33,0.14,1.00,0.34
factorize_rs_7986d4cd.json,,,,,,1.00,0.13,0.35,0.94,0.12,0.35,0.95
md5gcc_6477443e.json,,,,,,,1.00,0.15,0.13,0.65,0.15,0.13
md5go_f07553a4.json,,,,,,,,1.00,0.33,0.14,1.00,0.34
md5rs_6c0401ce.json,,,,,,,,,1.00,0.12,0.33,0.98
sha256gcc_9de4683a.json,,,,,,,,,,1.00,0.14,0.12
sha256go_784cc26b.json,,,,,,,,,,,1.00,0.34
sha256rs_0cd988fe.json,,,,,,,,,,,,1.00

total duration,"309m 43.06s (18,583,058,040,748 nsec)"
