,bzip2_gcc_b1c2c8b8.json,bzip2_go_19140ab0.json,bzip2_rs_pd_734ca4e0.json,factorize_gcc_19f3120b.json,factorize_go_ac545792.json,factorize_rs_7986d4cd.json,md5gcc_6477443e.json,md5go_f07553a4.json,md5rs_6c0401ce.json,sha256gcc_9de4683a.json,sha256go_784cc26b.json,sha256rs_0cd988fe.json
bzip2_gcc_b1c2c8b8.json,1.00,0.51,0.51,0.43,0.52,0.54,0.50,0.52,0.55,0.50,0.52,0.54
bzip2_go_19140ab0.json,,1.00,0.86,0.39,0.90,0.64,0.47,0.90,0.63,0.46,0.90,0.63
bzip2_rs_pd_734ca4e0.json,,,1.00,0.37,0.79,0.60,0.47,0.79,0.59,0.46,0.79,0.60
factorize_gcc_19f3120b.json,,,,1.00,0.38,0.37,0.76,0.38,0.37,0.76,0.38,0.37
factorize_go_ac545792.json,,,,,1.00,0.68,0.47,1.00,0.66,0.46,1.00,0.67
factorize_rs_7986d4cd.json,,,,,,1.00,0.47,0.68,0.96,0.46,0.68,0.97
md5gcc_6477443e.json,,,,,,,1.00,0.47,0.46,0.99,0.47,0.46
md5go_f07553a4.json,,,,,,,,1.00,0.66,0.46,1.00,0.67
md5rs_6c0401ce.json,,,,,,,,,1.00,0.46,0.66,0.99
sha256gcc_9de4683a.json,,,,,,,,,,1.00,0.46,0.46
sha256go_784cc26b.json,,,,,,,,,,,1.00,0.67
sha256rs_0cd988fe.json,,,,,,,,,,,,1.00

total duration,"43m 54.68s (2,634,682,415,290 nsec)"
