,bzip2_gcc_b1c2c8b8.json,bzip2_go_19140ab0.json,bzip2_rs_pd_734ca4e0.json,factorize_gcc_19f3120b.json,factorize_go_ac545792.json,factorize_rs_7986d4cd.json,md5gcc_6477443e.json,md5go_f07553a4.json,md5rs_6c0401ce.json,sha256gcc_9de4683a.json,sha256go_784cc26b.json,sha256rs_0cd988fe.json
bzip2_gcc_b1c2c8b8.json,1.00,1.00,1.00,0.62,1.00,1.00,0.81,1.00,1.00,0.81,1.00,1.00
bzip2_go_19140ab0.json,,1.00,1.00,0.67,1.00,1.00,0.92,1.00,1.00,0.92,1.00,1.00
bzip2_rs_pd_734ca4e0.json,,,1.00,0.71,1.00,1.00,0.88,1.00,1.00,0.88,1.00,1.00
factorize_gcc_19f3120b.json,,,,1.00,0.67,0.71,0.59,0.67,0.71,0.59,0.67,0.71
factorize_go_ac545792.json,,,,,1.00,1.00,0.92,1.00,1.00,0.92,1.00,1.00
factorize_rs_7986d4cd.json,,,,,,1.00,0.86,1.00,1.00,0.86,1.00,1.00
md5gcc_6477443e.json,,,,,,,1.00,0.92,0.86,1.00,0.92,0.86
md5go_f07553a4.json,,,,,,,,1.00,1.00,0.92,1.00,1.00
md5rs_6c0401ce.json,,,,,,,,,1.00,0.86,1.00,1.00
sha256gcc_9de4683a.json,,,,,,,,,,1.00,0.92,0.86
sha256go_784cc26b.json,,,,,,,,,,,1.00,1.00
sha256rs_0cd988fe.json,,,,,,,,,,,,1.00

total duration,"46m 45.15s (2,805,150,295,998 nsec)"
