,bzip2_gcc_b1c2c8b8.json,bzip2_go_19140ab0.json,bzip2_rs_pd_734ca4e0.json,factorize_gcc_19f3120b.json,factorize_go_ac545792.json,factorize_rs_7986d4cd.json,md5gcc_6477443e.json,md5go_f07553a4.json,md5rs_6c0401ce.json,sha256gcc_9de4683a.json,sha256go_784cc26b.json,sha256rs_0cd988fe.json
bzip2_gcc_b1c2c8b8.json,1.00,1.00,1.00,0.51,1.00,1.00,0.59,1.00,1.00,0.57,1.00,1.00
bzip2_go_19140ab0.json,,1.00,1.00,0.46,1.00,1.00,0.49,1.00,1.00,0.57,1.00,1.00
bzip2_rs_pd_734ca4e0.json,,,1.00,0.47,1.00,1.00,0.55,1.00,1.00,0.52,1.00,1.00
factorize_gcc_19f3120b.json,,,,1.00,0.46,0.47,0.43,0.46,0.47,0.42,0.46,0.47
factorize_go_ac545792.json,,,,,1.00,1.00,0.49,1.00,1.00,0.57,1.00,1.00
factorize_rs_7986d4cd.json,,,,,,1.00,0.54,1.00,1.00,0.51,1.00,1.00
md5gcc_6477443e.json,,,,,,,1.00,0.64,0.54,0.91,0.49,0.54
md5go_f07553a4.json,,,,,,,,1.00,1.00,0.57,1.00,1.00
md5rs_6c0401ce.json,,,,,,,,,1.00,0.51,1.00,1.00
sha256gcc_9de4683a.json,,,,,,,,,,1.00,0.57,0.51
sha256go_784cc26b.json,,,,,,,,,,,1.00,1.00
sha256rs_0cd988fe.json,,,,,,,,,,,,1.00

total duration,"345m 32.26s (20,732,259,955,043 nsec)"
