,bzip2_gcc_b1c2c8b8.json,bzip2_go_19140ab0.json,bzip2_rs_pd_734ca4e0.json,factorize_gcc_19f3120b.json,factorize_go_ac545792.json,factorize_rs_7986d4cd.json,md5gcc_6477443e.json,md5go_f07553a4.json,md5rs_6c0401ce.json,sha256gcc_9de4683a.json,sha256go_784cc26b.json,sha256rs_0cd988fe.json
bzip2_gcc_b1c2c8b8.json,1.00,1.00,1.00,0.45,1.00,1.00,0.62,1.00,1.00,0.65,1.00,1.00
bzip2_go_19140ab0.json,,1.00,1.00,0.45,1.00,1.00,0.61,1.00,1.00,0.66,1.00,1.00
bzip2_rs_pd_734ca4e0.json,,,1.00,0.52,1.00,1.00,0.59,1.00,1.00,0.66,1.00,1.00
factorize_gcc_19f3120b.json,,,,1.00,0.45,0.51,0.40,0.45,0.51,0.35,0.45,0.51
factorize_go_ac545792.json,,,,,1.00,1.00,0.61,1.00,1.00,0.66,1.00,1.00
factorize_rs_7986d4cd.json,,,,,,1.00,0.56,1.00,1.00,0.58,1.00,1.00
md5gcc_6477443e.json,,,,,,,1.00,0.61,0.56,0.84,0.61,0.56
md5go_f07553a4.json,,,,,,,,1.00,1.00,0.66,1.00,1.00
md5rs_6c0401ce.json,,,,,,,,,1.00,0.58,1.00,1.00
sha256gcc_9de4683a.json,,,,,,,,,,1.00,0.66,0.58
sha256go_784cc26b.json,,,,,,,,,,,1.00,1.00
sha256rs_0cd988fe.json,,,,,,,,,,,,1.00

total duration,"53m 12.07s (3,192,070,933,581 nsec)"
