similarity,Cross-Arch (Non-Windows),Cross-Arch (Windows),Cross-OS,Cross-Compiler,Cross-Language
0.00,0.000,0.000,0.000,0.000,0.000
0.01,0.000,0.000,0.000,0.000,0.229
0.02,0.000,0.000,0.062,0.000,0.457
0.03,0.000,0.000,0.125,0.100,0.529
0.04,0.000,0.000,0.125,0.150,0.600
0.05,0.000,0.000,0.125,0.200,0.714
0.06,0.000,0.000,0.125,0.200,0.714
0.07,0.000,0.000,0.188,0.200,0.743
0.08,0.000,0.000,0.188,0.200,0.757
0.09,0.000,0.000,0.312,0.200,0.800
0.10,0.000,0.000,0.375,0.250,0.800
0.11,0.000,0.000,0.375,0.250,0.800
0.12,0.000,0.000,0.375,0.300,0.800
0.13,0.000,0.000,0.375,0.300,0.800
0.14,0.000,0.000,0.375,0.350,0.800
0.15,0.000,0.000,0.375,0.350,0.829
0.16,0.000,0.000,0.375,0.400,0.829
0.17,0.000,0.000,0.375,0.400,0.857
0.18,0.000,0.000,0.375,0.400,0.857
0.19,0.000,0.000,0.375,0.400,0.857
0.20,0.000,0.000,0.375,0.400,0.857
0.21,0.000,0.000,0.375,0.400,0.857
0.22,0.000,0.000,0.375,0.400,0.857
0.23,0.000,0.000,0.375,0.400,0.871
0.24,0.000,0.000,0.375,0.400,0.900
0.25,0.000,0.000,0.375,0.400,0.929
0.26,0.000,0.000,0.375,0.400,0.929
0.27,0.000,0.000,0.375,0.400,0.929
0.28,0.000,0.000,0.375,0.400,0.929
0.29,0.000,0.000,0.375,0.400,0.971
0.30,0.000,0.000,0.375,0.400,0.986
0.31,0.000,0.000,0.375,0.400,0.986
0.32,0.000,0.000,0.375,0.400,1.000
0.33,0.000,0.000,0.375,0.400,1.000
0.34,0.000,0.000,0.375,0.400,1.000
0.35,0.083,0.000,0.375,0.400,1.000
0.36,0.083,0.000,0.375,0.450,1.000
0.37,0.083,0.000,0.406,0.500,1.000
0.38,0.167,0.000,0.406,0.500,1.000
0.39,0.167,0.000,0.406,0.500,1.000
0.40,0.167,0.000,0.406,0.500,1.000
0.41,0.167,0.000,0.469,0.500,1.000
0.42,0.167,0.000,0.469,0.500,1.000
0.43,0.167,0.000,0.469,0.500,1.000
0.44,0.167,0.000,0.500,0.500,1.000
0.45,0.250,0.000,0.500,0.500,1.000
0.46,0.333,0.167,0.500,0.500,1.000
0.47,0.500,0.167,0.531,0.550,1.000
0.48,0.500,0.167,0.531,0.600,1.000
0.49,0.500,0.167,0.531,0.650,1.000
0.50,0.500,0.167,0.531,0.650,1.000
0.51,0.500,0.167,0.531,0.700,1.000
0.52,0.500,0.167,0.531,0.700,1.000
0.53,0.500,0.333,0.562,0.700,1.000
0.54,0.500,0.333,0.562,0.700,1.000
0.55,0.500,0.333,0.562,0.700,1.000
0.56,0.500,0.333,0.562,0.700,1.000
0.57,0.500,0.500,0.562,0.700,1.000
0.58,0.500,0.500,0.594,0.700,1.000
0.59,0.500,0.500,0.719,0.700,1.000
0.60,0.500,0.500,0.719,0.700,1.000
0.61,0.500,0.500,0.750,0.700,1.000
0.62,0.500,0.500,0.781,0.700,1.000
0.63,0.500,0.667,0.781,0.700,1.000
0.64,0.583,0.667,0.781,0.700,1.000
0.65,0.583,0.667,0.812,0.700,1.000
0.66,0.583,0.667,0.812,0.700,1.000
0.67,0.583,0.667,0.812,0.700,1.000
0.68,0.583,0.667,0.812,0.700,1.000
0.69,0.583,0.667,0.844,0.700,1.000
0.70,0.833,0.667,0.844,0.700,1.000
0.71,1.000,0.667,0.844,0.700,1.000
0.72,1.000,0.667,0.875,0.700,1.000
0.73,1.000,0.667,0.875,0.700,1.000
0.74,1.000,0.667,0.875,0.700,1.000
0.75,1.000,1.000,0.875,0.700,1.000
0.76,1.000,1.000,0.906,0.700,1.000
0.77,1.000,1.000,0.906,0.700,1.000
0.78,1.000,1.000,0.906,0.700,1.000
0.79,1.000,1.000,0.906,0.700,1.000
0.80,1.000,1.000,0.906,0.700,1.000
0.81,1.000,1.000,0.906,0.700,1.000
0.82,1.000,1.000,0.969,0.700,1.000
0.83,1.000,1.000,1.000,0.700,1.000
0.84,1.000,1.000,1.000,0.700,1.000
0.85,1.000,1.000,1.000,0.700,1.000
0.86,1.000,1.000,1.000,0.700,1.000
0.87,1.000,1.000,1.000,0.700,1.000
0.88,1.000,1.000,1.000,0.700,1.000
0.89,1.000,1.000,1.000,0.700,1.000
0.90,1.000,1.000,1.000,0.700,1.000
0.91,1.000,1.000,1.000,0.700,1.000
0.92,1.000,1.000,1.000,0.700,1.000
0.93,1.000,1.000,1.000,0.700,1.000
0.94,1.000,1.000,1.000,0.700,1.000
0.95,1.000,1.000,1.000,0.700,1.000
0.96,1.000,1.000,1.000,0.700,1.000
0.97,1.000,1.000,1.000,0.800,1.000
0.98,1.000,1.000,1.000,1.000,1.000
0.99,1.000,1.000,1.000,1.000,1.000
1.00,1.000,1.000,1.000,1.000,1.000
