similarity,Cross-Arch (Non-Windows),Cross-Arch (Windows),Cross-OS,Cross-Compiler,Cross-Language
0.00,0.000,0.000,0.000,0.000,0.000
0.01,0.000,0.000,0.000,0.000,0.114
0.02,0.000,0.000,0.062,0.000,0.443
0.03,0.000,0.000,0.125,0.050,0.457
0.04,0.000,0.000,0.125,0.150,0.514
0.05,0.000,0.000,0.125,0.150,0.586
0.06,0.000,0.000,0.125,0.200,0.643
0.07,0.000,0.000,0.125,0.200,0.714
0.08,0.000,0.000,0.125,0.200,0.714
0.09,0.000,0.000,0.188,0.200,0.743
0.10,0.000,0.000,0.250,0.200,0.743
0.11,0.000,0.000,0.375,0.200,0.757
0.12,0.000,0.000,0.375,0.200,0.800
0.13,0.000,0.000,0.375,0.200,0.800
0.14,0.000,0.000,0.375,0.250,0.800
0.15,0.000,0.000,0.375,0.250,0.800
0.16,0.000,0.000,0.375,0.250,0.800
0.17,0.000,0.000,0.375,0.300,0.800
0.18,0.000,0.000,0.375,0.350,0.829
0.19,0.000,0.000,0.375,0.400,0.829
0.20,0.000,0.000,0.375,0.400,0.843
0.21,0.000,0.000,0.375,0.400,0.857
0.22,0.000,0.000,0.375,0.400,0.857
0.23,0.000,0.000,0.375,0.400,0.857
0.24,0.000,0.000,0.375,0.400,0.857
0.25,0.000,0.000,0.375,0.400,0.857
0.26,0.000,0.000,0.375,0.400,0.857
0.27,0.000,0.000,0.375,0.400,0.857
0.28,0.000,0.000,0.375,0.400,0.857
0.29,0.000,0.000,0.375,0.400,0.857
0.30,0.000,0.000,0.375,0.400,0.857
0.31,0.000,0.000,0.375,0.400,0.857
0.32,0.000,0.000,0.375,0.400,0.857
0.33,0.000,0.000,0.375,0.400,0.857
0.34,0.000,0.000,0.375,0.400,0.857
0.35,0.000,0.000,0.375,0.400,0.914
0.36,0.000,0.000,0.375,0.400,0.929
0.37,0.000,0.000,0.375,0.400,0.929
0.38,0.000,0.000,0.375,0.400,0.929
0.39,0.000,0.000,0.375,0.400,0.929
0.40,0.000,0.000,0.375,0.400,0.929
0.41,0.000,0.000,0.375,0.400,0.957
0.42,0.083,0.000,0.375,0.400,0.971
0.43,0.083,0.000,0.375,0.400,0.986
0.44,0.167,0.000,0.375,0.400,0.986
0.45,0.167,0.000,0.406,0.400,0.986
0.46,0.167,0.000,0.438,0.450,0.986
0.47,0.167,0.000,0.438,0.500,1.000
0.48,0.167,0.000,0.469,0.500,1.000
0.49,0.167,0.000,0.469,0.500,1.000
0.50,0.167,0.000,0.500,0.500,1.000
0.51,0.167,0.000,0.500,0.500,1.000
0.52,0.167,0.000,0.500,0.500,1.000
0.53,0.250,0.167,0.500,0.500,1.000
0.54,0.333,0.167,0.531,0.500,1.000
0.55,0.333,0.167,0.531,0.500,1.000
0.56,0.333,0.167,0.531,0.500,1.000
0.57,0.417,0.167,0.531,0.500,1.000
0.58,0.500,0.167,0.562,0.500,1.000
0.59,0.500,0.167,0.562,0.500,1.000
0.60,0.500,0.167,0.562,0.500,1.000
0.61,0.500,0.167,0.562,0.600,1.000
0.62,0.500,0.167,0.625,0.600,1.000
0.63,0.500,0.333,0.625,0.700,1.000
0.64,0.500,0.333,0.625,0.700,1.000
0.65,0.500,0.333,0.719,0.700,1.000
0.66,0.500,0.500,0.750,0.700,1.000
0.67,0.500,0.500,0.750,0.700,1.000
0.68,0.500,0.500,0.750,0.700,1.000
0.69,0.500,0.500,0.781,0.700,1.000
0.70,0.500,0.500,0.781,0.700,1.000
0.71,0.500,0.500,0.812,0.700,1.000
0.72,0.500,0.500,0.812,0.700,1.000
0.73,0.500,0.500,0.812,0.700,1.000
0.74,0.500,0.500,0.844,0.700,1.000
0.75,0.583,0.667,0.844,0.700,1.000
0.76,0.583,0.667,0.844,0.700,1.000
0.77,0.583,0.667,0.875,0.700,1.000
0.78,0.583,1.000,0.875,0.700,1.000
0.79,0.583,1.000,0.906,0.700,1.000
0.80,0.583,1.000,0.906,0.700,1.000
0.81,0.750,1.000,0.906,0.700,1.000
0.82,0.917,1.000,0.906,0.700,1.000
0.83,0.917,1.000,0.906,0.700,1.000
0.84,0.917,1.000,0.906,0.700,1.000
0.85,0.917,1.000,0.938,0.700,1.000
0.86,1.000,1.000,0.938,0.700,1.000
0.87,1.000,1.000,0.938,0.700,1.000
0.88,1.000,1.000,1.000,0.700,1.000
0.89,1.000,1.000,1.000,0.700,1.000
0.90,1.000,1.000,1.000,0.700,1.000
0.91,1.000,1.000,1.000,0.700,1.000
0.92,1.000,1.000,1.000,0.700,1.000
0.93,1.000,1.000,1.000,0.700,1.000
0.94,1.000,1.000,1.000,0.700,1.000
0.95,1.000,1.000,1.000,0.700,1.000
0.96,1.000,1.000,1.000,0.700,1.000
0.97,1.000,1.000,1.000,0.700,1.000
0.98,1.000,1.000,1.000,1.000,1.000
0.99,1.000,1.000,1.000,1.000,1.000
1.00,1.000,1.000,1.000,1.000,1.000
