,left,right,cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
0,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,0.87163701,0.827147093,0.699096214,0.756572239,0.568910093,0.460406619,0.940298507,0.600389194
1,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,0.023006215,0.022069064,0.019007531,0.020150652,0.014169659,0.011019912,0.024618992,0.015347093
2,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,0.017138463,0.016460982,0.014517384,0.014941893,0.010991525,0.008479022,0.018458834,0.01175349
3,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_darwin_rs-sys_26d20788.json,0.017365555,0.016767946,0.014704665,0.015291196,0.011177836,0.008606665,0.018699911,0.011920467
4,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_darwin_tgo_6170c260.json,0.100468416,0.094549471,0.081989628,0.084272494,0.06092742,0.046253487,0.109375,0.06462911
5,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_linux_clang_ad366643.json,0.860894279,0.87082813,0.800041646,0.831598568,0.779614333,0.712816268,0.926470588,0.768535144
6,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_linux_gcc_ccc4cf10.json,0.756891931,0.714220228,0.60045905,0.633322708,0.489980058,0.380908114,0.84,0.495425353
7,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_linux_go_cf343d1a.json,0.022834531,0.021325377,0.018955056,0.019055516,0.014236759,0.011106685,0.024494557,0.015363697
8,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_linux_rs-pure_f4511389.json,0.017044783,0.016495724,0.014598348,0.014951959,0.011102903,0.008762414,0.018600531,0.011873762
9,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_linux_rs-sys_9751c6e7.json,0.017317207,0.016818624,0.014836794,0.015298534,0.011346477,0.0089785,0.018879233,0.012128004
10,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_linux_tgo_cc1b5a2d.json,0.082213811,0.078161128,0.066149057,0.069664722,0.049887323,0.038262812,0.089871612,0.05192047
11,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_windows_clang.exe_fb68290e.json,0.028773255,0.028485571,0.025539686,0.027177034,0.023378066,0.020237613,0.030028599,0.023403063
12,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_windows_gcc.exe_2a5000a8.json,0.520999317,0.503869769,0.412597748,0.457209165,0.33146246,0.261157973,0.567567568,0.342953799
13,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_windows_go.exe_8d915129.json,0.025166201,0.023569779,0.021335407,0.021053907,0.016074629,0.012455157,0.027085125,0.017351445
14,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_windows_msvc.exe_4eddc4d6.json,0.431745507,0.407469495,0.34584129,0.364034829,0.275570257,0.213920996,0.470149254,0.28227701
15,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,0.002575736,0.002474124,0.002214586,0.002250075,0.00169488,0.001341792,0.002767163,0.001822352
16,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,0.002637804,0.002535673,0.002266246,0.002307732,0.001740317,0.001377389,0.002833753,0.001862338
17,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_darwin_clang_34392dac.json,0.938008858,0.92367448,0.849310786,0.878417005,0.785456582,0.690251922,0.984375,0.807817931
18,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_darwin_gcc_3894c17c.json,0.856142476,0.808696204,0.684343077,0.741095908,0.549582759,0.437144703,0.913043478,0.595663284
19,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_darwin_go_293ce2f9.json,0.023164768,0.021920568,0.01906056,0.019664447,0.013985101,0.010635798,0.025019857,0.015418413
20,birthmarks/bzip2_amd64_darwin_clang_bb422561.json,birthmarks/bzip2_arm64_darwin_rs-pure_9d252a8f.json,0.017484366,0.016849351,0.014661701,0.015317065,0.011025943,0.00863717,0.018884892,0.01175801
