,bzip2_amd64_darwin_clang_bb422561.json,bzip2_amd64_darwin_gcc_61bd47af.json,bzip2_amd64_darwin_go_e1d42f63.json,bzip2_amd64_darwin_rs-pure_b656f970.json,bzip2_amd64_darwin_rs-sys_26d20788.json,bzip2_amd64_darwin_tgo_6170c260.json,bzip2_amd64_linux_clang_ad366643.json,bzip2_amd64_linux_gcc_ccc4cf10.json,bzip2_amd64_linux_go_cf343d1a.json,bzip2_amd64_linux_rs-pure_f4511389.json,bzip2_amd64_linux_rs-sys_9751c6e7.json,bzip2_amd64_linux_tgo_cc1b5a2d.json,bzip2_amd64_windows_clang.exe_fb68290e.json,bzip2_amd64_windows_gcc.exe_2a5000a8.json,bzip2_amd64_windows_go.exe_8d915129.json,bzip2_amd64_windows_msvc.exe_4eddc4d6.json,bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,bzip2_arm64_darwin_clang_34392dac.json,bzip2_arm64_darwin_gcc_3894c17c.json,bzip2_arm64_darwin_go_293ce2f9.json,bzip2_arm64_darwin_rs-pure_9d252a8f.json,bzip2_arm64_darwin_rs-sys_b370b5cd.json,bzip2_arm64_darwin_tgo_f357c0bc.json,bzip2_arm64_linux_clang_375294fc.json,bzip2_arm64_linux_gcc_a5af3ca9.json,bzip2_arm64_linux_go_3b3448f2.json,bzip2_arm64_linux_rs-pure_927550bd.json,bzip2_arm64_linux_rs-sys_e5a5c625.json,bzip2_arm64_linux_tgo_d72531be.json,bzip2_arm64_windows_clang.exe_797eefb0.json,bzip2_arm64_windows_gcc.exe_4b1549dd.json,bzip2_arm64_windows_go.exe_ed2de88c.json,bzip2_arm64_windows_msvc.exe_22595510.json,bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json
bzip2_amd64_darwin_clang_bb422561.json,1.00,0.94,0.02,0.02,0.02,0.11,0.93,0.84,0.02,0.02,0.02,0.09,0.03,0.57,0.03,0.47,0.00,0.00,0.98,0.91,0.03,0.02,0.02,0.06,0.90,0.76,0.03,0.02,0.02,0.05,0.02,0.59,0.04,0.48,0.00,0.00
bzip2_amd64_darwin_gcc_61bd47af.json,,1.00,0.03,0.02,0.02,0.12,0.99,0.89,0.03,0.02,0.02,0.10,0.03,0.60,0.03,0.50,0.00,0.00,0.96,0.97,0.03,0.02,0.02,0.07,0.96,0.81,0.03,0.02,0.02,0.06,0.03,0.63,0.04,0.52,0.00,0.00
bzip2_amd64_darwin_go_e1d42f63.json,,,1.00,0.75,0.76,0.23,0.03,0.03,0.99,0.74,0.75,0.27,0.82,0.04,0.91,0.05,0.11,0.12,0.03,0.03,0.98,0.77,0.78,0.39,0.03,0.03,0.98,0.76,0.77,0.47,0.98,0.04,0.68,0.05,0.13,0.13
bzip2_amd64_darwin_rs-pure_b656f970.json,,,,1.00,0.99,0.17,0.02,0.02,0.75,0.97,0.95,0.21,0.61,0.03,0.68,0.04,0.15,0.15,0.02,0.02,0.74,0.98,0.97,0.29,0.02,0.02,0.74,0.99,0.98,0.36,0.76,0.03,0.51,0.04,0.17,0.18
bzip2_amd64_darwin_rs-sys_26d20788.json,,,,,1.00,0.17,0.02,0.02,0.76,0.97,0.97,0.21,0.62,0.03,0.69,0.04,0.15,0.15,0.02,0.02,0.75,0.99,0.98,0.29,0.02,0.02,0.75,1.00,0.99,0.36,0.77,0.03,0.52,0.04,0.17,0.17
bzip2_amd64_darwin_tgo_6170c260.json,,,,,,1.00,0.12,0.13,0.22,0.17,0.17,0.82,0.27,0.19,0.25,0.23,0.03,0.03,0.11,0.12,0.23,0.17,0.17,0.58,0.12,0.14,0.23,0.17,0.17,0.47,0.22,0.19,0.33,0.22,0.03,0.03
bzip2_amd64_linux_clang_ad366643.json,,,,,,,1.00,0.91,0.03,0.02,0.02,0.10,0.03,0.61,0.03,0.51,0.00,0.00,0.94,0.99,0.03,0.02,0.02,0.07,0.97,0.82,0.03,0.02,0.02,0.06,0.03,0.64,0.04,0.52,0.00,0.00
bzip2_amd64_linux_gcc_ccc4cf10.json,,,,,,,,1.00,0.03,0.02,0.02,0.11,0.04,0.68,0.03,0.56,0.00,0.00,0.85,0.92,0.03,0.02,0.02,0.08,0.93,0.90,0.03,0.02,0.02,0.06,0.03,0.70,0.04,0.58,0.00,0.00
bzip2_amd64_linux_go_cf343d1a.json,,,,,,,,,1.00,0.74,0.75,0.27,0.81,0.04,0.90,0.05,0.11,0.12,0.02,0.03,0.98,0.77,0.78,0.38,0.03,0.03,0.98,0.76,0.77,0.47,0.99,0.04,0.68,0.05,0.13,0.13
bzip2_amd64_linux_rs-pure_f4511389.json,,,,,,,,,,1.00,0.99,0.21,0.62,0.03,0.66,0.04,0.15,0.15,0.02,0.02,0.72,0.96,0.95,0.29,0.02,0.02,0.72,0.97,0.96,0.36,0.75,0.03,0.51,0.04,0.17,0.17
