,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_amd64_darwin_clang_28dc2ee7.json,1.00,1.00,0.01,0.01,0.01,0.06,0.69,0.41,0.01,0.01,0.01,0.05,0.02,0.26,0.01,0.21,0.01,0.01,0.69,0.65,0.01,0.01,0.01,0.06,0.54,0.35,0.01,0.01,0.01,0.04,0.01,0.02,0.04,0.01,0.01
bzip2_amd64_darwin_gcc_885ac7de.json,,1.00,0.01,0.01,0.01,0.06,0.69,0.41,0.01,0.01,0.01,0.05,0.02,0.26,0.01,0.21,0.01,0.01,0.69,0.65,0.01,0.01,0.01,0.06,0.54,0.35,0.01,0.01,0.01,0.04,0.01,0.02,0.04,0.01,0.01
bzip2_amd64_darwin_go_cd368ba0.json,,,1.00,0.27,0.28,0.07,0.01,0.01,0.68,0.25,0.26,0.10,0.33,0.02,0.59,0.03,0.18,0.19,0.01,0.01,0.42,0.28,0.28,0.09,0.01,0.02,0.51,0.28,0.28,0.12,0.34,0.37,0.13,0.20,0.21
bzip2_amd64_darwin_rs-pure_672b9aab.json,,,,1.00,0.97,0.06,0.01,0.01,0.30,0.59,0.57,0.07,0.27,0.02,0.26,0.02,0.43,0.43,0.01,0.01,0.22,0.70,0.69,0.06,0.01,0.01,0.27,0.67,0.66,0.09,0.31,0.19,0.09,0.37,0.37
bzip2_amd64_darwin_rs-sys_089b3292.json,,,,,1.00,0.06,0.01,0.01,0.30,0.58,0.58,0.07,0.28,0.02,0.26,0.02,0.42,0.43,0.01,0.01,0.22,0.70,0.70,0.07,0.01,0.01,0.28,0.67,0.67,0.09,0.32,0.19,0.09,0.37,0.38
bzip2_amd64_darwin_tgo_e9ce53c1.json,,,,,,1.00,0.06,0.07,0.07,0.05,0.05,0.51,0.08,0.11,0.07,0.13,0.04,0.04,0.06,0.06,0.07,0.06,0.06,0.61,0.07,0.08,0.07,0.06,0.06,0.37,0.07,0.10,0.24,0.04,0.04
bzip2_amd64_linux_clang_2430eb37.json,,,,,,,1.00,0.53,0.01,0.01,0.01,0.06,0.02,0.32,0.01,0.23,0.01,0.01,0.58,0.55,0.01,0.01,0.01,0.06,0.66,0.43,0.01,0.01,0.01,0.05,0.01,0.02,0.05,0.01,0.01
bzip2_amd64_linux_gcc_4399a2b9.json,,,,,,,,1.00,0.01,0.01,0.01,0.06,0.02,0.40,0.01,0.24,0.01,0.01,0.42,0.39,0.01,0.01,0.01,0.07,0.50,0.65,0.01,0.01,0.01,0.05,0.01,0.02,0.05,0.01,0.01
bzip2_amd64_linux_go_62958439.json,,,,,,,,,1.00,0.27,0.28,0.09,0.33,0.02,0.52,0.03,0.20,0.20,0.01,0.01,0.38,0.30,0.30,0.08,0.01,0.02,0.61,0.30,0.30,0.11,0.36,0.41,0.12,0.22,0.23
bzip2_amd64_linux_rs-pure_227bfcee.json,,,,,,,,,,1.00,0.97,0.07,0.23,0.02,0.27,0.02,0.31,0.31,0.01,0.01,0.23,0.47,0.47,0.06,0.01,0.01,0.27,0.47,0.46,0.08,0.27,0.19,0.09,0.27,0.27
bzip2_amd64_linux_rs-sys_90d77d68.json,,,,,,,,,,,1.00,0.07,0.24,0.02,0.28,0.02,0.30,0.31,0.01,0.01,0.23,0.47,0.47,0.06,0.01,0.01,0.28,0.46,0.47,0.08,0.27,0.19,0.09,0.27,0.27
bzip2_amd64_linux_tgo_339261c9.json,,,,,,,,,,,,1.00,0.11,0.09,0.10,0.11,0.05,0.05,0.05,0.05,0.09,0.07,0.07,0.44,0.06,0.07,0.09,0.07,0.07,0.56,0.09,0.12,0.31,0.05,0.05
bzip2_amd64_windows_clang.exe_ac39e1ca.json,,,,,,,,,,,,,1.00,0.03,0.28,0.04,0.19,0.19,0.02,0.02,0.26,0.27,0.28,0.10,0.02,0.02,0.31,0.27,0.28,0.13,0.55,0.27,0.21,0.20,0.21
bzip2_amd64_windows_gcc.exe_6c63c1e7.json,,,,,,,,,,,,,,1.00,0.02,0.37,0.01,0.01,0.27,0.25,0.02,0.02,0.02,0.10,0.33,0.42,0.02,0.02,0.02,0.08,0.02,0.03,0.08,0.01,0.01
bzip2_amd64_windows_go.exe_475848bc.json,,,,,,,,,,,,,,,1.00,0.02,0.17,0.17,0.01,0.01,0.42,0.26,0.26,0.08,0.01,0.02,0.46,0.26,0.26,0.11,0.31,0.33,0.12,0.18,0.18
bzip2_amd64_windows_msvc.exe_bf6ed930.json,,,,,,,,,,,,,,,,1.00,0.02,0.02,0.22,0.20,0.03,0.02,0.02,0.12,0.24,0.27,0.03,0.02,0.02,0.10,0.03,0.04,0.12,0.02,0.02
bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,,,,,,,,,,,,,,,,,1.00,0.98,0.01,0.01,0.15,0.35,0.34,0.04,0.01,0.01,0.18,0.34,0.34,0.05,0.21,0.12,0.06,0.69,0.68
bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,,,,,,,,,,,,,,,,,,1.00,0.01,0.01,0.15,0.35,0.35,0.04,0.01,0.01,0.18,0.34,0.34,0.05,0.22,0.13,0.06,0.69,0.69
bzip2_arm64_darwin_clang_48b110af.json,,,,,,,,,,,,,,,,,,,1.00,0.85,0.01,0.01,0.01,0.06,0.63,0.37,0.01,0.01,0.01,0.05,0.02,0.02,0.05,0.01,0.01
bzip2_arm64_darwin_gcc_87a53fd3.json,,,,,,,,,,,,,,,,,,,,1.00,0.01,0.01,0.01,0.05,0.58,0.35,0.01,0.01,0.01,0.04,0.01,0.02,0.04,0.01,0.01
bzip2_arm64_darwin_go_f857338e.json,,,,,,,,,,,,,,,,,,,,,1.00,0.23,0.23,0.08,0.01,0.02,0.48,0.23,0.23,0.11,0.28,0.35,0.12,0.17,0.17
bzip2_arm64_darwin_rs-pure_4270a245.json,,,,,,,,,,,,,,,,,,,,,,1.00,0.97,0.07,0.01,0.01,0.28,0.83,0.83,0.09,0.32,0.19,0.10,0.43,0.43
bzip2_arm64_darwin_rs-sys_26360764.json,,,,,,,,,,,,,,,,,,,,,,,1.00,0.07,0.01,0.01,0.28,0.82,0.83,0.09,0.33,0.19,0.10,0.42,0.43
bzip2_arm64_darwin_tgo_91b83a84.json,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.07,0.08,0.08,0.07,0.07,0.53,0.08,0.11,0.28,0.05,0.05
bzip2_arm64_linux_clang_1ab795bb.json,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.47,0.01,0.01,0.01,0.05,0.02,0.02,0.05,0.01,0.01
bzip2_arm64_linux_gcc_96b9e9ad.json,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.02,0.01,0.01,0.06,0.02,0.02,0.06,0.01,0.01
bzip2_arm64_linux_go_8a45dfb5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.28,0.28,0.11,0.34,0.64,0.13,0.20,0.21
bzip2_arm64_linux_rs-pure_434c6cad.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.97,0.09,0.32,0.19,0.10,0.45,0.45
bzip2_arm64_linux_rs-sys_0cdcf5cb.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.09,0.32,0.19,0.10,0.44,0.45
bzip2_arm64_linux_tgo_5485493c.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.11,0.14,0.37,0.06,0.06
bzip2_arm64_windows_clang.exe_bbfd25d7.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.24,0.27,0.24,0.24
