id,ta,,,tb,,,cosin,dic,euclidea,jaccar,lc,levenshtei,simpso,weighted-jaccar
0,amd64,darwin,clang,amd64,darwin,gcc,1,1,1,1,1,1,1,1
1,amd64,darwin,clang,amd64,darwin,go,0.024638,0.023,0.020404,0.020527,0.015321,0.011843,0.026571,0.016163
2,amd64,darwin,clang,amd64,darwin,rs-pure,0.017552,0.016866,0.014737,0.015321,0.01114,0.008634,0.018896,0.011946
3,amd64,darwin,clang,amd64,darwin,rs-sys,0.017795,0.017189,0.014961,0.015695,0.011327,0.008758,0.019149,0.012154
4,amd64,darwin,clang,amd64,darwin,tgo,0.130129,0.121138,0.105802,0.106767,0.077913,0.058345,0.142534,0.082147
5,amd64,darwin,clang,amd64,linux,clang,0.860582,0.874195,0.775413,0.837687,0.758449,0.692176,0.926471,0.734925
6,amd64,darwin,clang,amd64,linux,gcc,0.790633,0.745786,0.643992,0.664141,0.525691,0.413779,0.875,0.535572
7,amd64,darwin,clang,amd64,linux,go,0.023404,0.021968,0.019593,0.019661,0.014768,0.01153,0.02513,0.015869
8,amd64,darwin,clang,amd64,linux,rs-pure,0.017432,0.016708,0.014855,0.01497,0.011237,0.008877,0.019097,0.01198
9,amd64,darwin,clang,amd64,linux,rs-sys,0.017694,0.017046,0.015063,0.015354,0.01147,0.009076,0.019355,0.012222
10,amd64,darwin,clang,amd64,linux,tgo,0.10184,0.095177,0.08222,0.083953,0.062136,0.047158,0.111307,0.064181
11,amd64,darwin,clang,amd64,windows,clang,0.028773,0.028486,0.02554,0.027177,0.023378,0.020238,0.030029,0.023403
12,amd64,darwin,clang,amd64,windows,gcc,0.520998,0.50387,0.412598,0.457209,0.331462,0.261158,0.567568,0.342953
13,amd64,darwin,clang,amd64,windows,go,0.023435,0.022051,0.01953,0.019746,0.014713,0.011369,0.025311,0.015516
14,amd64,darwin,clang,amd64,windows,msvc,0.431746,0.407469,0.345841,0.364035,0.27557,0.213921,0.470149,0.282277
15,amd64,darwin,clang,amd64,windows,rs-pure,0.011564,0.011094,0.009861,0.010101,0.007466,0.005886,0.012402,0.008036
16,amd64,darwin,clang,amd64,windows,rs-sys,0.011696,0.011281,0.00998,0.01033,0.00759,0.005987,0.012527,0.008163
17,amd64,darwin,clang,arm64,darwin,clang,0.938009,0.923674,0.849311,0.878417,0.78547,0.690264,0.984375,0.807818
