,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_amd64_darwin_clang_28dc2ee7.json,1.00,1.00,0.33,0.33,0.33,0.39,0.84,0.72,0.34,0.35,0.35,0.37,0.36,0.58,0.35,0.53,0.32,0.32,0.89,0.87,0.35,0.32,0.33,0.39,0.78,0.66,0.35,0.33,0.33,0.37,0.35,0.37,0.37,0.32,0.32
bzip2_amd64_darwin_gcc_885ac7de.json,,1.00,0.33,0.33,0.33,0.39,0.84,0.72,0.34,0.35,0.35,0.37,0.36,0.58,0.35,0.53,0.32,0.32,0.89,0.87,0.35,0.32,0.33,0.39,0.78,0.66,0.35,0.33,0.33,0.37,0.35,0.37,0.37,0.32,0.32
bzip2_amd64_darwin_go_cd368ba0.json,,,1.00,0.65,0.66,0.43,0.34,0.34,0.83,0.65,0.65,0.47,0.73,0.36,0.82,0.37,0.56,0.56,0.33,0.33,0.80,0.66,0.66,0.44,0.34,0.35,0.81,0.66,0.66,0.48,0.74,0.71,0.48,0.58,0.58
bzip2_amd64_darwin_rs-pure_672b9aab.json,,,,1.00,0.99,0.42,0.33,0.34,0.68,0.82,0.81,0.43,0.64,0.35,0.66,0.37,0.71,0.71,0.33,0.32,0.64,0.90,0.89,0.43,0.33,0.34,0.67,0.89,0.88,0.45,0.68,0.58,0.46,0.72,0.72
bzip2_amd64_darwin_rs-sys_089b3292.json,,,,,1.00,0.43,0.33,0.34,0.68,0.82,0.82,0.43,0.64,0.35,0.66,0.37,0.70,0.71,0.33,0.32,0.65,0.90,0.90,0.43,0.33,0.34,0.68,0.89,0.89,0.45,0.68,0.58,0.46,0.71,0.72
bzip2_amd64_darwin_tgo_e9ce53c1.json,,,,,,1.00,0.39,0.40,0.45,0.43,0.43,0.71,0.46,0.45,0.44,0.47,0.40,0.40,0.39,0.39,0.43,0.43,0.43,0.85,0.40,0.41,0.45,0.43,0.43,0.67,0.44,0.49,0.62,0.40,0.40
bzip2_amd64_linux_clang_2430eb37.json,,,,,,,1.00,0.82,0.34,0.35,0.35,0.38,0.35,0.62,0.35,0.54,0.31,0.31,0.81,0.79,0.35,0.33,0.33,0.40,0.85,0.73,0.35,0.33,0.33,0.38,0.34,0.37,0.37,0.31,0.31
bzip2_amd64_linux_gcc_4399a2b9.json,,,,,,,,1.00,0.35,0.35,0.35,0.39,0.35,0.67,0.36,0.56,0.31,0.31,0.74,0.72,0.36,0.33,0.33,0.41,0.81,0.84,0.35,0.34,0.34,0.39,0.35,0.37,0.38,0.31,0.31
bzip2_amd64_linux_go_62958439.json,,,,,,,,,1.00,0.68,0.69,0.46,0.72,0.37,0.81,0.38,0.58,0.58,0.35,0.34,0.79,0.69,0.69,0.45,0.35,0.35,0.87,0.68,0.69,0.48,0.78,0.73,0.50,0.60,0.60
bzip2_amd64_linux_rs-pure_227bfcee.json,,,,,,,,,,1.00,0.99,0.43,0.64,0.37,0.67,0.36,0.65,0.66,0.35,0.34,0.66,0.80,0.80,0.43,0.35,0.35,0.69,0.81,0.80,0.45,0.67,0.60,0.46,0.67,0.68
bzip2_amd64_linux_rs-sys_90d77d68.json,,,,,,,,,,,1.00,0.44,0.64,0.37,0.68,0.37,0.65,0.65,0.35,0.34,0.66,0.81,0.80,0.43,0.35,0.35,0.69,0.80,0.81,0.45,0.68,0.60,0.46,0.67,0.67
bzip2_amd64_linux_tgo_339261c9.json,,,,,,,,,,,,1.00,0.48,0.42,0.47,0.43,0.41,0.41,0.38,0.37,0.46,0.43,0.43,0.73,0.39,0.40,0.47,0.44,0.44,0.81,0.46,0.51,0.67,0.41,0.41
bzip2_amd64_windows_clang.exe_ac39e1ca.json,,,,,,,,,,,,,1.00,0.38,0.71,0.40,0.58,0.58,0.35,0.35,0.71,0.64,0.65,0.47,0.36,0.36,0.73,0.64,0.65,0.50,0.80,0.72,0.56,0.60,0.60
bzip2_amd64_windows_gcc.exe_6c63c1e7.json,,,,,,,,,,,,,,1.00,0.37,0.68,0.33,0.33,0.59,0.57,0.37,0.35,0.35,0.45,0.64,0.70,0.37,0.35,0.36,0.42,0.37,0.38,0.42,0.33,0.33
