,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_amd64_darwin_clang_28dc2ee7.json,1.00,1.00,0.17,0.18,0.18,0.20,0.73,0.47,0.18,0.18,0.18,0.20,0.20,0.36,0.17,0.33,0.19,0.19,0.72,0.69,0.17,0.18,0.18,0.21,0.59,0.43,0.18,0.18,0.18,0.21,0.20,0.18,0.21,0.18,0.18
bzip2_amd64_darwin_gcc_885ac7de.json,,1.00,0.17,0.18,0.18,0.20,0.73,0.47,0.18,0.18,0.18,0.20,0.20,0.36,0.17,0.33,0.19,0.19,0.72,0.69,0.17,0.18,0.18,0.21,0.59,0.43,0.18,0.18,0.18,0.21,0.20,0.18,0.21,0.18,0.18
bzip2_amd64_darwin_go_cd368ba0.json,,,1.00,0.38,0.38,0.23,0.17,0.18,0.73,0.35,0.36,0.25,0.41,0.19,0.65,0.19,0.38,0.38,0.17,0.17,0.49,0.38,0.38,0.24,0.18,0.18,0.58,0.38,0.39,0.26,0.44,0.49,0.27,0.38,0.38
bzip2_amd64_darwin_rs-pure_672b9aab.json,,,,1.00,0.98,0.24,0.18,0.18,0.39,0.65,0.64,0.25,0.39,0.19,0.36,0.21,0.62,0.62,0.19,0.18,0.34,0.73,0.72,0.25,0.18,0.19,0.38,0.70,0.70,0.26,0.41,0.32,0.27,0.55,0.55
bzip2_amd64_darwin_rs-sys_089b3292.json,,,,,1.00,0.25,0.18,0.19,0.40,0.65,0.65,0.25,0.39,0.19,0.37,0.21,0.62,0.62,0.19,0.18,0.35,0.73,0.73,0.25,0.18,0.19,0.39,0.70,0.71,0.26,0.42,0.32,0.27,0.54,0.55
bzip2_amd64_darwin_tgo_e9ce53c1.json,,,,,,1.00,0.20,0.20,0.24,0.22,0.22,0.57,0.26,0.23,0.22,0.25,0.27,0.27,0.20,0.20,0.20,0.24,0.24,0.64,0.20,0.21,0.23,0.24,0.24,0.46,0.26,0.23,0.34,0.27,0.27
bzip2_amd64_linux_clang_2430eb37.json,,,,,,,1.00,0.57,0.18,0.19,0.19,0.20,0.20,0.41,0.17,0.34,0.18,0.18,0.61,0.60,0.17,0.18,0.18,0.22,0.69,0.48,0.18,0.18,0.19,0.22,0.20,0.18,0.21,0.18,0.18
bzip2_amd64_linux_gcc_4399a2b9.json,,,,,,,,1.00,0.19,0.18,0.18,0.21,0.19,0.49,0.18,0.34,0.18,0.18,0.47,0.45,0.17,0.18,0.18,0.23,0.54,0.70,0.18,0.19,0.19,0.22,0.19,0.18,0.21,0.18,0.18
bzip2_amd64_linux_go_62958439.json,,,,,,,,,1.00,0.38,0.38,0.25,0.42,0.20,0.59,0.20,0.39,0.39,0.18,0.18,0.46,0.40,0.40,0.25,0.18,0.19,0.67,0.40,0.40,0.26,0.46,0.54,0.28,0.40,0.40
bzip2_amd64_linux_rs-pure_227bfcee.json,,,,,,,,,,1.00,0.98,0.23,0.36,0.20,0.36,0.19,0.50,0.50,0.18,0.18,0.34,0.55,0.54,0.23,0.19,0.18,0.38,0.55,0.54,0.24,0.39,0.32,0.26,0.45,0.45
