,bzip2_amd64_darwin_clang_28dc2ee7.json,bzip2_amd64_darwin_gcc_885ac7de.json,bzip2_amd64_darwin_go_cd368ba0.json,bzip2_amd64_darwin_rs-pure_672b9aab.json,bzip2_amd64_darwin_rs-sys_089b3292.json,bzip2_amd64_darwin_tgo_e9ce53c1.json,bzip2_amd64_linux_clang_2430eb37.json,bzip2_amd64_linux_gcc_4399a2b9.json,bzip2_amd64_linux_go_62958439.json,bzip2_amd64_linux_rs-pure_227bfcee.json,bzip2_amd64_linux_rs-sys_90d77d68.json,bzip2_amd64_linux_tgo_339261c9.json,bzip2_amd64_windows_clang.exe_ac39e1ca.json,bzip2_amd64_windows_gcc.exe_6c63c1e7.json,bzip2_amd64_windows_go.exe_475848bc.json,bzip2_amd64_windows_msvc.exe_bf6ed930.json,bzip2_amd64_windows_rs-pure.exe_0f1bb339.json,bzip2_amd64_windows_rs-sys.exe_e8875bd0.json,bzip2_arm64_darwin_clang_48b110af.json,bzip2_arm64_darwin_gcc_87a53fd3.json,bzip2_arm64_darwin_go_f857338e.json,bzip2_arm64_darwin_rs-pure_4270a245.json,bzip2_arm64_darwin_rs-sys_26360764.json,bzip2_arm64_darwin_tgo_91b83a84.json,bzip2_arm64_linux_clang_1ab795bb.json,bzip2_arm64_linux_gcc_96b9e9ad.json,bzip2_arm64_linux_go_8a45dfb5.json,bzip2_arm64_linux_rs-pure_434c6cad.json,bzip2_arm64_linux_rs-sys_0cdcf5cb.json,bzip2_arm64_linux_tgo_5485493c.json,bzip2_arm64_windows_clang.exe_bbfd25d7.json,bzip2_arm64_windows_go.exe_f32aecb8.json,bzip2_arm64_windows_msvc.exe_2fc063be.json,bzip2_arm64_windows_rs-pure.exe_70f3ba79.json,bzip2_arm64_windows_rs-sys.exe_223cea53.json
bzip2_amd64_darwin_clang_28dc2ee7.json,1.00,1.00,0.51,0.51,0.51,0.57,0.96,0.94,0.51,0.51,0.51,0.56,0.52,0.78,0.51,0.74,0.51,0.51,0.99,0.98,0.51,0.51,0.51,0.57,0.94,0.87,0.51,0.51,0.51,0.55,0.51,0.52,0.55,0.51,0.51
bzip2_amd64_darwin_gcc_885ac7de.json,,1.00,0.51,0.51,0.51,0.57,0.96,0.94,0.51,0.51,0.51,0.56,0.52,0.78,0.51,0.74,0.51,0.51,0.99,0.98,0.51,0.51,0.51,0.57,0.94,0.87,0.51,0.51,0.51,0.55,0.51,0.52,0.55,0.51,0.51
bzip2_amd64_darwin_go_cd368ba0.json,,,1.00,0.86,0.86,0.59,0.51,0.52,0.97,0.86,0.86,0.62,0.94,0.52,0.98,0.53,0.73,0.74,0.51,0.51,0.99,0.86,0.87,0.60,0.51,0.52,0.98,0.86,0.86,0.64,0.98,0.87,0.65,0.76,0.76
bzip2_amd64_darwin_rs-pure_672b9aab.json,,,,1.00,0.99,0.57,0.51,0.51,0.88,0.99,0.99,0.58,0.81,0.52,0.87,0.52,0.83,0.83,0.51,0.51,0.87,0.99,0.98,0.57,0.51,0.51,0.87,0.99,0.99,0.60,0.87,0.76,0.60,0.86,0.87
bzip2_amd64_darwin_rs-sys_089b3292.json,,,,,1.00,0.57,0.51,0.51,0.88,1.00,0.99,0.59,0.82,0.52,0.88,0.52,0.82,0.83,0.51,0.51,0.87,0.99,0.99,0.57,0.51,0.51,0.88,1.00,0.99,0.60,0.88,0.76,0.61,0.86,0.86
bzip2_amd64_darwin_tgo_e9ce53c1.json,,,,,,1.00,0.58,0.58,0.59,0.57,0.57,0.89,0.61,0.63,0.59,0.65,0.54,0.54,0.57,0.57,0.59,0.57,0.57,0.97,0.58,0.60,0.59,0.57,0.57,0.84,0.59,0.63,0.82,0.55,0.55
bzip2_amd64_linux_clang_2430eb37.json,,,,,,,1.00,0.97,0.51,0.51,0.51,0.56,0.52,0.81,0.51,0.75,0.51,0.51,0.97,0.94,0.51,0.51,0.51,0.57,0.98,0.90,0.51,0.51,0.51,0.55,0.51,0.52,0.55,0.51,0.51
bzip2_amd64_linux_gcc_4399a2b9.json,,,,,,,,1.00,0.51,0.51,0.51,0.56,0.52,0.82,0.51,0.77,0.51,0.51,0.94,0.92,0.51,0.51,0.51,0.58,0.99,0.92,0.51,0.51,0.51,0.56,0.51,0.52,0.55,0.51,0.51
bzip2_amd64_linux_go_62958439.json,,,,,,,,,1.00,0.88,0.89,0.61,0.92,0.52,1.00,0.53,0.75,0.75,0.51,0.51,0.99,0.89,0.89,0.59,0.51,0.52,0.99,0.88,0.89,0.63,0.99,0.85,0.64,0.77,0.78
bzip2_amd64_linux_rs-pure_227bfcee.json,,,,,,,,,,1.00,0.99,0.59,0.82,0.52,0.88,0.52,0.82,0.83,0.51,0.51,0.87,0.99,0.99,0.57,0.51,0.51,0.88,1.00,0.99,0.60,0.87,0.76,0.61,0.86,0.87
bzip2_amd64_linux_rs-sys_90d77d68.json,,,,,,,,,,,1.00,0.59,0.82,0.52,0.88,0.52,0.82,0.82,0.51,0.51,0.87,1.00,0.99,0.57,0.51,0.51,0.88,0.99,1.00,0.60,0.88,0.77,0.61,0.86,0.86
bzip2_amd64_linux_tgo_339261c9.json,,,,,,,,,,,,1.00,0.63,0.60,0.61,0.62,0.56,0.56,0.56,0.55,0.62,0.59,0.59,0.92,0.56,0.58,0.61,0.59,0.59,0.94,0.61,0.66,0.91,0.56,0.56
